ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006026	aminoglycan catabolic process	3/90	38/17474	0.07894736842105263	15.328070175438596	6.361890716114108	9.783046679413552e-4	0.3540654987628649	0.3460620701306341	Chia1/Chil5/Spam1	3
GO:0050673	epithelial cell proliferation	9/90	496/17474	0.018145161290322582	3.522983870967742	4.101494979597656	0.0010245024669028433	0.3540654987628649	0.3460620701306341	Fgf1/Scg2/Fzd7/Hmgb2/Cav2/Serpinb1b/Prl/Ift57/Itgb1bp1	9
GO:0044344	cellular response to fibroblast growth factor stimulus	5/90	153/17474	0.032679738562091505	6.344952795933188	4.777858076721929	0.0011648869041927337	0.3540654987628649	0.3460620701306341	Fgf1/Spry2/Fgf20/Flrt3/Itgb1bp1	5
GO:0050679	positive regulation of epithelial cell proliferation	6/90	231/17474	0.025974025974025976	5.043001443001444	4.450754183246871	0.001235432069983686	0.3540654987628649	0.3460620701306341	Fgf1/Scg2/Fzd7/Hmgb2/Cav2/Prl	6
GO:0071774	response to fibroblast growth factor	5/90	159/17474	0.031446540880503145	6.105520614954577	4.653261773485847	0.001381781894649294	0.3540654987628649	0.3460620701306341	Fgf1/Spry2/Fgf20/Flrt3/Itgb1bp1	5
GO:1901072	glucosamine-containing compound catabolic process	2/90	11/17474	0.18181818181818182	35.3010101010101	8.18792698992787	0.0013999386381368583	0.3540654987628649	0.3460620701306341	Chia1/Chil5	2
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	4/90	99/17474	0.04040404040404041	7.844668911335579	4.914029650040957	0.0017062598429297435	0.3540654987628649	0.3460620701306341	Sap30/Spry2/Nrros/Cav2	4
GO:0001935	endothelial cell proliferation	5/90	169/17474	0.029585798816568046	5.744247205785667	4.459179938242356	0.0018076094384830372	0.3540654987628649	0.3460620701306341	Scg2/Hmgb2/Cav2/Prl/Itgb1bp1	5
GO:0042416	dopamine biosynthetic process	2/90	16/17474	0.125	24.269444444444446	6.700063178922696	0.003003686551520973	0.39567068356231794	0.3867267958104139	Snca/Nr4a2	2
GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	2/90	16/17474	0.125	24.269444444444446	6.700063178922696	0.003003686551520973	0.39567068356231794	0.3867267958104139	Hgd/Tdo2	2
GO:0050918	positive chemotaxis	3/90	57/17474	0.05263157894736842	10.218713450292396	5.0159269645895614	0.003162438913962124	0.39567068356231794	0.3867267958104139	Scg2/Saa3/Hmgb2	3
GO:0046348	amino sugar catabolic process	2/90	17/17474	0.11764705882352941	22.841830065359474	6.482743152563195	0.003392808614364799	0.39567068356231794	0.3867267958104139	Chia1/Chil5	2
GO:0008543	fibroblast growth factor receptor signaling pathway	4/90	127/17474	0.031496062992125984	6.115135608048994	4.162717699440336	0.004200728838785581	0.39567068356231794	0.3867267958104139	Fgf1/Spry2/Fgf20/Flrt3	4
GO:0007398	ectoderm development	2/90	19/17474	0.10526315789473684	20.437426900584793	6.099381294298081	0.004237526497757326	0.39567068356231794	0.3867267958104139	Fzd7/Amer2	2
GO:0009074	aromatic amino acid family catabolic process	2/90	21/17474	0.09523809523809523	18.49100529100529	5.770580591141294	0.005169323624430736	0.39567068356231794	0.3867267958104139	Hgd/Tdo2	2
GO:0042053	regulation of dopamine metabolic process	2/90	21/17474	0.09523809523809523	18.49100529100529	5.770580591141294	0.005169323624430736	0.39567068356231794	0.3867267958104139	Snca/Nr4a2	2
GO:0050678	regulation of epithelial cell proliferation	7/90	411/17474	0.0170316301703163	3.3067856177345227	3.405105617122413	0.005300669751079951	0.39567068356231794	0.3867267958104139	Fgf1/Scg2/Fzd7/Hmgb2/Cav2/Prl/Ift57	7
GO:0035265	organ growth	5/90	218/17474	0.022935779816513763	4.453109072375128	3.6914637988628702	0.005378355777181719	0.39567068356231794	0.3867267958104139	Fgf1/Spry2/Fgf20/Col9a1/Heg1	5
GO:0032148	activation of protein kinase B activity	2/90	22/17474	0.09090909090909091	17.65050505050505	5.622717785585553	0.005667301356839119	0.39567068356231794	0.3867267958104139	Fgf1/Itgb1bp1	2
GO:0060602	branch elongation of an epithelium	2/90	22/17474	0.09090909090909091	17.65050505050505	5.622717785585553	0.005667301356839119	0.39567068356231794	0.3867267958104139	Fgf1/Spry2	2
GO:0042069	regulation of catecholamine metabolic process	2/90	23/17474	0.08695652173913043	16.883091787439614	5.484271429902519	0.0061863617390626475	0.39567068356231794	0.3867267958104139	Snca/Nr4a2	2
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	4/90	144/17474	0.027777777777777776	5.393209876543209	3.808851603778728	0.0065370895516607425	0.39567068356231794	0.3867267958104139	Sap30/Spry2/Nrros/Cav2	4
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	3/90	75/17474	0.04	7.766222222222223	4.225176750064233	0.006828901976486702	0.39567068356231794	0.3867267958104139	Rag1/Tnfsf13/Shld1	3
GO:0016444	somatic cell DNA recombination	3/90	75/17474	0.04	7.766222222222223	4.225176750064233	0.006828901976486702	0.39567068356231794	0.3867267958104139	Rag1/Tnfsf13/Shld1	3
GO:0001936	regulation of endothelial cell proliferation	4/90	147/17474	0.027210884353741496	5.283144368858655	3.7522332647260694	0.0070231554054276755	0.39567068356231794	0.3867267958104139	Scg2/Hmgb2/Cav2/Prl	4
