"peak_id","mecp2_Fold","mecp2_FDR","SYMBOL"
"mecp2_peak_1",-0.056986402,0.823419217,"Stum"
"mecp2_peak_4",-0.00522171,0.989560166,"Slc26a9"
"mecp2_peak_5",-0.035536849,0.898955012,"Olfml2b"
"mecp2_peak_6",-0.082781652,0.718468772,"Cops9"
"mecp2_peak_7",-0.051751654,0.838948591,"Nr5a2"
"mecp2_peak_8",0.004705897,0.990856698,"Tyw5"
"mecp2_peak_8",0.004705897,0.990856698,"Maip1"
"mecp2_peak_9",-0.039212399,0.885136599,"Mcm3"
"mecp2_peak_13",-0.00320028,0.993911026,"Cacna1e"
"mecp2_peak_14",-0.03713622,0.896458,"Wnt6"
"mecp2_peak_15",-0.017259358,0.957242144,"Nos1ap"
"mecp2_peak_16",1.131534928,0.001637493,"Thsd7b"
"mecp2_peak_18",-1.039942868,0.001051405,"Alkal1"
"mecp2_peak_20",-0.227966324,0.29758694,"Csrp1"
"mecp2_peak_21",0.111467718,0.633049201,"Erbb4"
"mecp2_peak_22",-0.053707502,0.828902075,"Dis3l2"
"mecp2_peak_23",-0.050273565,0.841417029,"Rgl1"
"mecp2_peak_24",0.169166952,0.411690745,"Sctr"
"mecp2_peak_26",-0.080431905,0.743437515,"Sox13"
"mecp2_peak_27",0.00408342,0.991875275,"Dner"
"mecp2_peak_30",2.044105014,3.32e-07,"St18"
"mecp2_peak_31",-0.105976244,0.639825102,"Arfgef1"
"mecp2_peak_33",-0.036243199,0.894318911,"Agap1"
"mecp2_peak_34",-0.125372378,0.551021845,"Lancl1"
"mecp2_peak_35",-0.02902739,0.921899118,"Fam178b"
"mecp2_peak_36",-0.028822474,0.921860715,"Agxt"
"mecp2_peak_37",-0.145787471,0.482324048,"Psen2"
"mecp2_peak_40",-0.034616685,0.903133439,"Ndufa10"
"mecp2_peak_41",-0.005671287,0.988731231,"Nenf"
"mecp2_peak_44",0.448451314,0.102817902,"Nckap5"
"mecp2_peak_45",-0.014267837,0.966201322,"Nfasc"
"mecp2_peak_47",-0.116984148,0.597595417,"Ano7"
"mecp2_peak_48",-0.122518035,0.571711839,"Ncoa2"
"mecp2_peak_50",0.012422707,0.970993646,"Rcsd1"
"mecp2_peak_51",-0.096022157,0.673435497,"Vsig8"
"mecp2_peak_52",-0.065315782,0.781631779,"Dars2"
"mecp2_peak_52",-0.065315782,0.781631779,"Cenpl"
"mecp2_peak_53",-0.007644066,0.983983092,"Per2"
"mecp2_peak_56",1.090427615,0.001123428,"Scg2"
"mecp2_peak_59",-0.097370711,0.653301903,"Pik3c2b"
"mecp2_peak_60",-0.046378835,0.859846208,"Smyd3"
"mecp2_peak_62",-0.042857532,0.870239887,"Pbx1"
"mecp2_peak_63",-0.045783041,0.859128285,"Ptpn14"
"mecp2_peak_64",-0.021287809,0.945766058,"Dcaf8"
