"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"0610038B21Rik",-0.101130798608753,0.591762613,0,2,FALSE,0.291003818814047,0.010317831,2,4,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1110002E22Rik",1.82331143072214,4.72e-10,1,2,TRUE,0.912081525939307,1.04e-34,5,5,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1110002J07Rik",1.41380210342159,2.07e-08,1,3,TRUE,0.314372359965512,0.001059497,1,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1110019D14Rik",1.62956924174184,5.43e-09,4,5,TRUE,0.943526056457297,6.81e-15,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1500009L16Rik",0.123780847362441,0.450312591,0,2,FALSE,0.123563221,0.485038283,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1500015L24Rik",1.61035936603028,8.42e-06,2,3,TRUE,0.860041893,2.56e-16,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1600002D24Rik",0.368353260110035,0.048394831,1,9,TRUE,0.206966233343257,0.045808161,1,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700006F04Rik",0.0205712148891562,0.702216996,0,4,FALSE,0.539235880468017,8.01e-10,5,7,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700008K24Rik",-0.208122810500999,0.191275758,0,6,FALSE,-0.265124594391993,0.029990599,1,6,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700010I14Rik",-0.0850720887055979,0.62600857,0,3,FALSE,-0.128214599,0.476246987,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700011B04Rik",-0.075366176,0.746730475,0,1,FALSE,0.266566293,0.022246394,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700011L22Rik",2.20344808589694,1.53e-17,1,2,TRUE,1.071475122,7.14e-30,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700012A03Rik",-0.0483351706125463,0.22562499,0,4,FALSE,0.522200967740501,5.26e-09,5,11,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700012D16Rik",0.420801711413542,0.037116726,2,16,TRUE,0.548881289075474,1.82e-09,4,10,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700016K05Rik",-0.0425538418338235,0.844091468,0,2,FALSE,0.0231983625913142,0.191295715,0,3,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700017B05Rik",0.091559507,0.674032606,0,1,FALSE,-0.099557783,0.573678443,0,1,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700017L05Rik",0.107426449,0.578782935,0,1,FALSE,0.689208803488029,8.62e-12,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700017N19Rik",1.620847188,5.26e-11,1,1,TRUE,1.50460229235622,1.69e-22,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700018B08Rik",-0.720943156480518,0.001409849,1,11,TRUE,-0.454162565504519,1.77e-05,10,21,TRUE,"Significant","Q3 (MeCP2 down / H2A down)"
"1700019A02Rik",1.17973055,0.00041711,1,1,TRUE,1.632337825,6.36e-24,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700019C18Rik",0.151958805181405,0.335785427,0,4,FALSE,0.71290380912716,1.08e-11,4,4,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700019G24Rik",0.369798394,0.093050057,0,1,FALSE,1.084085018,2.5e-06,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700020L24Rik",-0.048703326,0.84687252,0,1,FALSE,-0.10593386,0.499574471,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700020M21Rik",0.315054832976138,0.093427986,0,6,FALSE,-0.203825578884561,0.078896963,0,4,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700023F02Rik",1.66897036208881,2.94e-06,2,3,TRUE,0.709486846956893,1.92e-06,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700024G13Rik",0.403774375602087,0.066389479,0,4,FALSE,0.245090073200453,0.002054019,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700025C18Rik",-0.0773997631503258,0.735283048,0,2,FALSE,0.157603768,0.327084018,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700025G04Rik",-0.0610814177337635,0.727501464,0,3,FALSE,0.716506117039033,1.33e-12,4,8,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700025N23Rik",-0.221246813695298,0.107493578,0,6,FALSE,0.456057937840766,4.29e-05,2,3,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
