task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	f1/d38cab	52136273	fastp (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-15 23:20:25.164	3h 10m 41s	3h 9m 45s	117.3%	19.4 GB	19.6 GB	439.1 GB	433.4 GB
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
9	54/8f1ced	52138049	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:11:08.425	5m 45s	4m 34s	1302.8%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
55	c7/05c3f8	52137770	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:13.262	7m 40s	7m 15s	851.3%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
63	e9/52c481	52137782	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.194	8m 53s	8m 32s	894.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
40	d2/1a8c30	52137789	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.865	5m 37s	5m 6s	1151.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
46	a5/1f763e	52137777	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.755	6m 38s	6m 19s	1175.7%	20.4 GB	79.7 GB	19.3 GB	7.8 GB
68	b9/042be2	52137801	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:17.016	5m 51s	5m 31s	1049.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
72	93/61a264	52137774	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.281	5m 39s	5m 21s	1137.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
41	11/ba9e02	52137795	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.430	6m 22s	5m 52s	1123.2%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
27	5b/f555ff	52137772	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:13.771	5m 54s	5m 30s	1139.6%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
23	51/db9bf8	52137773	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.093	5m 54s	5m 19s	1161.5%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
15	85/2cdc7d	52137783	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.275	5m 53s	5m 27s	1145.2%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
32	9b/ae27b3	52137805	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:17.399	5m 36s	5m 5s	1139.9%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
70	6b/ac10f4	52137762	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:11.322	6m 27s	6m	1154.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
