## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8.good_mapq --OUTPUT 260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 29 23:13:18 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
207	179	46	2	180711572	221.784536	75.791193	579580850	FR	19	37	55	73	93	115	141	175	245	329	487			
20018563	16085	20002522	2	180418045	32520706.823608	36779972.868333	6735	RF	11878483	24008303	33877547	39810035	40005045	40032799	51270289	88175121	136245223	171416499	243860385			
38972813	46000	27258724.5	46000	131422292	42942560.536364	33300776.030823	110	TANDEM	10086631	24741781	33055507	45590737	53999731	61818317	70379269	76875021	103811145	114859385	166128089			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	4192	4	0
3	4361	0	0
4	4761	2	0
5	5122	2	0
6	5176	0	0
7	5262	1	0
8	5584	0	0
9	6143	0	0
10	6358	0	0
11	6906	0	0
12	7179	0	0
13	7866	2	0
14	8331	1	0
15	9002	0	0
16	9482	0	0
17	9440	0	0
18	9620	5	0
19	10385	1	0
20	10854	1	0
21	11337	0	0
22	11992	2	0
23	12213	0	0
24	12954	1	0
25	13199	0	0
26	13663	0	0
27	14140	5	0
28	14493	3	0
29	15088	0	0
30	15645	1	0
31	15897	0	0
32	15922	1	0
33	16921	2	0
34	17023	2	0
35	17287	3	0
36	17106	2	0
37	17722	0	0
38	6602	0	0
39	5506	2	0
40	5690	2	0
41	6144	0	0
42	6515	0	0
43	7166	3	0
44	7630	2	0
45	8284	0	0
46	8827	0	0
47	9733	1	0
48	10773	3	0
49	11218	0	0
50	12000	1	0
51	12823	0	0
52	13260	1	0
53	13891	0	0
54	14347	2	0
55	14418	1	0
56	15248	0	0
57	15634	1	0
58	16570	0	0
59	17562	4	0
60	18003	1	0
61	17714	1	0
62	18800	2	0
63	19641	7	0
64	19855	2	0
65	21502	0	0
66	22219	2	0
67	23825	0	0
68	24835	2	0
69	26086	0	0
70	27971	1	0
71	28963	1	0
72	30858	0	0
73	32829	0	0
74	35139	1	0
75	39151	0	0
76	41963	0	0
77	45168	0	0
78	48054	0	0
79	52775	1	0
80	59480	0	0
81	62624	1	0
82	69105	0	0
83	75558	2	0
84	82496	1	0
85	91433	0	0
86	101920	0	0
87	113544	0	0
88	127610	0	0
89	140890	0	0
90	155740	0	0
91	172328	0	0
92	189413	6	0
93	208811	0	0
94	227740	2	0
95	249775	0	0
96	273473	2	0
97	298854	0	0
98	326364	0	0
99	355449	0	0
100	389043	2	0
101	420628	0	0
102	454516	1	0
103	489465	1	0
104	527427	0	0
105	569736	3	0
106	610166	0	0
107	655110	0	0
108	698164	0	0
109	745128	1	0
110	792819	1	0
111	843261	2	0
112	893547	0	0
113	945084	0	0
114	999515	0	0
115	1054640	0	0
116	1107071	0	0
117	1162283	0	0
118	1220635	0	0
119	1283191	0	0
120	1341582	0	0
121	1400252	0	0
