## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1.good_mapq --OUTPUT 260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 29 16:31:04 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
204	185	43	2	181145812	216.324138	73.238093	446327631	FR	17	33	49	67	87	107	133	167	227	307	499			
19626191	16038	19610143	2	181298363	31969334.627954	36447316.499811	7405	RF	10726991	22151921	32448727	39024971	39220287	39247439	49355743	84973185	136516705	172979951	237133451			
40959301	1033894	26724490	1033894	126600707	47941950.733333	36163979.10533	105	TANDEM	5056331	13726999	30528567	40635367	53448981	67265421	74160211	86327511	128982861	146984423	159147801			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	3418	3	0
3	3664	1	0
4	3622	1	0
5	3845	2	0
6	4004	1	0
7	4123	1	0
8	4035	0	0
9	4405	0	0
10	4412	3	0
11	4511	2	0
12	4535	2	0
13	4615	0	0
14	4787	1	0
15	4899	1	0
16	5374	0	0
17	5481	0	0
18	5429	3	0
19	5656	0	0
20	5754	0	0
21	5974	0	0
22	6444	5	0
23	6770	0	0
24	7100	0	0
25	7335	0	0
26	7816	0	0
27	7972	1	0
28	8235	2	0
29	8087	3	0
30	8483	3	0
31	8369	3	0
32	8452	1	0
33	8181	4	0
34	8510	0	0
35	8622	0	0
36	8598	2	0
37	8503	3	0
38	3784	1	0
39	3223	1	0
40	3205	1	0
41	3365	2	0
42	3747	0	0
43	4039	0	0
44	4028	1	0
45	4463	3	0
46	4666	0	0
47	5202	0	0
48	5231	2	0
49	5284	0	0
50	5772	0	0
51	6316	2	0
52	6534	0	0
53	6842	2	0
54	7577	0	0
55	8044	0	0
56	8700	0	0
57	8862	1	0
58	10181	0	0
59	10699	0	0
60	11422	5	0
61	12210	0	0
62	13206	2	0
63	14247	2	0
64	15662	1	0
65	17084	0	0
66	18804	0	0
67	21015	1	0
68	23375	0	0
69	25982	0	0
70	28634	1	0
71	31706	0	0
72	36028	1	0
73	40664	0	0
74	45196	0	0
75	51160	0	0
76	56968	1	0
77	63067	1	0
78	70756	0	0
79	78594	0	0
80	88352	0	0
81	97061	2	0
82	107471	2	0
83	117937	1	0
84	130128	4	0
85	142802	1	0
86	156069	0	0
87	169904	8	0
88	185259	1	0
89	201612	0	0
90	218616	0	0
91	237545	0	0
92	254568	0	0
93	274553	0	0
94	294338	0	0
95	314187	0	0
96	336324	0	0
97	357287	0	0
98	380355	0	0
99	404353	2	0
100	430096	0	0
101	454672	0	0
102	481825	0	0
103	507982	0	0
104	537303	1	0
105	564494	0	0
106	593557	0	0
107	621941	2	0
108	653878	0	0
109	687203	0	0
110	719242	1	0
111	751835	0	0
112	784984	0	0
113	821475	1	0
114	855366	0	0
115	891777	1	0
116	929388	0	0
117	964689	0	0
118	1001762	0	0
119	1041612	0	0
120	1079849	0	0
121	1121104	0	0
122	1163264	0	0
