## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3.good_mapq --OUTPUT 260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 30 08:13:45 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
246	212	58	2	185151071	261.438863	93.303874	633770171	FR	23	45	69	91	117	145	177	219	295	389	587			
12615016	16018	12599147	2	186665752	26992273.34655	33517410.112147	14504	RF	10716649	21003961	25197827	25198017	25198295	25229813	52198017	87549039	136591325	180107185	247488093			
40491059	32870857	24050485	701422	157255896	48008122.074766	35425817.926598	107	TANDEM	11520659	17251361	22770189	37713221	48100971	59364115	70822461	79579275	124652951	147565051	192448475			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	4204	7	0
3	4622	3	0
4	4974	0	0
5	5117	5	0
6	5760	1	0
7	6007	0	0
8	6333	1	0
9	6882	1	0
10	7329	0	0
11	7573	0	0
12	8354	1	0
13	8489	1	0
14	9258	0	0
15	9693	0	0
16	10164	1	0
17	10003	0	0
18	10525	1	0
19	10914	1	0
20	11464	0	0
21	11845	0	0
22	12341	0	0
23	13085	8	0
24	13155	1	0
25	13387	6	0
26	13787	0	0
27	14343	0	0
28	15083	0	0
29	15635	0	0
30	16320	2	0
31	16463	0	0
32	16839	4	0
33	16814	1	0
34	17449	2	0
35	17617	4	0
36	18079	3	0
37	18332	0	0
38	7530	0	0
39	6409	1	0
40	6393	2	0
41	6722	1	0
42	7304	0	0
43	7705	0	0
44	8203	3	0
45	9037	2	0
46	9580	0	0
47	10250	1	0
48	11126	0	0
49	11941	0	0
50	12573	1	0
51	13124	1	0
52	13890	2	0
53	14739	1	0
54	15505	0	0
55	16006	3	0
56	16203	1	0
57	16292	0	0
58	18365	2	0
59	18423	4	0
60	19244	0	0
61	19746	0	0
62	20576	0	0
63	20900	0	0
64	22015	3	0
65	22733	2	0
66	23451	1	0
67	25234	2	0
68	26351	1	0
69	28119	3	0
70	29956	1	0
71	31903	0	0
72	33500	0	0
73	35614	0	0
74	37709	0	0
75	41954	0	0
76	45797	0	0
77	48525	0	0
78	52220	2	0
79	56627	2	0
80	63086	2	0
81	65681	1	0
82	70518	2	0
83	75487	0	0
84	80869	1	0
85	87627	2	0
86	94723	3	0
87	101657	1	0
88	109324	0	0
89	116611	0	0
90	126828	2	0
91	136496	0	0
92	147029	0	0
93	157742	3	0
94	168967	0	0
95	181962	0	0
96	194585	0	0
97	207887	0	0
98	221690	0	0
99	237650	0	0
100	254784	0	0
101	271668	1	0
102	288773	0	0
103	305663	0	0
104	322253	0	0
105	339026	0	0
106	359916	1	0
107	380419	1	0
108	398194	0	0
109	419641	0	0
110	439844	2	0
111	463321	0	0
112	487085	0	0
113	509874	0	0
114	535805	1	0
115	557959	0	0
116	586256	0	0
117	611231	0	0
118	639136	0	0
119	668837	0	0
120	696589	1	0
121	728572	1	0
122	757280	0	0
123	789612	2	0
124	819303	0	0
125	852552	0	0
126	886484	3	0
127	920642	0	0
128	953514	0	0
129	988371	0	0
130	1024098	0	0
131	1056266	0	0
132	1097013	1	0
133	1135690	0	0
134	1167903	0	0
135	1204580	3	0
136	1244981	1	0
137	1286396	0	0
138	1322479	0	0
139	1361431	1	0
140	1401517	0	0
141	1441499	0	0
142	1479170	0	0
143	1522356	0	0
144	1561196	0	0
145	1602483	0	0
146	1642452	1	0
147	1678038	6	0
148	1720893	0	0
149	1760632	1	0
150	1796614	1	0
151	1837817	1	0
152	1873325	0	0
153	1908259	0	0
154	1941745	1	0
155	1976517	0	0
156	2011246	0	0
157	2043760	0	0
158	2078585	0	0
159	2114661	0	0
160	2151398	0	0
161	2182829	2	0
162	2220543	0	0
163	2250073	0	0
164	2284266	0	0
165	2314690	0	0
166	2351310	0	0
167	2377500	0	0
168	2407003	5	0
169	2435031	0	0
170	2468587	0	0
171	2501874	0	0
172	2527874	0	0
173	2555295	0	0
174	2581910	0	0
175	2610274	0	0
176	2637345	0	0
177	2664203	1	0
178	2689883	1	0
179	2714569	4	0
180	2738829	1	0
181	2763115	0	0
182	2781582	0	0
183	2800080	0	0
184	2824772	0	0
185	2843141	0	0
186	2866189	0	0
187	2885181	1	0
188	2899915	0	0
189	2922713	1	0
190	2937618	1	0
191	2952707	1	0
192	2972420	0	0
193	2979255	0	0
194	2993574	0	0
195	3007640	2	0
196	3017814	0	0
197	3029698	0	0
198	3041509	0	0
199	3050098	3	0
200	3059062	0	0
201	3065652	0	0
202	3067032	3	0
203	3082644	0	0
204	3085395	1	0
205	3086803	1	0
206	3091804	1	0
207	3094144	0	0
208	3100864	0	0
209	3104753	1	0
210	3106991	1	0
211	3105737	0	0
212	3110638	0	0
213	3108158	0	0
214	3108901	0	0
215	3107252	0	0
216	3108524	0	0
217	3107574	0	0
218	3103187	0	0
219	3105594	1	0
220	3102201	0	0
221	3100029	0	0
222	3094125	0	0
223	3084353	4	0
224	3084697	0	0
225	3078264	1	0
226	3071012	0	0
227	3071958	0	0
228	3062899	0	0
229	3055805	1	0
230	3047642	2	0
231	3043867	0	0
232	3043957	0	0
233	3027587	1	0
234	3022534	1	0
235	3006657	0	0
236	2988414	2	0
237	2978252	0	0
238	2970921	0	0
239	2963009	6	0
240	2951440	0	0
241	2940585	0	0
242	2924588	1	0
243	2914897	0	0
244	2901062	0	0
245	2890137	0	0
246	2877861	0	0
247	2865768	1	0
248	2855576	0	0
249	2840918	0	0
250	2829542	3	0
251	2816128	0	0
252	2800350	0	0
253	2783014	1	0
254	2769355	1	0
255	2754838	0	0
256	2735784	2	0
257	2722404	0	0
258	2709391	0	0
259	2695406	0	0
260	2680708	0	0
261	2662230	0	0
262	2646503	0	0
263	2632884	0	0
264	2615028	1	0
265	2594852	0	0
266	2584673	2	0
267	2564568	1	0
268	2547852	0	0
269	2536559	3	0
270	2517680	0	0
271	2499786	0	0
272	2459680	0	0
273	2440681	0	0
274	2427899	0	0
275	2410066	1	0
276	2392438	0	0
277	2380452	0	0
278	2359459	0	0
279	2347066	0	0
280	2329293	5	0
281	2311002	0	0
282	2293790	2	0
283	2281948	0	0
284	2265229	0	0
285	2249029	0	0
286	2229262	5	0
287	2219500	0	0
288	2200548	0	0
289	2183584	0	0
290	2169500	1	0
291	2149385	0	0
292	2135585	0	0
293	2115385	0	0
294	2104712	0	0
295	2083978	0	0
296	2075930	0	0
297	2051180	0	0
298	2037031	0	0
299	2021695	1	0
300	2007009	0	0
301	1987928	6	0
302	1969613	0	0
303	1957885	7	0
304	1940416	0	0
305	1923436	3	0
306	1909600	5	0
307	1894245	3	0
308	1871784	1	0
309	1857163	0	0
310	1842717	0	0
311	1827081	1	0
312	1812776	0	0
313	1795316	0	0
314	1781438	0	0
315	1763743	2	0
316	1747018	3	0
317	1734724	0	0
318	1719093	0	0
319	1700286	0	0
320	1686410	1	0
321	1671400	2	0
322	1656269	5	0
323	1641575	1	0
324	1630081	1	0
325	1612934	0	0
326	1596652	3	0
327	1581327	2	0
328	1566001	4	0
329	1551753	1	0
330	1535299	7	0
331	1523551	0	0
332	1509492	0	0
333	1492932	0	0
334	1479341	0	0
335	1465907	1	0
336	1449204	0	0
337	1437126	0	0
338	1423367	3	0
339	1407169	0	0
340	1395323	4	0
341	1378213	3	0
342	1366021	0	0
343	1352762	0	0
344	1340471	0	0
345	1324596	5	0
346	1316629	8	0
347	1298188	2	0
348	1286151	2	0
349	1271131	1	0
350	1257346	0	0
351	1247384	0	0
352	1233697	0	0
353	1219828	3	0
354	1207963	2	0
355	1195667	1	0
356	1183351	0	0
357	1172687	0	0
358	1158806	1	0
359	1143154	0	0
360	1135396	0	0
361	1121270	0	0
362	1108187	0	0
363	1094938	2	0
364	1085527	0	0
365	1074288	0	0
366	1064611	0	0
367	1050316	4	0
368	1040606	0	0
369	1027804	2	0
370	1016761	1	0
371	1006731	2	0
372	991730	1	0
373	982203	2	0
374	974946	0	0
375	962740	4	0
376	950938	5	0
377	940189	0	0
378	932419	2	0
379	918166	0	0
380	908331	1	0
381	900607	1	0
382	885297	1	0
383	882797	2	0
384	869637	6	0
385	862032	6	0
386	850692	3	0
387	841447	1	0
388	827974	0	0
389	817490	0	0
390	814712	0	0
391	804564	0	0
392	793983	3	0
393	786010	1	0
394	776655	0	0
395	767716	1	0
396	757701	0	0
397	748694	0	0
398	741196	1	0
399	732004	0	0
400	721559	2	0
401	714292	0	0
402	706970	0	0
403	696575	0	0
404	687341	1	0
405	684333	0	0
406	675075	0	0
407	663965	1	0
408	658544	5	0
409	650504	0	0
410	643072	0	0
411	634749	1	0
412	630593	0	0
413	620599	3	0
414	610903	4	0
415	605319	0	0
416	598670	1	0
417	588485	0	0
418	580337	0	0
419	578574	1	0
420	569953	0	0
421	564068	2	0
422	555222	2	0
423	549173	0	0
424	543224	2	0
425	535650	2	0
426	527607	0	0
427	524417	0	0
428	519461	5	0
429	509467	0	0
430	505582	0	0
431	497251	0	0
432	494443	0	0
433	489486	0	0
434	483711	1	0
435	474300	0	0
436	469989	0	0
437	463408	0	0
438	457751	0	0
439	451544	0	0
440	447278	0	0
441	441051	1	0
442	435136	0	0
443	429899	4	0
444	426722	0	0
445	419915	0	0
446	415007	2	0
447	408545	0	0
448	407101	0	0
449	401367	0	0
450	396368	0	0
451	390829	0	0
452	385384	0	0
453	382484	0	0
454	376439	2	0
455	371239	1	0
456	367557	0	0
457	362674	0	0
458	361011	0	0
459	353797	0	0
460	350340	0	0
461	345639	0	0
462	341540	0	0
463	337276	0	0
464	333596	1	0
465	325678	0	0
466	326388	0	0
467	321289	0	0
468	316819	0	0
469	312259	0	0
470	309094	0	0
471	302510	0	0
472	301131	0	0
473	297021	0	0
474	293510	1	0
475	289926	0	0
476	285606	1	0
477	283321	3	0
478	277485	0	0
479	275411	0	0
480	273218	1	0
481	269573	0	0
482	265146	0	0
483	261795	0	0
484	259200	0	0
485	256203	0	0
486	249460	0	0
487	245527	0	0
488	243326	0	0
489	238267	0	0
490	237503	0	0
491	235255	0	0
492	230618	0	0
493	226766	0	0
494	223352	0	0
495	220783	0	0
496	218412	11	0
497	214327	1	0
498	213760	1	0
499	209766	0	0
500	206656	0	0
501	202601	1	0
502	202195	0	0
503	198379	3	0
504	194850	0	0
505	192726	0	0
506	190047	0	0
507	185148	0	0
508	184280	0	0
509	182028	0	0
510	177828	0	0
511	175731	0	0
512	174177	1	0
513	171930	0	0
514	168240	0	0
515	167573	0	0
516	162501	0	0
517	162435	0	0
518	159351	0	0
519	156972	0	0
520	155720	0	0
521	153065	2	0
522	150407	0	0
523	145612	0	0
524	141924	0	0
525	138983	0	0
526	138454	0	0
527	135358	0	0
528	132151	0	0
529	131629	0	0
530	129531	0	0
531	129700	3	0
532	126730	0	0
533	125043	0	0
534	121221	0	0
535	120268	0	0
536	118692	0	0
537	115933	0	0
538	113576	1	0
539	114312	0	0
540	110679	1	0
541	109248	0	0
542	107111	0	0
543	106047	0	0
544	103686	0	0
545	102657	0	0
546	101689	4	0
547	100406	0	0
548	97816	1	0
549	95929	0	0
550	95437	0	0
551	94375	0	0
552	92377	1	0
553	89977	0	0
554	88709	0	0
555	87309	0	0
556	85457	0	0
557	84855	0	0
558	84505	0	0
559	81843	0	0
560	79552	0	0
561	78069	0	0
562	77828	0	0
563	76488	0	0
564	74052	0	0
565	74774	0	0
566	73399	0	0
567	71931	0	0
568	71353	2	0
569	69146	0	0
570	69045	0	0
571	67185	0	0
572	65652	0	0
573	64580	0	0
574	64561	1	0
575	63557	1	0
576	63163	0	0
577	61514	0	0
578	59993	0	0
579	58501	0	0
580	57302	0	0
581	57153	1	0
582	55760	2	0
583	54439	1	0
584	53191	1	0
585	52237	0	0
586	52487	0	0
587	50680	0	0
588	49406	0	0
589	48939	1	0
590	47306	1	0
591	46832	0	0
592	46063	0	0
593	44564	0	0
594	44800	0	0
595	43310	0	0
596	43340	0	0
597	42008	2	0
598	41381	0	0
599	40958	0	0
600	40364	0	0
601	39766	0	0
602	38567	0	0
603	37848	0	0
604	37569	0	0
605	37656	0	0
606	36356	0	0
607	35523	0	0
608	35397	0	0
609	35091	0	0
610	33103	0	0
611	32530	0	0
612	32268	0	0
613	31790	0	0
614	31625	0	0
615	30286	0	0
616	30520	0	0
617	29422	1	0
618	28920	0	0
619	29120	0	0
620	28440	0	0
621	26993	0	0
622	26875	0	0
623	26855	0	0
624	26245	0	0
625	25235	0	0
626	26101	0	0
627	23988	0	0
628	23870	1	0
629	23621	0	0
630	23046	0	0
631	22199	1	0
632	21934	0	0
633	21646	0	0
634	21792	0	0
635	21263	0	0
636	20850	0	0
637	20144	1	0
638	20266	0	0
639	19519	0	0
640	19250	0	0
641	18957	0	0
642	18076	0	0
643	17238	0	0
644	17682	2	0
645	17613	0	0
646	16970	0	0
647	16833	0	0
648	16166	0	0
649	15737	0	0
650	15634	0	0
651	15177	0	0
652	15125	1	0
653	14807	0	0
654	14426	0	0
655	13642	0	0
656	13553	3	0
657	14416	0	0
658	13039	0	0
659	12659	0	0
660	12940	0	0
661	11761	0	0
662	12387	0	0
663	12103	0	0
664	11421	0	0
665	11105	0	0
666	11020	0	0
667	10955	0	0
668	10645	0	0
669	10841	0	0
670	10156	0	0
671	10139	0	0
672	9755	0	0
