read,position,Ia_a,Ia_t,Ia_c,Ia_g,It_a,It_t,It_c,It_g,Ic_a,Ic_t,Ic_c,Ic_g,Ig_a,Ig_t,Ig_c,Ig_g,Ca_a,Ca_t,Ca_c,Ca_g,Ct_a,Ct_t,Ct_c,Ct_g,Cc_a,Cc_t,Cc_c,Cc_g,Cg_a,Cg_t,Cg_c,Cg_g,Na_a,Na_t,Na_c,Na_g,Nt_a,Nt_t,Nt_c,Nt_g,Nc_a,Nc_t,Nc_c,Nc_g,Ng_a,Ng_t,Ng_c,Ng_g,cIa_a,cIa_t,cIa_c,cIa_g,cIt_a,cIt_t,cIt_c,cIt_g,cIc_a,cIc_t,cIc_c,cIc_g,cIg_a,cIg_t,cIg_c,cIg_g,cCa_a,cCa_t,cCa_c,cCa_g,cCt_a,cCt_t,cCt_c,cCt_g,cCc_a,cCc_t,cCc_c,cCc_g,cCg_a,cCg_t,cCg_c,cCg_g
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154447,39,1,60,30,125053,15,38,26,58754,1743,16,25,29,0,73868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140355,40,16,23,26,138614,24,22,9,59699,2074,13,12,43,1,77688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142518,33,5,22,17,134868,17,12,12,63751,2220,5,11,36,0,76001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135960,19,5,26,14,129588,12,9,9,68127,2305,5,10,28,1,83654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139315,27,13,28,9,125981,16,11,2,69541,2305,11,5,32,0,82663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137101,8,8,12,5,127471,20,5,4,71316,2471,3,7,13,0,81727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139975,10,11,18,5,127649,20,4,3,68688,2230,0,6,15,1,81703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135943,11,8,14,9,132287,21,2,1,72741,2291,1,7,22,0,77124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137684,13,7,17,4,130192,21,4,5,71429,2311,4,6,22,2,78611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138738,11,7,19,4,130376,22,5,8,70796,2209,1,6,13,0,78338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
