pair_id	figure	subset_id	quadrant	x_variable	y_variable	x_direction	y_direction	meaning	n_genes	percent
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	k119ub_quantifiable	Q1	k119ub_gb_log2fc	mecp2_fold	up	up	K119ub up, MeCP2 up	1632	17.3635493137568
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	k119ub_quantifiable	Q2	k119ub_gb_log2fc	mecp2_fold	down	up	K119ub down, MeCP2 up	926	9.85211192680072
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	k119ub_quantifiable	Q3	k119ub_gb_log2fc	mecp2_fold	down	down	K119ub down, MeCP2 down	3485	37.0784125970848
k119ub_vs_mecp2	20_03a_k119ub_vs_mecp2	k119ub_quantifiable	Q4	k119ub_gb_log2fc	mecp2_fold	up	down	K119ub up, MeCP2 down	3356	35.7059261623577
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	euchromatin	Q1	mecp2_fold	k27ac_fold	up	up	MeCP2 up, K27ac up	605	11.6795366795367
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	euchromatin	Q2	mecp2_fold	k27ac_fold	down	up	MeCP2 down, K27ac up	2282	44.0540540540541
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	euchromatin	Q3	mecp2_fold	k27ac_fold	down	down	MeCP2 down, K27ac down	1546	29.8455598455598
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	euchromatin	Q4	mecp2_fold	k27ac_fold	up	down	MeCP2 up, K27ac down	747	14.4208494208494
mecp2_vs_k27me3	20_03c_mecp2_vs_k27me3_heterochromatin	heterochromatin	Q1	mecp2_fold	k27me3_fold	up	up	MeCP2 up, K27me3 up	178	8.17263544536272
mecp2_vs_k27me3	20_03c_mecp2_vs_k27me3_heterochromatin	heterochromatin	Q2	mecp2_fold	k27me3_fold	down	up	MeCP2 down, K27me3 up	424	19.4674012855831
mecp2_vs_k27me3	20_03c_mecp2_vs_k27me3_heterochromatin	heterochromatin	Q3	mecp2_fold	k27me3_fold	down	down	MeCP2 down, K27me3 down	1138	52.2497704315886
mecp2_vs_k27me3	20_03c_mecp2_vs_k27me3_heterochromatin	heterochromatin	Q4	mecp2_fold	k27me3_fold	up	down	MeCP2 up, K27me3 down	438	20.1101928374656
k119ub_vs_mch	20_03d_k119ub_vs_mch	k119ub_quantifiable	Q1	k119ub_gb_log2fc	mch_diff	up	up	K119ub up, mCH up	5342	30.4647847162817
k119ub_vs_mch	20_03d_k119ub_vs_mch	k119ub_quantifiable	Q2	k119ub_gb_log2fc	mch_diff	down	up	K119ub down, mCH up	4123	23.5129740518962
k119ub_vs_mch	20_03d_k119ub_vs_mch	k119ub_quantifiable	Q3	k119ub_gb_log2fc	mch_diff	down	down	K119ub down, mCH down	4913	28.018249215854
k119ub_vs_mch	20_03d_k119ub_vs_mch	k119ub_quantifiable	Q4	k119ub_gb_log2fc	mch_diff	up	down	K119ub up, mCH down	3157	18.0039920159681
mecp2_vs_mch	20_03e_mecp2_vs_mch	all_genes	Q1	mecp2_fold	mch_diff	up	up	MeCP2 up, mCH up	1614	16.9591257749291
mecp2_vs_mch	20_03e_mecp2_vs_mch	all_genes	Q2	mecp2_fold	mch_diff	down	up	MeCP2 down, mCH up	3223	33.8657139854996
mecp2_vs_mch	20_03e_mecp2_vs_mch	all_genes	Q3	mecp2_fold	mch_diff	down	down	MeCP2 down, mCH down	3708	38.9618577282757
mecp2_vs_mch	20_03e_mecp2_vs_mch	all_genes	Q4	mecp2_fold	mch_diff	up	down	MeCP2 up, mCH down	972	10.2133025112956
