mark_category	promoter_state	n_genes
K27ac only	Active_Promoter	3112
Bivalent	Active_Promoter	95
K27me3 only	Active_Promoter	36
Neither	Active_Promoter	586
K27ac only	Bivalent_Promoter	6
Bivalent	Bivalent_Promoter	231
K27me3 only	Bivalent_Promoter	0
Neither	Bivalent_Promoter	0
K27ac only	Repressed_Promoter	1
Bivalent	Repressed_Promoter	148
K27me3 only	Repressed_Promoter	1578
Neither	Repressed_Promoter	15
K27ac only	Unmarked_Promoter	1150
Bivalent	Unmarked_Promoter	81
K27me3 only	Unmarked_Promoter	307
Neither	Unmarked_Promoter	2171
