alist_set	blist_set	observed_overlaps	null_run_z	null_run_p	null_run_alternative	test_id	n_permutations	null_mean_draws	null_sd_draws	null_median	null_min	null_max	null_q025	null_q975	n_null_ge_observed	n_null_le_observed	p_empirical_greater	p_empirical_less	mark_group	alist_label
mCH Hyper gene bodies	ATAC Up	538	6.6729	0.0001999600079984	greater	mCH Hyper gene bodies x ATAC Up	5000	332.2338	30.8363051143068	331	222	474	274	395.025	0	5000	0.0001999600079984	1	ATAC	Hyper
mCH Hyper gene bodies	ATAC Down	781	25.8194	0.0001999600079984	greater	mCH Hyper gene bodies x ATAC Down	5000	164.1506	23.8909454625601	164	65	278	120	213	0	5000	0.0001999600079984	1	ATAC	Hyper
mCH Hyper gene bodies	K119ub Gained	3034	30.4991	0.0001999600079984	greater	mCH Hyper gene bodies x K119ub Gained	5000	797.788	73.3206044588262	795	514	1074	660	944	0	5000	0.0001999600079984	1	H2AK119ub	Hyper
mCH Hyper gene bodies	K119ub Lost	87	-3.9599	0.0001999600079984	less	mCH Hyper gene bodies x K119ub Lost	5000	267.418	45.5617213249238	264	139	491	188	363	5000	0	1	0.0001999600079984	H2AK119ub	Hyper
mCH Hyper gene bodies	K27ac Gained	144	-1.7674	0.0217956408718256	less	mCH Hyper gene bodies x K27ac Gained	5000	219.226	42.5637787214882	216	87	418	146	311	4901	108	0.980203959208158	0.0217956408718256	H3K27ac	Hyper
mCH Hyper gene bodies	K27ac Lost	1558	32.0775	0.0001999600079984	greater	mCH Hyper gene bodies x K27ac Lost	5000	298.8368	39.2538194094237	298	181	451	224	378	0	5000	0.0001999600079984	1	H3K27ac	Hyper
mCH Hyper gene bodies	MeCP2 Up	2120	33.6113	0.0001999600079984	greater	mCH Hyper gene bodies x MeCP2 Up	5000	352.3492	52.5910260649525	350	205	583	258	464	0	5000	0.0001999600079984	1	MeCP2	Hyper
mCH Hyper gene bodies	MeCP2 Down	21	-2.163	0.0021995600879824	less	mCH Hyper gene bodies x MeCP2 Down	5000	51.9948	14.3295582698156	50	17	126	29	85	4995	10	0.999000199960008	0.0021995600879824	MeCP2	Hyper
mCH Hypo gene bodies	ATAC Up	2528	15.7465	0.0001999600079984	greater	mCH Hypo gene bodies x ATAC Up	5000	1578.123	60.3231833401525	1577	1395	1813	1461	1699	0	5000	0.0001999600079984	1	ATAC	Hypo
mCH Hypo gene bodies	ATAC Down	733	-1.0696	0.143571285742851	less	mCH Hypo gene bodies x ATAC Down	5000	782.6104	46.3824414839883	782	631	992	695	876	4305	717	0.861027794441112	0.143571285742851	ATAC	Hypo
mCH Hypo gene bodies	K119ub Gained	2498	-7.728	0.0001999600079984	less	mCH Hypo gene bodies x K119ub Gained	5000	3483.792	127.561294728388	3484	3038	3958	3236	3734	5000	0	1	0.0001999600079984	H2AK119ub	Hypo
mCH Hypo gene bodies	K119ub Lost	3166	20.9369	0.0001999600079984	greater	mCH Hypo gene bodies x K119ub Lost	5000	1337.6006	87.3291632628599	1335	1022	1682	1172	1511.025	0	5000	0.0001999600079984	1	H2AK119ub	Hypo
mCH Hypo gene bodies	K27ac Gained	3830	33.5672	0.0001999600079984	greater	mCH Hypo gene bodies x K27ac Gained	5000	1067.0742	82.3103036780834	1064	795	1389	912.975	1237	0	5000	0.0001999600079984	1	H3K27ac	Hypo
mCH Hypo gene bodies	K27ac Lost	1336	-0.7414	0.236752649470106	less	mCH Hypo gene bodies x K27ac Lost	5000	1391.093	74.3048248258381	1390	1118	1666	1251	1542	3838	1183	0.767646470705859	0.236752649470106	H3K27ac	Hypo
mCH Hypo gene bodies	MeCP2 Up	287	-13.3433	0.0001999600079984	less	mCH Hypo gene bodies x MeCP2 Up	5000	1576.4698	96.6382019512743	1575	1239	1915	1394	1773	5000	0	1	0.0001999600079984	MeCP2	Hypo
mCH Hypo gene bodies	MeCP2 Down	801	18.428	0.0001999600079984	greater	mCH Hypo gene bodies x MeCP2 Down	5000	252.3556	29.7722761361181	250	159	399	199	315	0	5000	0.0001999600079984	1	MeCP2	Hypo
