alist_set	blist_set	permutation	permuted_overlaps	test_id
mCH Hyper gene bodies	ATAC Up	1	396	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	2	304	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	3	383	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	4	299	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	5	348	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	6	318	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	7	294	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	8	353	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	9	308	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	10	324	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	11	277	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	12	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	13	337	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	14	351	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	15	361	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	16	397	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	17	354	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	18	333	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	19	319	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	20	351	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	21	329	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	22	355	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	23	346	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	24	377	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	25	381	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	26	342	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	27	308	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	28	320	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	29	298	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	30	303	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	31	343	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	32	318	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	33	296	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	34	301	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	35	308	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	36	360	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	37	316	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	38	372	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	39	298	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	40	368	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	41	286	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	42	314	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	43	360	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	44	336	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	45	321	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	46	302	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	47	369	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	48	322	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	49	328	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	50	355	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	51	272	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	52	354	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	53	369	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	54	303	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	55	338	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	56	331	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	57	343	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	58	321	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	59	332	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	60	306	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	61	330	mCH Hyper gene bodies x ATAC Up
