alist_set	blist_set	n_region_a	n_region_b	observed_overlaps	null_mean	null_sd	z_score	norm_zscore	p_value	adj_p_value	mark_group	alist_label	test_id	observed_over_expected	se_z	z_ci_lower	z_ci_upper	ntimes	sig_label	null_run_z	null_run_p	null_run_alternative	n_permutations	null_mean_draws	null_sd_draws	null_median	null_min	null_max	null_q025	null_q975	n_null_ge_observed	n_null_le_observed	p_empirical_greater	p_empirical_less	z_difference	ran_fun	ev_fun	per_chromosome	seed
mCH Hyper gene bodies	ATAC Up	642	7618	538	328.1752	31.5471131647542	6.6512	0.262501925345261	0.0001999600079984	3e-04	ATAC	Hyper	mCH Hyper gene bodies x ATAC Up	1.63936823989137	0.0679988686964717	6.51792221735492	6.78447778264508	5000	***	6.6729	0.0001999600079984	greater	5000	332.2338	30.8363051143068	331	222	474	274	395.025	0	5000	0.0001999600079984	1	-0.0217000000000001	randomizeRegions	numOverlaps	TRUE	42
mCH Hyper gene bodies	ATAC Down	642	3744	781	160.7396	23.3205008735275	26.5972	1.04970775330662	0.0001999600079984	3e-04	ATAC	Hyper	mCH Hyper gene bodies x ATAC Down	4.85879024210587	0.266347714058146	26.075158480446	27.119241519554	5000	***	25.8194	0.0001999600079984	greater	5000	164.1506	23.8909454625601	164	65	278	120	213	0	5000	0.0001999600079984	1	0.777799999999999	randomizeRegions	numOverlaps	TRUE	42
mCH Hyper gene bodies	K119ub Gained	642	17078	3034	737.5524	73.6932221607828	31.1623	1.22987787890706	0.0001999600079984	3e-04	H2AK119ub	Hyper	mCH Hyper gene bodies x K119ub Gained	4.11360602989022	0.311943735518122	30.5508902783845	31.7737097216155	5000	***	30.4991	0.0001999600079984	greater	5000	797.788	73.3206044588262	795	514	1074	660	944	0	5000	0.0001999600079984	1	0.6632	randomizeRegions	numOverlaps	TRUE	42
mCH Hyper gene bodies	K119ub Lost	642	6304	87	270.4362	46.6580810242446	-3.9315	-0.155163928237745	0.0001999600079984	3e-04	H2AK119ub	Hyper	mCH Hyper gene bodies x K119ub Lost	0.321702493970852	0.0417812066005758	-4.01339116493713	-3.84960883506287	5000	***	-3.9599	0.0001999600079984	less	5000	267.418	45.5617213249238	264	139	491	188	363	5000	0	1	0.0001999600079984	0.0284	randomizeRegions	numOverlaps	TRUE	42
mCH Hyper gene bodies	K27ac Gained	642	5076	144	218.4304	42.8724896164566	-1.7361	-0.0685184015804527	0.0271945610877824	0.0272	H3K27ac	Hyper	mCH Hyper gene bodies x K27ac Gained	0.6592488957581	0.0223920593291461	-1.77998843628513	-1.69221156371487	5000	*	-1.7674	0.0217956408718256	less	5000	219.226	42.5637787214882	216	87	418	146	311	4901	108	0.980203959208158	0.0217956408718256	0.0313000000000001	randomizeRegions	numOverlaps	TRUE	42
mCH Hyper gene bodies	K27ac Lost	642	6706	1558	288.6882	38.3040679443348	33.1378	1.30784464483194	0.0001999600079984	3e-04	H3K27ac	Hyper	mCH Hyper gene bodies x K27ac Lost	5.39682605662441	0.331679632905007	32.4877079195062	33.7878920804938	5000	***	32.0775	0.0001999600079984	greater	5000	298.8368	39.2538194094237	298	181	451	224	378	0	5000	0.0001999600079984	1	1.0603	randomizeRegions	numOverlaps	TRUE	42
mCH Hyper gene bodies	MeCP2 Up	642	7686	2120	331.8916	51.3367718333404	34.8309	1.37466597178077	0.0001999600079984	3e-04	MeCP2	Hyper	mCH Hyper gene bodies x MeCP2 Up	6.38762776762051	0.348595983168194	34.1476518729903	35.5141481270097	5000	***	33.6113	0.0001999600079984	greater	5000	352.3492	52.5910260649525	350	205	583	258	464	0	5000	0.0001999600079984	1	1.2196	randomizeRegions	numOverlaps	TRUE	42
mCH Hyper gene bodies	MeCP2 Down	642	1200	21	51.704	14.9712528427763	-2.0509	-0.0809425665580039	0.0027994401119776	0.0032	MeCP2	Hyper	mCH Hyper gene bodies x MeCP2 Down	0.406158130898963	0.024912227539905	-2.09972796597821	-2.00207203402179	5000	**	-2.163	0.0021995600879824	less	5000	51.9948	14.3295582698156	50	17	126	29	85	4995	10	0.999000199960008	0.0021995600879824	0.1121	randomizeRegions	numOverlaps	TRUE	42
mCH Hypo gene bodies	ATAC Up	4915	7618	2528	1521.3694	58.4460001251251	17.2233	0.245671402536834	0.0001999600079984	3e-04	ATAC	Hypo	mCH Hypo gene bodies x ATAC Up	1.6616608694772	0.172812633476259	16.8845872383865	17.5620127616135	5000	***	15.7465	0.0001999600079984	greater	5000	1578.123	60.3231833401525	1577	1395	1813	1461	1699	0	5000	0.0001999600079984	1	1.4768	randomizeRegions	numOverlaps	TRUE	42
mCH Hypo gene bodies	ATAC Down	4915	3744	733	748.2294	44.4748510746874	-0.3424	-0.00488395883649544	0.379724055188962	0.434	ATAC	Hypo	mCH Hypo gene bodies x ATAC Down	0.979646081803254	0.0145507311156519	-0.370919432986678	-0.313880567013322	5000	ns	-1.0696	0.143571285742851	less	5000	782.6104	46.3824414839883	782	631	992	695	876	4305	717	0.861027794441112	0.143571285742851	0.7272	randomizeRegions	numOverlaps	TRUE	42
mCH Hypo gene bodies	K119ub Gained	4915	17078	2498	3413.4796	131.119803479157	-6.982	-0.0995905391250326	0.0001999600079984	3e-04	H2AK119ub	Hypo	mCH Hypo gene bodies x K119ub Gained	0.731804578530365	0.0712378579127699	-7.12162620150903	-6.84237379849097	5000	***	-7.728	0.0001999600079984	less	5000	3483.792	127.561294728388	3484	3038	3958	3236	3734	5000	0	1	0.0001999600079984	0.746	randomizeRegions	numOverlaps	TRUE	42
