sub_analysis	role	region_set	n_regions	n_chromosomes	total_bp	median_width	mean_width	min_width	max_width
40_02a  ATAC x marks	query	ATAC Up	7618	20	3065841	400	402.44696770806	400	799
40_02a  ATAC x marks	query	ATAC Down	3744	20	1507807	400	402.726228632479	400	795
40_02a  ATAC x marks	target	CTCF	32474	20	6531287	230	201.123575783704	58	405
40_02a  ATAC x marks	target	H3K27ac	15100	20	42707355	2382	2828.30165562914	461	30838
40_02a  ATAC x marks	target	H3K27me3	15794	20	54976059	2760	3480.81923515259	11	105332
40_02a  ATAC x marks	target	H3K4me1	113652	20	116592815	831	1025.87561151586	161	7435
40_02a  ATAC x marks	target	H3K4me3	6580	20	19050396	2541	2895.19696048632	674	29992
40_02a  ATAC x marks	target	Bivalent	318	20	1087520	3030.5	3419.87421383648	1209	23038
40_02b  ATAC x body states	query	ATAC Up	7618	20	3065841	400	402.44696770806	400	799
40_02b  ATAC x body states	query	ATAC Down	3744	20	1507807	400	402.726228632479	400	795
40_02b  ATAC x body states	target	Active	6566	20	451356489	30557.5	68741.4695400548	508	2270724
40_02b  ATAC x body states	target	Mixed	520	20	116822398	98584	224658.457692308	1246	4434882
40_02b  ATAC x body states	target	Polycomb	3324	20	246956531	25417	74294.9852587244	545	1550396
40_02b  ATAC x body states	target	Enhancer_Marked	5477	20	177591237	17930	32424.9109001278	501	894812
40_02b  ATAC x body states	target	Unmarked	5210	20	79852229	7637	15326.7234165067	365	535810
40_02m  ATAC x promoter states	query	ATAC Up	7618	20	3065841	400	402.44696770806	400	799
40_02m  ATAC x promoter states	query	ATAC Down	3744	20	1507807	400	402.726228632479	400	795
40_02m  ATAC x promoter states	target	Active_Promoter	6190	20	434763983	30388.5	70236.5077544426	508	4434882
40_02m  ATAC x promoter states	target	Bivalent_Promoter	286	20	40072190	47080	140112.552447552	1223	1643050
40_02m  ATAC x promoter states	target	Repressed_Promoter	2775	20	208597323	24100	75170.2064864865	545	1612060
40_02m  ATAC x promoter states	target	Unmarked_Promoter	11846	20	389145388	12883	32850.361978727	365	2270724
40_02c  Loop anchors x features	query	Gained loop anchors	2327	20	36067327	10001	15499.4959174903	5001	75001
40_02c  Loop anchors x features	query	Lost loop anchors	1520	20	26331520	10001	17323.3684210526	5001	100001
40_02c  Loop anchors x features	target	CTCF	32474	20	6531287	230	201.123575783704	58	405
40_02c  Loop anchors x features	target	H3K27ac	15100	20	42707355	2382	2828.30165562914	461	30838
40_02c  Loop anchors x features	target	H3K27me3	15794	20	54976059	2760	3480.81923515259	11	105332
40_02c  Loop anchors x features	target	H3K4me1	113652	20	116592815	831	1025.87561151586	161	7435
40_02c  Loop anchors x features	target	H3K4me3	6580	20	19050396	2541	2895.19696048632	674	29992
40_02c  Loop anchors x features	target	Bivalent	318	20	1087520	3030.5	3419.87421383648	1209	23038
40_02c  Loop anchors x features	target	ATAC Up	7618	20	3065841	400	402.44696770806	400	799
40_02c  Loop anchors x features	target	ATAC Down	3744	20	1507807	400	402.726228632479	400	795
40_02c  Loop anchors x features	target	MeCP2 Up	7686	20	3075260	400	400.111891751236	400	712
40_02c  Loop anchors x features	target	MeCP2 Down	1200	20	480726	400	400.605	400	771
40_02c  Loop anchors x features	target	mCH Hyper genes	642	20	112896864	69923.5	175851.813084112	833	2197319
40_02c  Loop anchors x features	target	mCH Hypo genes	4915	20	522859171	63546	106380.299287894	912	4434882
