sub_analysis	region_set_a	region_set_b	fisher_test_id	n_genes	n_direction	n_in_target	n_direction_in_target	n_direction_outside_target	n_other_in_target	n_other_outside_target	pct_direction_in_target	pct_other_in_target	fisher_or	fisher_ci_lower	fisher_ci_upper	fisher_p	n_region_a	n_region_b	observed_hits	expected_hits	sd_perm_hits	perm_z_score	perm_norm_zscore	perm_p_value	perm_adj_p_value	test_id	perm_sig_label	concordance	fisher_sig_label
Compartment	mCH Hyper genes	A Compartment	mch_hyper_genes_x_a_compartment	21072	1399	16006	1068	331	14938	4735	76.3402430307362	75.9314796929802	1.02276206648698	0.89924042374606	1.16550464303048	0.746195502284564	1399	2038	1144	827.4482	21.4151030370535	14.7817	0.395198717569826	0.0001999600079984	3e-04	mCH Hyper genes x A Compartment	***	Strengthened	ns
Compartment	mCH Hypo genes	A Compartment	mch_hypo_genes_x_a_compartment	21072	4152	16006	3750	402	12256	4664	90.3179190751445	72.434988179669	3.54968587197435	3.18414590284928	3.96513033476367	1.74565221873509e-149	4152	2038	3824	2156.222	33.6963351805641	49.4943	0.768115473517826	0.0001999600079984	2e-04	mCH Hypo genes x A Compartment	***	Confirmed	***
Compartment	mCH Hyper genes	B Compartment	mch_hyper_genes_x_b_compartment	21072	1399	6274	583	816	5691	13982	41.6726233023588	28.927972347888	1.75520650452629	1.56858927695529	1.96335460872092	1.51621557293185e-22	1399	2145	655	933.3574	22.5731073243108	-12.3314	-0.329688294704976	0.0001999600079984	3e-04	mCH Hyper genes x B Compartment	***	Confirmed	***
Compartment	mCH Hypo genes	B Compartment	mch_hypo_genes_x_b_compartment	21072	4152	6274	787	3365	5487	11433	18.9547206165703	32.4290780141844	0.487339805354097	0.447473743077526	0.530320420946031	3.81888057718609e-69	4152	2145	828	2455.7546	34.1967229718346	-47.5997	-0.738712661959185	0.0001999600079984	2e-04	mCH Hypo genes x B Compartment	***	Confirmed	***
Compartment	mCH Hyper genes	B to A Shift	mch_hyper_genes_x_b_to_a_shift	21072	1399	696	119	1280	577	19096	8.506075768406	2.93295379454074	3.07656764803148	2.4839328703518	3.78598675366635	5.58791017249987e-22	1399	880	149	158.4598	13.8539947522048	-0.6828	-0.0182551184475857	0.262147570485903	0.2621	mCH Hyper genes x B to A Shift	ns	Weakened	***
Compartment	mCH Hypo genes	B to A Shift	mch_hypo_genes_x_b_to_a_shift	21072	4152	696	170	3982	526	16394	4.09441233140655	3.10874704491726	1.33057783866787	1.10875817369162	1.59055410799026	0.00190045808141843	4152	880	196	339.9804	18.8860729795931	-7.6236	-0.118312717300992	0.0001999600079984	2e-04	mCH Hypo genes x B to A Shift	***	Confirmed	**
Compartment	mCH Hyper genes	A to B Shift	mch_hyper_genes_x_a_to_b_shift	21072	1399	408	115	1284	293	19380	8.22015725518227	1.48935088700249	5.92304294389701	4.69641861539507	7.43099521704089	3.80159247900224e-42	1399	449	138	79.0272	10.0998644353438	5.839	0.156109602541671	0.0001999600079984	3e-04	mCH Hyper genes x A to B Shift	***	Confirmed	***
Compartment	mCH Hypo genes	A to B Shift	mch_hypo_genes_x_a_to_b_shift	21072	4152	408	95	4057	313	16607	2.28805394990366	1.84988179669031	1.24239759110491	0.974342731051352	1.57213517931678	0.0684502792870613	4152	449	101	168.3222	13.6036244758438	-4.9488	-0.0768017702108125	0.0001999600079984	2e-04	mCH Hypo genes x A to B Shift	***	Strengthened	ns
Polycomb	mCH Hyper genes	H3K27me3 Domains	mch_hyper_genes_x_h3k27me3_domains	21072	1399	3842	370	1029	3472	16201	26.4474624731951	17.648553855538	1.67778224384636	1.47747975197966	1.90216859307365	4.05375728317476e-15	1399	10034	920	1015.927	66.45518587248	-1.4435	-0.0385929459271967	0.0715856828634273	0.0716	mCH Hyper genes x H3K27me3 Domains	ns	Weakened	***
Polycomb	mCH Hypo genes	H3K27me3 Domains	mch_hypo_genes_x_h3k27me3_domains	21072	4152	3842	1049	3103	2793	14127	25.2649325626204	16.5070921985816	1.70979151405321	1.57531790740665	1.85517117809097	7.29170331756733e-37	4152	10034	2136	1543.1386	67.8938060784691	8.7322	0.135517381554085	0.0001999600079984	4e-04	mCH Hypo genes x H3K27me3 Domains	***	Confirmed	***
Polycomb	mCH Hyper genes	Polycomb State Intervals	mch_hyper_genes_x_polycomb_state_intervals	21072	1399	3599	294	1105	3305	16368	21.0150107219442	16.7996746810349	1.31765839879768	1.14846307156918	1.50833693706134	8.17548946113782e-05	1399	3171	301	439.7602	25.9084493073032	-5.3558	-0.143190924694756	0.0001999600079984	4e-04	mCH Hyper genes x Polycomb State Intervals	***	Confirmed	***
Polycomb	mCH Hypo genes	Polycomb State Intervals	mch_hypo_genes_x_polycomb_state_intervals	21072	4152	3599	908	3244	2691	14229	21.868978805395	15.9042553191489	1.47998327840324	1.35863876149156	1.61131349527821	4.42450541614888e-19	4152	3171	917	841.419	32.6992429132147	2.3114	0.0358712438702861	0.0121975604879024	0.0122	mCH Hypo genes x Polycomb State Intervals	*	Confirmed	***
