min_coverage	feature_type	n_intervals	n_pass	n_removed	pct_removed
0	5UTR	46033	46033	0	0
0	Exon	226407	226407	0	0
0	SpliceSite_Donor	204583	204583	0	0
0	SpliceSite_Acceptor	204578	204578	0	0
0	Intron	204586	204586	0	0
0	3UTR	52898	52898	0	0
0	All	939085	939085	0	0
5	5UTR	46033	45178	855	1.85736319596811
5	Exon	226407	224076	2331	1.02956180683459
5	SpliceSite_Donor	204583	202342	2241	1.09539893344022
5	SpliceSite_Acceptor	204578	202302	2276	1.11253409457517
5	Intron	204586	203358	1228	0.600236575327735
5	3UTR	52898	52012	886	1.67492154712844
5	All	939085	929268	9817	1.04537927876603
10	5UTR	46033	45155	878	1.90732735211696
10	Exon	226407	224032	2375	1.04899583493443
10	SpliceSite_Donor	204583	202236	2347	1.14721164515136
10	SpliceSite_Acceptor	204578	202187	2391	1.16874737264026
10	Intron	204586	203348	1238	0.605124495322261
10	3UTR	52898	51995	903	1.70705886801013
10	All	939085	928953	10132	1.07892256824462
20	5UTR	46033	45110	923	2.00508330979949
20	Exon	226407	223960	2447	1.08079697182508
20	SpliceSite_Donor	204583	202065	2518	1.2307963027231
20	SpliceSite_Acceptor	204578	202039	2539	1.24109141745447
20	Intron	204586	203313	1273	0.6222322153031
20	3UTR	52898	51967	931	1.75999092593293
20	All	939085	928454	10631	1.13205939824404
30	5UTR	46033	45068	965	2.09632220363652
30	Exon	226407	223891	2516	1.11127306134528
30	SpliceSite_Donor	204583	201915	2668	1.30411617778603
30	SpliceSite_Acceptor	204578	201910	2668	1.30414805111009
30	Intron	204586	203264	1322	0.646183023276275
30	3UTR	52898	51919	979	1.85073159665772
30	All	939085	927967	11118	1.18391838864427
50	5UTR	46033	44926	1107	2.40479655899029
50	Exon	226407	223796	2611	1.15323289474265
50	SpliceSite_Donor	204583	201585	2998	1.46541990292449
50	SpliceSite_Acceptor	204578	201679	2899	1.41706341835388
50	Intron	204586	203185	1401	0.684797591233027
50	3UTR	52898	51748	1150	2.17399523611479
50	All	939085	926919	12166	1.29551638030636
100	5UTR	46033	44507	1526	3.31501314274542
100	Exon	226407	223604	2803	1.23803592645104
100	SpliceSite_Donor	204583	200510	4073	1.99087900754217
100	SpliceSite_Acceptor	204578	201055	3523	1.72208155324619
100	Intron	204586	203012	1574	0.769358607138318
100	3UTR	52898	51310	1588	3.00200385647851
100	All	939085	923998	15087	1.60656383607448
200	5UTR	46033	43630	2403	5.22016814024721
200	Exon	226407	223259	3148	1.39041637405204
200	SpliceSite_Donor	204583	195349	9234	4.51357150887415
200	SpliceSite_Acceptor	204578	198065	6513	3.18362678293854
200	Intron	204586	202709	1877	0.917462582972442
200	3UTR	52898	50964	1934	3.65609285795304
200	All	939085	913976	25109	2.67377287465991
