comparison	Z	p_dunn	p_dunn_bh
5UTR - Intron	63.3007674028718	0	0
Exon - Intron	57.8771901275246	0	0
3UTR - SpliceSite_Acceptor	-38.294244974389	0	0
Exon - SpliceSite_Acceptor	-43.6136993907307	0	0
Intron - SpliceSite_Acceptor	-99.0385015167767	0	0
3UTR - SpliceSite_Donor	-43.8560681122257	0	0
Exon - SpliceSite_Donor	-52.5302678872901	0	0
Intron - SpliceSite_Donor	-107.749542556576	0	0
3UTR - 5UTR	-32.1184302910935	1.21910044648247e-226	2.03183407747078e-226
5UTR - Exon	29.4830355630801	2.37538388841114e-191	3.56307583261671e-191
3UTR - Intron	24.9745290302126	5.7822958137007e-138	7.88494883686458e-138
3UTR - Exon	-11.19975156298	2.04439257377757e-29	2.55549071722196e-29
SpliceSite_Acceptor - SpliceSite_Donor	-8.69419215863934	1.74653045270701e-18	2.01522744543116e-18
5UTR - SpliceSite_Acceptor	3.52051191457934	0.000215357320920679	0.000230739986700727
5UTR - SpliceSite_Donor	-1.73226465698937	0.041613225825181	0.041613225825181
