feature_type	n	median	mean	q25	q75	genotype
5UTR	45110	1.517136099493	1.80825840448692	0.874831763122476	2.38818117692445	ctrl
Exon	223960	1.41414141414141	1.64618019718719	0.92311643011741	2.07612456747405	ctrl
SpliceSite_Donor	202065	1.33333333333333	1.72700369573066	0.665188470066519	2.24438902743142	ctrl
SpliceSite_Acceptor	202039	1.23796423658872	1.56872534008933	0.615384615384615	2.06896551724138	ctrl
Intron	203313	1.54127146885414	1.76975111968708	1.19052034269184	2.06856797782109	ctrl
3UTR	51967	1.37672090112641	1.5823874560951	0.934973045822102	1.96773474238194	ctrl
5UTR	45110	1.63956957697943	1.90039417489832	1.08756797299831	2.39385936481372	mut
Exon	223960	1.47806333900173	1.70132062190192	1.06313584563836	2.05099537516679	mut
SpliceSite_Donor	202065	1.43755615453729	1.79011454483002	0.883002207505519	2.18712029161604	mut
SpliceSite_Acceptor	202039	1.33333333333333	1.62680673728199	0.81383519837233	2.03160270880361	mut
Intron	203313	1.58288259624563	1.8281129028483	1.29501703969789	2.05857757347234	mut
3UTR	51967	1.44379511859746	1.63447732773602	1.06499172206028	1.9407764951991	mut
