group	decile	n_genes	decile_min	decile_max	n_universe	n_group	pct_of_group	metric	metric_display	group_label
MeCP2_only	1	1	-1.361979	-0.366987	1177	59	1.69491525423729	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	2	1	-0.366931	-0.254215	1177	59	1.69491525423729	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	3	4	-0.25417	-0.162688	1177	59	6.77966101694915	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	4	8	-0.162594	-0.081953	1176	59	13.5593220338983	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	5	2	-0.08186	0.006451	1176	59	3.38983050847458	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	6	9	0.006481	0.090548	1176	59	15.2542372881356	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	7	2	0.090551	0.180192	1176	59	3.38983050847458	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	8	8	0.180312	0.286727	1176	59	13.5593220338983	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	9	11	0.286962	0.446144	1176	59	18.6440677966102	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_only	10	13	0.446215	1.920324	1176	59	22.0338983050847	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 changes (no mCH change)
MeCP2_and_mCH	1	2	-1.361979	-0.366987	1177	96	2.08333333333333	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	2	5	-0.366931	-0.254215	1177	96	5.20833333333333	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	3	6	-0.25417	-0.162688	1177	96	6.25	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	4	4	-0.162594	-0.081953	1176	96	4.16666666666667	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	5	8	-0.08186	0.006451	1176	96	8.33333333333333	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	6	3	0.006481	0.090548	1176	96	3.125	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	7	4	0.090551	0.180192	1176	96	4.16666666666667	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	8	5	0.180312	0.286727	1176	96	5.20833333333333	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	9	14	0.286962	0.446144	1176	96	14.5833333333333	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
MeCP2_and_mCH	10	45	0.446215	1.920324	1176	96	46.875	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	MeCP2 and mCH (both change)
Neither	1	1174	-1.361979	-0.366987	1177	11608	10.1137146795314	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	2	1171	-0.366931	-0.254215	1177	11608	10.0878704341833	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	3	1167	-0.25417	-0.162688	1177	11608	10.0534114403859	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	4	1164	-0.162594	-0.081953	1176	11608	10.0275671950379	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	5	1166	-0.08186	0.006451	1176	11608	10.0447966919366	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	6	1164	0.006481	0.090548	1176	11608	10.0275671950379	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	7	1170	0.090551	0.180192	1176	11608	10.079255685734	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	8	1163	0.180312	0.286727	1176	11608	10.0189524465886	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	9	1151	0.286962	0.446144	1176	11608	9.91557546519642	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
Neither	10	1118	0.446215	1.920324	1176	11608	9.63128876636802	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	Neither changes
MeCP2_only	1	0	0.04237	0.400844	1204	59	0	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	2	6	0.401008	0.545657	1203	59	10.1694915254237	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	3	3	0.54571	0.674661	1203	59	5.08474576271186	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	4	5	0.674812	0.813722	1203	59	8.47457627118644	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	5	4	0.813768	0.971235	1203	59	6.77966101694915	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	6	5	0.971375	1.16357	1203	59	8.47457627118644	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
