gene_name	ctrl_aging_up	mut_aging_up	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up
0610009E02Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610010K14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610030E20Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610031O16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610038B21Rik	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
0610039K10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610040B10Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
0610040F04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
0610040J01Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
0610043K17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110002E22Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1110002J07Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1110002L01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110004F10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110006O24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110015O18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110019D14Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1110020A21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110025L11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110028F11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110028F18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110032F04Rik	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1110038B12Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1110038F14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110046J04Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110059E24Rik	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
1110059G10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1110065P20Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1190005I06Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1190028D05Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1300002E11Rik	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
1500009L16Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1500011B03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1500015A07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1500015L24Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1500026H17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600002D24Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1600010M07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600012P17Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1600014C10Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1600014C23Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600019K03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600020E01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600023N17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600025M17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600027J07Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1600029I14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001D01Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700001G01Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700001G11Rik	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
1700001G17Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700001J03Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700001J11Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700001K19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001K23Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001L05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001O22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003C15Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003D09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003F12Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700003G18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003H04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700003I22Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700003L19Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700003M07Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700003P14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700006A11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700006F04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700006H21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700007F19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700007J10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700007L15Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700007P06Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700008C04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700008K24Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700008O03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700008P02Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700009C05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700009J07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700009N14Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700010B08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010D01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010I02Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700010I14Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700010J16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010K23Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700010N08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700011B04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700011C11Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700011L22Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700012A03Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700012B07Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700012B09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700012C14Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700012D16Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700012I11Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700013G24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700013H16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016G22Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700016H13Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016K05Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700016L21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700016P04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700017B05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700017G19Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700017J07Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700017L05Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700017N19Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700018A04Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700018B08Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700018F24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700019A02Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700019C18Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700019D03Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700019E08Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700019G24Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700019M22Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700019P21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700020G17Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700020L24Rik	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
1700020M21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700020N01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700020N15Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700020N18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700021F02Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700021N21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022A21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022A22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022E09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022H01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022H16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022I11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700023C21Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700023F02Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700024B18Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700024G13Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700024I08Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700025B11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700025C18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700025F24Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700025G04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700025K24Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700025M24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700025N23Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700026D11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700026F02Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700026J14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700027F06Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700027F09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700027H10Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700027J07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028B04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700028D13Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700028E10Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700028I16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028J19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028K03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028M03Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700028P15Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700029B22Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700029F12Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700029H14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700029J03Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700029M20Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700029N11Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700030A11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030C10Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700030C14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030F04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700030J22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030K09Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700030L20Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700030M09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030N03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030O20Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
