peakset	direction	scheme	value	scheme_label
Annotated peakset	Gained	peak_count	7686	Unweighted peak count
Annotated peakset	Gained	total_width_bp	3082946	Weighted by peak width (total bp)
Annotated peakset	Gained	sum_linear_concentration	128319.415951649	Weighted by concentration (sum of 2^Conc)
Annotated peakset	Gained	sum_signal_mass	51465078.1881778	Weighted by signal mass (width x 2^Conc)
Annotated peakset	Lost	peak_count	1200	Unweighted peak count
Annotated peakset	Lost	total_width_bp	481926	Weighted by peak width (total bp)
Annotated peakset	Lost	sum_linear_concentration	22309.1530117053	Weighted by concentration (sum of 2^Conc)
Annotated peakset	Lost	sum_signal_mass	8951357.51915585	Weighted by signal mass (width x 2^Conc)
DiffBind Conc4 peakset	Gained	peak_count	5675	Unweighted peak count
DiffBind Conc4 peakset	Gained	total_width_bp	9321146	Weighted by peak width (total bp)
DiffBind Conc4 peakset	Gained	sum_linear_concentration	257177.295312862	Weighted by concentration (sum of 2^Conc)
DiffBind Conc4 peakset	Gained	sum_signal_mass	518655432.728363	Weighted by signal mass (width x 2^Conc)
DiffBind Conc4 peakset	Lost	peak_count	1107	Unweighted peak count
DiffBind Conc4 peakset	Lost	total_width_bp	1757390	Weighted by peak width (total bp)
DiffBind Conc4 peakset	Lost	sum_linear_concentration	55799.807698969	Weighted by concentration (sum of 2^Conc)
DiffBind Conc4 peakset	Lost	sum_signal_mass	109671692.019189	Weighted by signal mass (width x 2^Conc)
