ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	is_neuronal_term
GO:0003002	regionalization	451	0.709146091864263	2.25298455709226	3.71388084501988e-65	1.92007639687528e-61	1.37139936887681e-61	1839	tags=40%, list=9%, signal=37%	12022/73191/12020/15205/23967/18741/20471/13392/54713/18423/15404/21815/21375/18530/15438/17701/13390/16870/21385/15402/15375/15111/15396/17300/15427/15229/15376/15431/12159/15433/15395/16814/15405/13172/15430/13798/18088/16373/18424/15424/15434/15399/109663/320145/15400/15426/209448/13797/15425/13654/15436/15403/14367/15437/18121/14843/21869/226049/22408/16371/13614/16372/242620/20472/16147/14836/18091/15227/21380/14234/15423/14179/240590/15110/15414/15285/232174/18187/66042/15401/20473/15394/13796/11819/15415/15413/15228/16871/55927/16658/14463/59058/14472/20671/14451/15206/66993/11838/20423/15422/11695/16392/15416/18095/15417/21386/241324/103889/24063/15213/12591/54485/22418/12622/17292/14573/12156/15410/67122/13590/20893/16848/22411/15223/20664/15208/16917/13388/18014/22431/17172/15207/78405/53883/216285/107586/24113/14632/15407/14766/18508/79362/20613/18119/15412/234219/21393/24087/21407/18503/17684/546726/13380/22422/84653/22773/16869/13865/64290/12151/71870/433809/13082/12259/14633/18505/15242/17965/106042/24136/214766/622473/110796/20997/24117/20350/12227/76365/14609/12667	FALSE
GO:0007389	pattern specification process	493	0.696263042349581	2.2145478043316	2.71594766689375e-64	7.02072471892035e-61	5.01449706077015e-61	1839	tags=39%, list=9%, signal=36%	12022/73191/12020/15205/23967/18741/20471/13392/54713/18423/15404/21815/21375/18530/15438/17701/13390/16870/15432/14313/21385/15402/15375/15111/15396/17300/15427/15229/15376/15431/12159/15433/15395/21418/16814/15405/13172/15430/13798/18088/16373/18424/15424/15434/15399/109663/320145/15400/15426/209448/13797/15425/13654/15436/15403/11694/14367/15437/18121/14843/21869/226049/22408/16371/13614/16372/242620/20472/16147/14836/18091/15227/21380/14234/15423/14179/240590/15110/15414/20465/15285/232174/18187/66042/15401/20473/15394/13796/11819/19434/15415/15413/15228/16871/55927/16658/14463/59058/14472/20671/14451/15206/66993/22420/11838/20423/15422/11695/16392/15416/18095/15417/21386/241324/103889/24063/15213/12591/54485/22418/12622/17292/14573/12156/15410/67122/13590/20893/16848/22411/15223/20664/15208/16917/13388/18014/22431/17172/15207/78405/53883/216285/107586/12705/24113/14632/15407/14766/18508/79362/20613/18119/15412/234219/21393/24087/21407/18503/17684/546726/20855/13380/22422/84653/22773/16869/13865/64290/12151/71870/433809/13082/12259/14633/18505/15242/17965/106042/13641/24136/214766/622473/110796/20997/24117/20350/12227/76365/14609/12667	FALSE
GO:0009952	anterior/posterior pattern specification	239	0.747010420393687	2.32879495183131	2.11032195256397e-43	3.63678816491858e-40	2.5975471612612e-40	1776	tags=47%, list=8%, signal=44%	12022/73191/15205/23967/54713/18423/15404/18530/15438/17701/15402/15396/17300/15427/15376/15431/12159/15433/15395/15405/15430/13798/18424/15424/15434/15399/109663/15400/15426/209448/13797/15425/15436/15403/14367/15437/18121/226049/22408/20472/15227/21380/14234/15423/14179/15414/15401/20473/15394/11819/15415/15413/55927/14463/14472/20671/15206/11838/20423/15422/11695/15416/18095/15417/21386/241324/103889/15213/12591/22418/12622/17292/12156/15410/67122/13590/20893/16848/15208/13388/18014/22431/15207/53883/216285/15407/18508/79362/18119/15412/234219/21393/21407/18503/546726/13380/84653/22773/16869/64290/12151/13082/14633/18505/15242/106042/24136/622473/110796/20997/24117/12227/76365	FALSE
GO:0048562	embryonic organ morphogenesis	332	0.695183594859967	2.19240403800597	7.164135949416e-43	9.25964571462018e-40	6.6136286606714e-40	1940	tags=39%, list=9%, signal=36%	107587/11921/13395/18109/20429/12020/15205/23967/18741/15284/20471/13392/18423/15404/13396/15438/17869/17701/111970/21412/21385/15402/15111/15396/15427/15431/12159/21418/16814/20674/15405/14462/110805/15430/26927/14461/18424/22160/15434/15399/109663/14581/15400/15436/18998/11694/14367/18121/15372/15902/22408/54352/13614/20472/15373/16147/14836/18091/15227/21380/14234/15423/14179/15110/15414/15401/20473/15394/15415/15413/15228/20682/16658/14463/24064/14472/20671/14451/20666/20423/11695/15416/15417/14238/21386/241324/103889/667663/22418/17150/17292/15410/18595/22411/13388/18507/18014/20897/57265/216285/107586/24113/14632/12954/12824/15407/18508/18119/15412/21393/17684/22773/16869/12151/18994/433809/14633/16470/110796/60613/20997/20474/76365/73750/14609/16535/18124/21384	FALSE
GO:0045165	cell fate commitment	299	0.698772026342899	2.19822384548495	5.63862685272363e-38	5.83034016571623e-35	4.16427431565358e-35	2934	tags=50%, list=14%, signal=44%	11921/15205/20471/13392/54713/11924/21375/104360/13390/238057/15398/21385/15375/260298/15396/18996/15376/18740/12159/50913/14842/16814/20674/14462/13172/15430/18088/14461/18424/15399/14581/209448/14843/21869/11878/15902/22408/21907/13614/242620/20472/16147/14836/18992/18091/21380/14234/14179/240590/15110/21908/232077/27140/15285/232174/13363/22409/66042/11819/15228/16871/20682/16874/20672/14463/24064/21349/59058/94222/20671/14451/50914/22420/20423/17927/16392/103551/22410/21386/14369/16911/22417/14912/20681/54485/383491/22418/93735/14465/17292/12156/69743/22411/140489/20664/15208/13388/18014/21387/19213/22431/14184/17172/78405/74561/18508/58208/16450/104382/18119/21420/15379/13380/22422/14633/18505/13592/225631/231044/12142/20997/23966/76365/19401/12667/13819/21384/12677/12394/30051/18205/69952/74748/22423/17125/16542/14464/22415/13813/20890/15214/18128/53404/116810/18509/14042/18504/83430/20319/230587	FALSE
GO:0030900	forebrain development	406	0.627831376832488	1.98927827488039	2.88544667084512e-33	2.48629321471155e-30	1.77581524935521e-30	2112	tags=32%, list=10%, signal=29%	11921/13395/73191/15205/18420/18741/13392/54713/11924/18423/18092/21375/17701/13390/238057/16870/230025/18996/18740/12159/50913/14842/21418/20674/14461/18424/75409/13797/12767/18993/18121/14843/21869/11878/15902/11925/22408/21907/242620/14836/73710/18992/16873/14179/18187/20473/13796/11819/15904/19434/15228/16871/20689/16874/59058/14472/77630/20675/20423/16392/21386/16875/22417/244152/22418/12032/12156/58198/20315/20664/15208/18507/18014/18072/18227/214593/20287/14184/17172/15364/24113/14632/14766/18508/58208/269295/18991/13845/668303/13488/21420/18844/13380/22422/22773/16869/13865/11826/64290/243743/16565/18994/22151/13555/11922/14633/15242/668158/12569/14602/17242/16485/24136/16323/16975/22174/170758/12227/20602/12570/12667/18124/20562/20361/233552/13167/22255/12140/22062/100182	FALSE
GO:0048706	embryonic skeletal system development	146	0.766102035751453	2.34363148074042	7.52447732482019e-29	5.55736396704577e-26	3.96930322638635e-26	1256	tags=45%, list=6%, signal=42%	107587/18109/20429/12020/23967/20471/13392/15404/15438/111970/13390/15402/15111/15396/15427/15431/12159/21418/15405/15430/15424/22160/15434/15399/109663/15400/15425/15436/15403/11694/18121/226049/54352/20472/16147/14836/21380/14234/15429/15423/14179/15414/15401/15394/15415/15413/14451/20666/20423/11695/15416/15417/103889/22418/15410/18595/18507/216285/12824/15407/13386/18119/15412/16869/12151	FALSE
GO:0048663	neuron fate commitment	89	0.828273080441255	2.47819174022827	1.03065803625943e-28	6.66062755932657e-26	4.75730051473432e-26	1514	tags=66%, list=7%, signal=62%	11921/20471/13392/54713/21375/104360/13390/15375/260298/18996/15376/12159/50913/14842/16814/20674/13172/15430/18088/14461/18424/209448/14843/21869/15902/22408/242620/16147/18992/21380/240590/27140/15285/15228/16871/20682/16874/59058/94222/50914/20423/16392/103551/16911/14912/54485/69743/140489/20664/13388/19213/17172/18508/58208/16450/21420/14633/18505/231044	TRUE
GO:0045664	regulation of neuron differentiation	238	0.674162013982854	2.10177114378053	2.17206555491932e-26	1.24482696950403e-23	8.89107810041769e-24	2716	tags=42%, list=13%, signal=37%	11921/73191/18109/15205/20471/13392/54713/18935/11924/21815/104360/13390/238057/15375/223227/15376/12159/50913/21418/16814/20674/18088/16373/14461/15434/15399/18997/242316/18096/216233/15902/11925/21907/18091/13638/27140/11552/20473/11553/15904/12484/15228/20682/114712/20666/243547/20423/16392/15213/20681/12156/58198/20315/69743/100043902/723950/15208/13388/16918/18014/14184/17172/15207/78405/18508/58208/213696/16449/240843/13380/14633/17965/17005/18049/723951/19205/22671/18053/170758/12064/19401/64297/114606/80857/233552/22062/216858/18205/14561/228839/69952/11682/15353/69807/14025/15214/18128/227292/19712	TRUE
GO:0048705	skeletal system morphogenesis	262	0.659809812251153	2.06736040664796	2.40778910929213e-26	1.24482696950403e-23	8.89107810041769e-24	2811	tags=42%, list=13%, signal=37%	107587/13395/18109/20429/12020/23967/20471/13392/15404/791364/15438/17869/17701/111970/15402/15396/17300/15427/15431/12159/21418/15405/15430/22160/15434/15399/109663/15400/15426/373864/15436/11694/15437/18121/54352/20472/16147/14836/21380/14234/15423/14179/15414/232174/15401/15394/64406/14219/15415/15413/20682/13115/14451/20666/11695/15416/22410/15417/18159/103889/12622/15410/18595/18507/18014/21387/14184/12845/216285/21825/12824/15407/18119/15412/21407/18503/17684/215418/20855/16869/12151/14172/17937/622473/14284/20997/20474/73121/19401/12643/12406/21384/19227/329872/23892/22255/22339/17387/17702/20379/20289/16776/12842/234356/18596/14175/15530/12006/12817/12590/14042	FALSE
