gene_name	mch_logfc	k119ub_fold	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_direction
1110059E24Rik	-0.233591102115754	0.781668341	0.007578168	0.984225184	0.984225184	1	0	FALSE	No peak
4930444P10Rik	-0.448840542791451	0.289600078	NA	NA	NA	NA	NA	NA	No peak
4930564D02Rik	-0.444218311276397	0.299130171	0.687073855	0.006497764	0.006497764	2	1	TRUE	MeCP2 Up
4933427D14Rik	-0.203767993351715	0.461185496	-0.081709246	0.713479086	0.713479086	1	0	FALSE	No peak
A830018L16Rik	-0.119749928117308	0.360938778	0.133571823	0.484540067	0.484540067	1	0	FALSE	No peak
Abcb1b	-0.24742723278627	0.264300897	NA	NA	NA	NA	NA	NA	No peak
Abcc4	-0.224535658411921	0.318748192	-0.07262869	0.739205627	0.003942137	18	2	TRUE	MeCP2 Down
Abcd2	-0.282092856579523	0.338486317	NA	NA	NA	NA	NA	NA	No peak
Abcd3	-0.253344690084497	0.713506758	NA	NA	NA	NA	NA	NA	No peak
Abhd12	-0.279664146902681	0.742774295	-0.098627079	0.641042746	0.641042746	1	0	FALSE	No peak
Abhd3	-0.257691858693029	0.56564435	NA	NA	NA	NA	NA	NA	No peak
Abhd6	-0.174378206288194	0.474140598	-0.04435608	0.863578026	0.863578026	1	0	FALSE	No peak
Ablim1	-0.213299443303888	0.438890711	-0.014338389	0.965250459	0.945628798	2	0	FALSE	No peak
Ablim3	-0.177954010238438	0.411367272	-0.040847487	0.877531399	0.47089459	2	0	FALSE	No peak
Acap2	-0.203069880224263	0.325416773	-0.040560895	0.877791401	0.540880783	2	0	FALSE	No peak
Acer3	-0.166095267211494	0.451799048	-0.036883252	0.894102371	0.894102371	1	0	FALSE	No peak
Acot7	-0.182980801269172	0.225310966	-0.015848104	0.961028496	0.121283533	2	0	FALSE	No peak
Acsl3	-0.232524587700377	1.143954144	0.188869191	0.325547782	0.325547782	2	0	FALSE	No peak
Acsl6	-0.339304131832357	0.47741587	-0.066492115	0.772188284	0.772188284	1	0	FALSE	No peak
Acss2	-0.270437468575031	0.593139169	NA	NA	NA	NA	NA	NA	No peak
Actr2	-0.212953091232612	0.392495596	-0.039056664	0.885746937	0.885746937	1	0	FALSE	No peak
Actr3b	-0.310787064343581	0.418644193	-0.080748996	0.721583671	0.721583671	1	0	FALSE	No peak
Acvr1	-0.11304907675389	0.427067449	0.063806139	0.781354479	0.712219302	2	0	FALSE	No peak
Acvr2a	-0.272700310705163	0.655251092	-0.031108842	0.91127624	0.266656664	5	0	FALSE	No peak
Adam22	-0.399209167404535	0.354178293	-0.055796197	0.819336261	0.819336261	1	0	FALSE	No peak
Adam23	-0.26519010798253	0.74059991	-0.062442696	0.784758879	0.784758879	1	0	FALSE	No peak
Adam28	-0.415925241661509	0.542027835	0.149218922	0.494103113	1.83e-06	6	2	TRUE	MeCP2 Up
Adam7	-0.317201671849346	0.45755107	-0.007519093	0.984225184	0.004496944	2	1	TRUE	MeCP2 Down
Adck1	-0.281185852803145	1.015407195	0.026935224	0.926795248	0.556480276	3	0	FALSE	No peak
Adck2	-0.528313379872203	0.531473905	-0.056318838	0.815307548	0.815307548	1	0	FALSE	No peak
Adcy1	-0.235394155699917	1.049459148	-0.097548608	0.665584916	1.31e-24	17	8	TRUE	MeCP2 Down
Adcy10	-0.198306694422891	0.498497833	NA	NA	NA	NA	NA	NA	No peak
Adcy2	-0.155180771657947	0.345094011	0.035544694	0.895703221	0.895703221	1	0	FALSE	No peak
Adcy3	-0.138700648663627	0.364515022	-0.016667414	0.960368716	0.715446165	4	0	FALSE	No peak
Adk	-0.279406842924568	0.589485855	-0.011642879	0.973269259	4.16e-06	3	1	TRUE	MeCP2 Down
Aen	-0.401287081075695	0.402357085	-0.015268426	0.962936199	0.962936199	1	0	FALSE	No peak
Aff3	-0.17962632062806	0.255889136	-0.217875109	0.33798375	0.00231899	45	6	TRUE	MeCP2 Down
Afg3l2	-0.266800916160252	0.295425569	-0.048531861	0.84601608	0.84601608	1	0	FALSE	No peak
Agap3	-0.316887112607755	1.304244727	-0.014858596	0.963995933	0.861111554	3	0	FALSE	No peak
Agpat4	-0.174469017942204	0.337507618	-0.039665235	0.881936586	0.845507905	3	0	FALSE	No peak
Agt	-0.311253034881317	0.239727715	0.009415106	0.978935326	0.975032463	2	0	FALSE	No peak
Ahr	-0.283114012204896	0.669604078	NA	NA	NA	NA	NA	NA	No peak
Ak9	-0.162534327355666	0.636394759	NA	NA	NA	NA	NA	NA	No peak
Akap6	-0.394572166946585	0.941647973	0.051857667	0.831579624	2.86e-07	10	6	TRUE	MeCP2 Up
Akap9	-0.231792237302455	1.374497969	NA	NA	NA	NA	NA	NA	No peak
Akt3	-0.350837149388813	0.306719548	0.243193517	0.270571817	0.270571817	4	0	FALSE	No peak
Aktip	-0.293550942832441	0.377308605	-0.116568514	0.568966062	0.568966062	1	0	FALSE	No peak
Aldh1l2	-0.258390223084175	0.471549902	NA	NA	NA	NA	NA	NA	No peak
Amotl1	-0.157590962463695	0.444407983	0.321650467	0.108794918	0.108794918	2	0	FALSE	No peak
Angpt1	-0.435952027160241	1.051998243	-0.023085206	0.939130281	6.52e-25	8	7	TRUE	MeCP2 Down
Ankdd1b	-0.229053354119449	0.344856636	NA	NA	NA	NA	NA	NA	No peak
Ankib1	-0.218796209024453	0.721335694	-0.174144753	0.432467502	0.432467502	1	0	FALSE	No peak
Ankrd34b	-0.564766810128733	0.304761072	-0.094678528	0.673226154	0.673226154	2	0	FALSE	No peak
Ankrd35	-0.351085774881506	0.337361866	0.022874068	0.939619035	0.608701803	2	0	FALSE	No peak
Ankrd44	-0.177408047708974	0.609759302	-0.14544471	0.524050208	0.001625838	9	1	TRUE	MeCP2 Down
Ankrd55	-0.245788906394862	0.338150325	-0.093651849	0.653591377	0.19117289	10	0	FALSE	No peak
Anks1b	-0.282126794837158	0.385280318	-0.044561197	0.861267622	1.51e-06	25	8	TRUE	MeCP2 Down
Ano4	-0.172400905420334	0.255240199	-0.081147278	0.718586088	0.718586088	3	0	FALSE	No peak
Ano6	-0.269383187391726	0.534618026	NA	NA	NA	NA	NA	NA	No peak
Ap1s3	-0.306119902369076	0.293824331	NA	NA	NA	NA	NA	NA	No peak
Ap3b2	-0.254514598695592	0.457793525	-0.007743869	0.983647782	0.559432823	2	0	FALSE	No peak
Apba1	-0.187677835621853	0.680421499	-0.09955054	0.637906211	0.067707802	3	0	FALSE	No peak
Apc	-0.276059320009126	0.285215738	-0.043655809	0.866790997	0.837509732	3	0	FALSE	No peak
Apip	-0.358954983792526	0.418384099	NA	NA	NA	NA	NA	NA	No peak
Apmap	-0.506566990458763	0.624709177	NA	NA	NA	NA	NA	NA	No peak
App	-0.220975508678165	0.702473644	-0.025994193	0.929400766	0.929400766	1	0	FALSE	No peak
Arfip1	-0.196087350809179	0.693021643	0.024980367	0.932437669	0.932437669	1	0	FALSE	No peak
Arhgap12	-0.326094163732215	0.913180795	-0.037377802	0.890593923	0.801533164	3	0	FALSE	No peak
Arhgap5	-0.320814522425344	1.153219142	-0.190638475	0.35827195	0.35827195	1	0	FALSE	No peak
Arhgef26	-0.290184151326409	0.319226718	-0.03159619	0.909861342	0.909861342	1	0	FALSE	No peak
Arhgef33	-0.234216439960883	0.344878031	-0.069881509	0.755417615	0.755417615	1	0	FALSE	No peak
Arhgef7	-0.142816529677231	0.543359597	-0.04245122	0.875814831	0.683534679	4	0	FALSE	No peak
Arid1b	-0.16114599568889	0.304841739	0.341269582	0.14287502	2.97e-08	8	3	TRUE	MeCP2 Up
Arid4a	-0.301572607765291	0.947872394	-0.045564763	0.859744836	0.859744836	1	0	FALSE	No peak
Arl13b	-0.326299997403692	0.928708936	NA	NA	NA	NA	NA	NA	No peak
Arl15	-0.127874989953985	0.392227672	-0.060915827	0.795919671	0.009087844	7	1	TRUE	MeCP2 Down
Arl4a	-0.396616420695353	0.373760069	0.109968942	0.604385728	1.76e-29	11	8	TRUE	MeCP2 Up
Arpp21	-0.250120817453253	0.649515632	1.460410565	0.00042439	1.48e-07	3	3	TRUE	MeCP2 Up
Arvcf	-0.314824212032556	0.50597277	-0.145967397	0.479318101	0.358210129	4	0	FALSE	No peak
Asah2	-0.132134054786377	0.473249335	0.031033477	0.912330492	0.912330492	1	0	FALSE	No peak
Asap1	-0.0960343728120504	0.442325728	0.721756952	0.007004707	3.34e-27	32	4	TRUE	MeCP2 Up
Ascc3	-0.336506936507061	1.308819344	-0.11071344	0.624890089	1.78e-28	4	3	TRUE	MeCP2 Down
Asic4	-0.220843265356433	0.290617208	-0.237138081	0.270577055	0.270577055	1	0	FALSE	No peak
Astn2	-0.252406426935463	0.263457647	0.909493006	0.002721235	4.43e-24	19	17	TRUE	MeCP2 Up
Atg4c	-0.476898156443347	0.476111377	-0.041303359	0.875592086	0.875592086	1	0	FALSE	No peak
Atg9b	-0.44060864038026	0.2855413	-0.028119454	0.924251346	0.924251346	1	0	FALSE	No peak
Atl2	-0.31475522276664	0.524921504	-0.207516993	0.326784533	0.326784533	2	0	FALSE	No peak
Atp11c	-0.199062970897599	0.499546375	-0.041177724	0.883288254	0.883288254	1	0	FALSE	No peak
Atp6v0d1	-0.47787399988506	0.369226717	-0.0539835	0.823821996	0.823821996	1	0	FALSE	No peak
Atp8a1	-0.257218947865972	0.593035946	-0.020415853	0.947943469	0.044111759	4	1	TRUE	MeCP2 Down
AW554918	-0.228352216874151	0.980894253	-0.050365664	0.84218083	0.84218083	1	0	FALSE	No peak
B4galt1	-0.275820004490723	0.297873594	0.005346499	0.989244763	0.989244763	1	0	FALSE	No peak
Bach1	-0.192076194022757	0.404712484	-0.01779146	0.954765631	0.714075452	3	0	FALSE	No peak
Bag5	-0.979382864922716	0.732088492	NA	NA	NA	NA	NA	NA	No peak
Bahd1	-0.373185678128844	0.186092177	NA	NA	NA	NA	NA	NA	No peak
Baz2b	-0.306761316503424	0.667726	0.405197515	0.140356228	0.140356228	2	0	FALSE	No peak
Bbs9	-0.0773666211678301	0.262511063	-0.049597126	0.844608082	3.08e-05	9	2	TRUE	MeCP2 Down
Bbx	-0.158632961315906	0.258680515	-0.040112522	0.880114934	0.510515239	3	0	FALSE	No peak
Bckdhb	-0.201179390545155	0.735972527	-0.118435626	0.577406138	3.24e-12	6	3	TRUE	MeCP2 Down
Bcl9	-0.157354489054892	0.422289552	NA	NA	NA	NA	NA	NA	No peak
Bend6	-0.204662691921848	0.4084284	NA	NA	NA	NA	NA	NA	No peak
Bicd1	-0.319715264313579	0.555227239	-0.052751182	0.832614812	0.832614812	1	0	FALSE	No peak
Bmp5	-0.121923944413236	1.100999103	0.653937991	0.018527645	0.018527645	1	1	TRUE	MeCP2 Up
Bmpr1a	-0.222960658398401	0.699721761	NA	NA	NA	NA	NA	NA	No peak
Bmpr1b	-0.169058062901989	0.36160337	-0.231572553	0.263303939	0.001907105	6	1	TRUE	MeCP2 Down
Btbd7	-0.307826216524081	0.394032855	0.043963111	0.8655094	0.8655094	1	0	FALSE	No peak
Btrc	-0.17557552816905	0.346007751	-0.097158364	0.654438958	0.288152854	4	0	FALSE	No peak
