gene_name	chr	mch_gain	mecp2_gain
Auts2	chr5	FALSE	FALSE
Csmd2	chr4	FALSE	FALSE
Tjp1	chr7	FALSE	FALSE
Abr	chr11	FALSE	FALSE
Rnf157	chr11	FALSE	FALSE
Cmip	chr8	FALSE	FALSE
Kcnq1	chr7	FALSE	FALSE
Wdr25	chr12	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Vwf	chr6	FALSE	FALSE
Acly	chr11	FALSE	FALSE
Gria1	chr11	TRUE	TRUE
Foxp1	chr6	FALSE	FALSE
Shank2	chr7	FALSE	TRUE
Myo3b	chr2	TRUE	TRUE
Dagla	chr19	FALSE	TRUE
Nkain3	chr4	TRUE	TRUE
Slc5a10	chr11	FALSE	FALSE
Ebf2	chr14	FALSE	FALSE
Sdk1	chr5	FALSE	FALSE
Prkca	chr11	FALSE	FALSE
Pcsk5	chr19	FALSE	FALSE
Prickle2	chr6	FALSE	FALSE
Alk	chr17	FALSE	TRUE
Slc17a6	chr7	FALSE	FALSE
Runx1	chr16	FALSE	FALSE
Vav2	chr2	FALSE	FALSE
Slc24a3	chr2	TRUE	TRUE
Dapk1	chr13	FALSE	FALSE
Adamts14	chr10	FALSE	FALSE
Optn	chr2	FALSE	FALSE
Rxra	chr2	FALSE	TRUE
Fam83g	chr11	FALSE	FALSE
Kcnn3	chr3	FALSE	FALSE
Lrfn2	chr17	FALSE	FALSE
Cfap61	chr2	FALSE	FALSE
Sh3gl3	chr7	FALSE	FALSE
Hspg2	chr4	FALSE	FALSE
Dysf	chr6	FALSE	FALSE
Ppl	chr16	FALSE	TRUE
Tcf20	chr15	FALSE	FALSE
Togaram2	chr17	FALSE	FALSE
Fsip1	chr2	FALSE	TRUE
Gm1043	chr5	FALSE	FALSE
Card11	chr5	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Nav1	chr1	FALSE	FALSE
B3gnt2	chr11	FALSE	FALSE
Megf6	chr4	FALSE	TRUE
Cntnap5a	chr1	TRUE	TRUE
Smad6	chr9	FALSE	FALSE
Myo5b	chr18	FALSE	FALSE
Fbln2	chr6	FALSE	FALSE
Arap2	chr5	TRUE	TRUE
Ptgs1	chr2	FALSE	FALSE
Pax5	chr4	FALSE	FALSE
Slc1a7	chr4	FALSE	FALSE
Msrb3	chr10	FALSE	TRUE
Osbpl5	chr7	FALSE	FALSE
Skap1	chr11	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Prdm16	chr4	FALSE	FALSE
Adarb2	chr13	FALSE	FALSE
Shisal1	chr15	FALSE	FALSE
Tshz2	chr2	FALSE	FALSE
Fibcd1	chr2	FALSE	FALSE
Slc24a4	chr12	FALSE	FALSE
Atrnl1	chr19	FALSE	TRUE
Sdk2	chr11	FALSE	FALSE
Syne3	chr12	FALSE	FALSE
Cobl	chr11	TRUE	TRUE
Ston2	chr12	FALSE	FALSE
Ndrg1	chr15	FALSE	FALSE
Barx2	chr9	FALSE	TRUE
Efcab6	chr15	FALSE	FALSE
Prex1	chr2	FALSE	TRUE
Zbtb7c	chr18	FALSE	FALSE
Npsr1	chr9	TRUE	TRUE
Cnih3	chr1	FALSE	FALSE
Nkd1	chr8	FALSE	TRUE
Zfpm1	chr8	FALSE	FALSE
Nsmf	chr2	FALSE	FALSE
Lmx1b	chr2	FALSE	FALSE
Dbn1	chr13	FALSE	FALSE
Plxdc1	chr11	FALSE	FALSE
Rad51b	chr12	FALSE	FALSE
Pax3	chr1	FALSE	FALSE
Epas1	chr17	FALSE	FALSE
