gene_name	chr	K119ub_up	mCH_up
Nutm1	chr2	TRUE	FALSE
Pex13	chr11	TRUE	FALSE
Mta1	chr12	FALSE	FALSE
Txndc15	chr13	TRUE	FALSE
Nol9	chr4	FALSE	TRUE
Aarsd1	chr11	TRUE	TRUE
Tyw1	chr5	TRUE	TRUE
Ddx43	chr9	FALSE	TRUE
Ces1a	chr8	FALSE	FALSE
Cnot9	chr1	FALSE	TRUE
Klhl6	chr16	FALSE	FALSE
Cep78	chr19	TRUE	FALSE
Arl6ip6	chr2	TRUE	FALSE
Tfg	chr16	TRUE	FALSE
Spef1	chr2	TRUE	FALSE
Cxcl2	chr5	FALSE	FALSE
Slc9a3	chr13	FALSE	TRUE
Dixdc1	chr9	TRUE	TRUE
Tpd52	chr3	TRUE	TRUE
Lta4h	chr10	TRUE	TRUE
Wdr53	chr16	TRUE	FALSE
Axin1	chr17	FALSE	FALSE
Fhit	chr14	FALSE	TRUE
Grb14	chr2	TRUE	TRUE
Epb41l5	chr1	TRUE	TRUE
Syn1	chrX	FALSE	FALSE
Slain2	chr5	TRUE	FALSE
Nipal3	chr4	FALSE	FALSE
Kctd17	chr15	TRUE	FALSE
Ikbkg	chrX	TRUE	TRUE
Sstr2	chr11	TRUE	FALSE
Pcdhgb6	chr18	TRUE	TRUE
Neu4	chr1	FALSE	FALSE
Muc5b	chr7	FALSE	TRUE
Mrpl17	chr7	TRUE	FALSE
Mpl	chr4	TRUE	FALSE
Acsl5	chr19	TRUE	FALSE
Micall1	chr15	FALSE	FALSE
Rc3h1	chr1	FALSE	TRUE
Pcsk1n	chrX	TRUE	FALSE
Carf	chr1	FALSE	TRUE
Pld6	chr11	FALSE	FALSE
Rnf128	chrX	TRUE	TRUE
Gm20605	chr5	FALSE	FALSE
Gopc	chr10	TRUE	TRUE
Rufy3	chr5	TRUE	TRUE
Tbc1d21	chr9	FALSE	FALSE
Gucd1	chr10	TRUE	TRUE
Prkar2a	chr9	FALSE	TRUE
Glce	chr9	TRUE	TRUE
Smc6	chr12	FALSE	TRUE
Tmem255b	chr8	FALSE	FALSE
Bckdha	chr7	FALSE	TRUE
Hcn2	chr10	FALSE	FALSE
4930562C15Rik	chr16	FALSE	FALSE
Vhl	chr6	TRUE	FALSE
Commd4	chr9	TRUE	TRUE
Mpped1	chr15	FALSE	FALSE
Wif1	chr10	TRUE	FALSE
Dpm2	chr2	TRUE	FALSE
Copg2	chr6	FALSE	TRUE
Asb1	chr1	FALSE	FALSE
Runx2	chr17	TRUE	TRUE
Vps53	chr11	FALSE	TRUE
Prelp	chr1	TRUE	FALSE
Muc6	chr7	FALSE	FALSE
Zmat2	chr18	TRUE	FALSE
Ctps2	chrX	FALSE	TRUE
Ift74	chr4	TRUE	TRUE
Abca4	chr3	TRUE	TRUE
Hrk	chr5	FALSE	FALSE
Aldh1a3	chr7	FALSE	FALSE
Ntn5	chr7	FALSE	FALSE
Glt6d1	chr2	FALSE	FALSE
Chid1	chr7	TRUE	TRUE
Klhl12	chr1	FALSE	TRUE
Ankrd13c	chr3	FALSE	FALSE
4930453N24Rik	chr16	TRUE	FALSE
Ugt2a3	chr5	FALSE	FALSE
Zfp677	chr17	TRUE	FALSE
Kif13a	chr13	TRUE	TRUE
Stmnd1	chr13	FALSE	FALSE
Pth1r	chr9	FALSE	FALSE
Gabrb1	chr5	TRUE	TRUE
Atp2c2	chr8	FALSE	TRUE
