gene_name	chr	width	gb_ctrl_signal	gb_mut_signal	gb_log2fc	is_neuronal	k119ub_decile	spearman_rho_universe	spearman_p_universe
Cdh8	chr8	392001	1.15987	1.596876	0.396867	TRUE	6	0.201904309361915	1.58293628671835e-197
Epha3	chr16	320642	1.552987	2.960361	0.842922	TRUE	8	0.201904309361915	1.58293628671835e-197
Syt1	chr10	513333	1.348176	2.334436	0.703833	TRUE	7	0.201904309361915	1.58293628671835e-197
Lpp	chr16	599072	1.42687	2.434237	0.688492	FALSE	7	0.201904309361915	1.58293628671835e-197
Mcu	chr10	169709	1.259904	1.703193	0.377947	FALSE	7	0.201904309361915	1.58293628671835e-197
Dlgap1	chr17	852341	0.883413	1.172418	0.335555	TRUE	5	0.201904309361915	1.58293628671835e-197
Trpm3	chr19	856365	0.989702	2.001697	0.876881	FALSE	6	0.201904309361915	1.58293628671835e-197
Zbtb20	chr16	766722	1.269208	2.595851	0.918916	FALSE	7	0.201904309361915	1.58293628671835e-197
Cntnap2	chr6	2244857	1.038812	1.08445	0.051369	TRUE	6	0.201904309361915	1.58293628671835e-197
Arhgap26	chr18	699567	1.541079	3.102736	0.915821	FALSE	8	0.201904309361915	1.58293628671835e-197
