gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	mch_ctrl	mch_mut	mch_diff	ctrl_M1_mch	ctrl_M2_mch	ctrl_F1_mch	ctrl_F2_mch	mut_M1_mch	mut_M2_mch	mut_F1_mch	mut_F2_mch	n_ch_sites_mean	total_coverage_mean	edger_logFC	edger_logCPM	edger_F	edger_pval	edger_fdr	p_bonferroni	sig_bonferroni	sig_fdr005	sig_fdr010
Rbms3	ENSMUSG00000039607.17	chr9	116572745	117872681	-	protein_coding	1299936	0.0208882315725915	0.020961541743256	7.33101706645034e-05	0.0226456203148798	0.0205302096041716	0.0197181344403765	0.020658961930938	0.0174374561158829	0.022721549560292	0.0197522418226735	0.0239349194741754	529968.125	11808175.125	-0.128953963141069	10.3767264300847	47.0256256567257	2.73906557856377e-07	8.51046634918407e-06	0.00577860665109598	TRUE	TRUE	TRUE
Egfem1	ENSMUSG00000063600.14	chr3	29082022	29691209	+	protein_coding	609187	0.0148398419192062	0.015317809040625	0.000477967121418807	0.0173158021981585	0.0138115726279789	0.0133078284466052	0.014924164404082	0.0112634295736784	0.0173599080485626	0.0138466211203656	0.0188012774198933	221990.375	4973228.5	-0.183972435774026	8.64561356347149	37.2724557816029	1.84662191818727e-06	4.2577248751909e-05	0.0389581826079967	TRUE	TRUE	TRUE
Fam172a	ENSMUSG00000064138.14	chr13	77702032	78166235	+	protein_coding	464203	0.0146552607096535	0.0148891339978127	0.000233873288159218	0.0173992727628993	0.0131847108436744	0.0132771220123973	0.0147599372196428	0.010928519029613	0.0169283927486278	0.0135252452895948	0.0181743789234151	166020.75	3435502.625	-0.207632869601443	8.08058897766557	33.9809093297431	3.76934881697867e-06	7.7056155030813e-05	0.0795219519917991	FALSE	TRUE	TRUE
Hecw1	ENSMUSG00000021301.9	chr13	14226437	14523228	-	protein_coding	296791	0.0135010482336668	0.013654542022001	0.000153493788334203	0.0162617302995244	0.012418955108949	0.0120622173149906	0.0132612902112032	0.00991125179671509	0.0155168411917326	0.0121607345358759	0.0170293405636805	112641.125	2326975.25	-0.230534810521552	7.39298978545279	33.7627753317619	3.95752632940501e-06	8.02807047802476e-05	0.0834919329714575	FALSE	TRUE	TRUE
Cdh12	ENSMUSG00000040452.9	chr15	20449264	21589533	+	protein_coding	1140269	0.0134571061687105	0.0138611457923962	0.000404039623685749	0.0165030082553988	0.0119043071075309	0.011928523031186	0.0134925862807262	0.0100916493885033	0.0157799841043839	0.012544859317742	0.0170280903589557	383653.875	8366122	-0.198593435556573	9.24866563000884	33.5484100055818	4.15235309327299e-06	8.35898790160118e-05	0.0876021932087804	FALSE	TRUE	TRUE
Ccser1	ENSMUSG00000039578.17	chr6	61180323	62382865	+	protein_coding	1202542	0.0213568148078591	0.0216508444637898	0.0002940296559307	0.0236641874053904	0.0200330562704114	0.0203620235811018	0.0213679919745326	0.0182445859130854	0.0234638006214374	0.0200899164573128	0.0248050748633234	413341	9128695.25	-0.117128803971008	10.0440463700649	33.0972134351402	4.59705274219768e-06	9.06392726188266e-05	0.0969840217021445	FALSE	TRUE	TRUE
Prkg1	ENSMUSG00000052920.16	chr19	30564488	31765033	-	protein_coding	1200545	0.0142410172866211	0.0148763227521956	0.000635305465574491	0.0170292170731294	0.0131314684962927	0.0125691344725812	0.0142342491044811	0.0110901894778846	0.0168653493560997	0.0134505667267514	0.0180991854480465	442168.5	10037140.75	-0.16241710233282	9.60626171532294	31.9934835681953	5.91653306877881e-06	0.000111547004604134	0.124821098152027	FALSE	TRUE	TRUE
Wdfy3	ENSMUSG00000043940.15	chr5	101832955	102069921	-	protein_coding	236966	0.0136144047407719	0.0136259155763234	1.15108355514797e-05	0.0151011942058331	0.0126181322378854	0.0132768410344567	0.0134614514849124	0.00991098398134758	0.0154619401843966	0.0124375308355341	0.0166932073040152	99128.75	2150703.5	-0.220392016209684	7.28607672658611	31.8050128453763	6.1801331049328e-06	0.000115895349435349	0.130382268114767	FALSE	TRUE	TRUE
Large1	ENSMUSG00000004383.18	chr8	72814598	73353540	-	protein_coding	538942	0.0168931473960108	0.0169488077066891	5.56603106782391e-05	0.0193739525787394	0.0153999143882986	0.0152922675729714	0.017506455044034	0.0133117692302466	0.018842391215463	0.0155428551067343	0.0200982152743124	202894.375	4322501.875	-0.181459090661673	8.61167415656942	31.6028854628642	6.4769702601819e-06	0.000120179983798643	0.136644641579058	FALSE	TRUE	TRUE
Eda	ENSMUSG00000059327.9	chrX	99975605	100400762	+	protein_coding	425157	0.0161220193074782	0.0162164768725189	9.44575650407044e-05	0.0202277952461121	0.015721375121325	0.0133645339081489	0.0151743729543269	0.0132424129160475	0.0198462095711484	0.013298205857514	0.0184790791453659	147415	2410482.375	-0.205656882427205	7.64465807488948	30.9043605308967	7.62714784913483e-06	0.000138238778499311	0.160909938173197	FALSE	TRUE	TRUE
Trdn	ENSMUSG00000019787.9	chr10	33080553	33476709	+	protein_coding	396156	0.0126992596925015	0.0130539828771641	0.000354723184662674	0.0160374476472037	0.0108140587743679	0.0106567343042423	0.0132887980441919	0.00885338533491691	0.0150739798033445	0.0113318642629812	0.0169567021074139	136969.625	2932116.125	-0.263230774436986	7.639945570651	30.1528088277332	9.1152321272322e-06	0.000160789341294496	0.192304052188218	FALSE	TRUE	TRUE
Adgrv1	ENSMUSG00000069170.14	chr13	81095067	81633154	-	protein_coding	538087	0.0141276922441697	0.0145024550626454	0.000374762818475635	0.0170421234015492	0.0125712399536437	0.0129555461527081	0.013941859468778	0.0107553332834407	0.016524078306977	0.0131565284844339	0.0175738801757299	200593.5	4479319.25	-0.188896443676257	8.41765674116359	29.4256204478056	1.0856883491219e-05	0.00018576453448033	0.229047671014247	FALSE	TRUE	TRUE
Skint6	ENSMUSG00000087194.9	chr4	112804615	113286973	-	protein_coding	482358	0.0115985551718269	0.0121008438385837	0.000502288666756813	0.0145283962218062	0.0102744284570452	0.0101731897309236	0.0114182062775324	0.0078397829038187	0.0141365187415159	0.0110411880604051	0.0153858856485949	168636	3684262.125	-0.241472545816568	7.85163718780715	29.4138374787394	1.08879024455188e-05	0.000186144309475778	0.22970207789311	FALSE	TRUE	TRUE
Msh3	ENSMUSG00000014850.15	chr13	92211871	92355003	-	protein_coding	143132	0.0137873380625875	0.0138749937650509	8.76557024634354e-05	0.0169803301940907	0.0125181383059364	0.0122425028275591	0.0134083809227638	0.00955603828326265	0.0154454794797578	0.0122728436017595	0.0182256136954238	57218.25	1276553.125	-0.275083521872107	6.55284421882201	29.2484791769474	1.13334414454889e-05	0.000192049489297575	0.23910161417548	FALSE	TRUE	TRUE
Pde1a	ENSMUSG00000059173.19	chr2	79834452	80129458	-	protein_coding	295006	0.0140447914247204	0.0141437605274182	9.89691026977747e-05	0.0167635396839167	0.0128639595199191	0.0126416025169644	0.0139100639780816	0.0103164389492928	0.0162902386537606	0.01299641636192	0.0169719481446996	107895.875	2425954.875	-0.217947264545867	7.51177704561068	28.6926498002799	1.29811408071078e-05	0.000215301200949334	0.273863127607553	FALSE	TRUE	TRUE
Gm11639	ENSMUSG00000040838.10	chr11	104685706	105117394	+	protein_coding	431688	0.0134596078208626	0.0143013054578527	0.000841697636990124	0.015702490706528	0.0125939111474893	0.011922751765681	0.0136192776637519	0.00972700179819175	0.0166388187972633	0.0127548510265665	0.0180845502093892	162309.875	3472260.875	-0.190199892731673	8.00161249818954	28.3721994219197	1.40471041001822e-05	0.000229552095431095	0.296351755201544	FALSE	TRUE	TRUE
Pcdh15	ENSMUSG00000052613.16	chr10	73099341	74649737	+	protein_coding	1550396	0.0164480832917866	0.0171147173000491	0.000666634008262546	0.0191016600200192	0.0152237541167912	0.0149826648566284	0.0164842541737074	0.0133538532714273	0.0192264307999913	0.0157901826094138	0.020088402519364	554928.875	12269727.375	-0.130207659657627	10.1064989258807	27.6664517561515	1.67427467420299e-05	0.000266985433119127	0.353221728016605	FALSE	TRUE	TRUE
Gm42416	ENSMUSG00000103458.1	chr18	36952740	37840200	+	protein_coding	887460	0.0134666870360756	0.0141864135738056	0.000719726537729953	0.0161054589445616	0.0120287012010817	0.0121967772135464	0.0135358107851126	0.0105332129029461	0.0159233851918486	0.0126638413722168	0.0176252148282107	329354	7111635.5	-0.158532923943214	9.03322140555281	27.5614837601218	1.71892264687193e-05	0.000272662489331257	0.362641110810571	FALSE	TRUE	TRUE
Ralyl	ENSMUSG00000039717.16	chr3	13471654	14182287	+	protein_coding	710633	0.0191473297871919	0.0195929699663741	0.000445640179182204	0.021287049327519	0.018286706916374	0.017620018282138	0.0193955446227365	0.0159279672706569	0.0214426952631874	0.0178604153584967	0.0231408019731553	248584.125	5267580	-0.131952076847333	9.09480904543981	27.2553108281901	1.85664994830786e-05	0.000290176145408237	0.39169743959451	FALSE	TRUE	TRUE
Pde7b	ENSMUSG00000019990.15	chr10	20398003	20725078	-	protein_coding	327075	0.0155074837163254	0.0156620000113182	0.000154516294992847	0.019042055728362	0.0145864617243957	0.013442228772234	0.0149591886403099	0.0120550236615773	0.0176689773268594	0.0140105255354177	0.0189134735214186	127919.875	2827703.375	-0.200527335158274	7.8791324659434	27.2285279102623	1.86925197240379e-05	0.000291683497498541	0.394356088618028	FALSE	TRUE	TRUE
Mipol1	ENSMUSG00000047022.18	chr12	57230426	57497199	+	protein_coding	266773	0.0136803821175397	0.014225533528614	0.000545151411074328	0.0158624824639529	0.0124934861461589	0.0123816782376398	0.0139838816224072	0.00998875878283084	0.0159342343946929	0.0127360925989551	0.0182430483379773	97399.75	2172496.375	-0.203848738088627	7.33331909718267	27.0843514685746	1.93869472837518e-05	0.000299858084197443	0.409006426845312	FALSE	TRUE	TRUE
Cacnb2	ENSMUSG00000057914.15	chr2	14603087	14987908	+	protein_coding	384821	0.0169638389207208	0.0170452309503027	8.13920295819372e-05	0.0195711537168705	0.0156866773128266	0.0156071646322586	0.0169903600209273	0.0133114744391565	0.0190569538686752	0.0159031556786197	0.0199093398147594	145755.625	3233204	-0.174424109759816	8.2003054528178	27.035236013053	1.9629825443683e-05	0.000302802489465719	0.41413042738538	FALSE	TRUE	TRUE
Fgf12	ENSMUSG00000022523.10	chr16	28160097	28753068	-	protein_coding	592971	0.0218502722447952	0.0218724544719546	2.21822271594049e-05	0.0244171995237401	0.02047637961741	0.0208617593504952	0.0216457504875354	0.0184625237315239	0.0237333525004241	0.0204507839482413	0.0248431577076292	217267.625	4718873.125	-0.132385122883873	9.11317918967302	27.0273435157333	1.96691593171965e-05	0.000302890696434229	0.414960254114894	FALSE	TRUE	TRUE
Tenm3	ENSMUSG00000031561.16	chr8	48227681	48843951	-	protein_coding	616270	0.0171373377583443	0.017419344777837	0.00028200701949279	0.0191009325820867	0.0159226550264383	0.0159909084531976	0.0175348549716545	0.0141638830462831	0.0190649843016647	0.0160639096377684	0.020384602125632	240166.5	5560293.25	-0.136859173003819	9.01060982054652	26.8877139787834	2.03792722699766e-05	0.000310427080923968	0.429941507079696	FALSE	TRUE	TRUE
Gm37013	ENSMUSG00000102836.1	chr18	36969915	37833296	+	protein_coding	863381	0.0134715428404155	0.0141896319524886	0.000718089112073031	0.0160796166134504	0.0119278096679743	0.012261123199039	0.0136176218811985	0.0104844806145134	0.0159194642726582	0.0127092111387674	0.0176453717840153	319519.75	6886615	-0.159793635745389	8.98720526481236	26.8211362040334	2.07275593693084e-05	0.000314370467299999	0.437289320014299	FALSE	TRUE	TRUE
Fars2	ENSMUSG00000021420.13	chr13	36117411	36726280	+	protein_coding	608869	0.0224360188021224	0.0226223368058002	0.000186318003677789	0.0243495810657549	0.0210024825317296	0.0216904846779071	0.022701526933098	0.0191423332247456	0.0242837552665091	0.0210337649780786	0.0260294937538675	245964.125	5395397.375	-0.118828283615643	9.35020754673521	26.7624225568131	2.10400373771095e-05	0.000318651592638104	0.443881668544879	FALSE	TRUE	TRUE
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	0.0130563817872256	0.0136756664104817	0.000619284623256118	0.0158594083713385	0.0120834408765359	0.0114262787694391	0.0128563991315889	0.0104057516100831	0.0154399796062057	0.0120500314442023	0.0168069029814358	331618.25	6925467.875	-0.160084016993937	8.94743928468244	26.7506480065032	2.11033118721854e-05	0.000319369450414705	0.445216570567496	FALSE	TRUE	TRUE
Gm37388	ENSMUSG00000103125.1	chr18	36975940	37833296	+	protein_coding	857356	0.0134939122500238	0.0142216672820097	0.000727755031985853	0.0160833413854466	0.0119547260296359	0.0123285675118904	0.0136090140731223	0.0105297553847807	0.0159541231547679	0.012738167837916	0.017664622750574	317312.75	6828921.75	-0.157453398145986	8.97807969582136	26.546699585803	2.22324971939731e-05	0.000332887858978886	0.46903899330125	FALSE	TRUE	TRUE
Vps13a	ENSMUSG00000046230.11	chr19	16615365	16780933	-	protein_coding	165568	0.0147820082292268	0.0151289730004911	0.000346964771264297	0.0172467757363373	0.0135603348659047	0.013211535829786	0.0151093864848792	0.0106416501606376	0.0172749337471377	0.013162180285468	0.0194371278087211	58607.5	1279679.875	-0.237664641754624	6.66790587864964	26.4615841364199	2.27228759171751e-05	0.000338543094321823	0.479384513224643	FALSE	TRUE	TRUE
Stxbp5l	ENSMUSG00000022829.14	chr16	37114941	37384962	-	protein_coding	270021	0.0150524244382626	0.0151997669697445	0.000147342531481914	0.017197486758286	0.0139829171205473	0.013557957822406	0.015471336051811	0.0102030296451947	0.0171788793460717	0.014463184885392	0.0189539740023194	93708.375	1812366.75	-0.241529332473071	7.1902137889935	26.3667826685926	2.32828299313612e-05	0.000345716298111256	0.491197863061927	FALSE	TRUE	TRUE
