gene_name	feature_type	chr	strand	n_intervals	total_bases	n_enhancer_intervals	ctrl_coverage	ctrl_methylated	mut_coverage	mut_methylated	mch_ctrl	mch_mut	delta_mch	has_enhancer
0610009B22Rik	5UTR	chr11	-	3	314	0	8130	177	13416	157	0.0217712177121771	0.0117024448419797	-0.0100687728701974	FALSE
0610009B22Rik	Exon	chr11	-	3	998	0	28266	482	48017	461	0.0170522889690795	0.00960076639523502	-0.00745152257384444	FALSE
0610009B22Rik	SpliceSite_Donor	chr11	-	2	42	0	740	19	1286	15	0.0256756756756757	0.0116640746500778	-0.0140116010255979	FALSE
0610009B22Rik	SpliceSite_Acceptor	chr11	-	2	42	0	1364	38	2359	42	0.0278592375366569	0.0178041543026706	-0.0100550832339863	FALSE
0610009B22Rik	Intron	chr11	-	2	2491	0	53362	846	90117	1691	0.0158539784865635	0.01876449504533	0.00291051655876649	FALSE
0610009B22Rik	3UTR	chr11	-	1	264	0	5401	77	9406	109	0.0142566191446029	0.0115883478630661	-0.00266827128153672	FALSE
0610010F05Rik	5UTR	chr11	-	7	919	0	21109	201	35746	508	0.00952200483206215	0.0142113802942987	0.00468937546223651	FALSE
0610010F05Rik	Exon	chr11	-	25	5226	0	145714	1350	237147	3280	0.00926472404847853	0.0138310836738394	0.00456635962536091	FALSE
0610010F05Rik	SpliceSite_Donor	chr11	-	24	504	0	13112	127	21910	326	0.00968578401464307	0.0148790506617983	0.00519326664715519	FALSE
0610010F05Rik	SpliceSite_Acceptor	chr11	-	24	504	0	13367	126	21400	309	0.00942619884790903	0.0144392523364486	0.00501305348853957	FALSE
0610010F05Rik	Intron	chr11	-	24	63453	0	1672014	21235	2658275	35444	0.0127002525098474	0.0133334587279345	0.000633206218087063	FALSE
0610010F05Rik	3UTR	chr11	-	4	2567	0	74033	732	120208	1761	0.00988748260910675	0.0146496073472647	0.00476212473815799	FALSE
0610010K14Rik	5UTR	chr11	-	2	145	0	2321	33	4444	146	0.014218009478673	0.0328532853285329	0.0186352758498599	FALSE
