method	method_key	anchor_id	loop_id	anchor_chr	anchor_start	anchor_end	anchor_type	loop_class	loop_logFC	gene_name
GREAT domain	great	loop_8162_A1	loop_8162	chr14	105660000	105670000	Active_Enhancer	Lost	-0.399584538766962	Mir6390
GREAT domain	great	loop_1329_A1	loop_1329	chr9	60590000	60600000	Active_Enhancer	Lost	-0.385575955751452	9230112J17Rik
GREAT domain	great	loop_1329_A1	loop_1329	chr9	60590000	60600000	Active_Enhancer	Lost	-0.385575955751452	Lrrc49
GREAT domain	great	loop_122_A1	loop_122	chr9	66735000	66740000	Poised_Enhancer	Lost	-0.309987134535429	Car12
GREAT domain	great	loop_122_A1	loop_122	chr9	66735000	66740000	Poised_Enhancer	Lost	-0.309987134535429	Aph1b
GREAT domain	great	loop_139_A1	loop_139	chr9	59720000	59725000	Poised_Enhancer	Lost	-0.530963634931943	Gramd2a
GREAT domain	great	loop_139_A1	loop_139	chr9	59720000	59725000	Poised_Enhancer	Lost	-0.530963634931943	Senp8
GREAT domain	great	loop_9622_A1	loop_9622	chr11	71750000	71760000	Active_Promoter	Lost	-0.327231693131887	Wscd1
GREAT domain	great	loop_251_A1	loop_251	chr13	21775000	21780000	Active_Promoter	Lost	-0.438108404388366	H2bc15
GREAT domain	great	loop_251_A1	loop_251	chr13	21775000	21780000	Active_Promoter	Lost	-0.438108404388366	H1f5
GREAT domain	great	loop_10275_A1	loop_10275	chr13	38990000	3.9e+07	CTCF_Site	Lost	-0.431575816057458	Slc35b3
GREAT domain	great	loop_10883_A1	loop_10883	chr15	53340000	53350000	Active_Promoter	Lost	-0.315993423612167	Ext1
GREAT domain	great	loop_323_A1	loop_323	chr15	81520000	81525000	Active_Enhancer	Gained	0.323950110606268	Rbx1
GREAT domain	great	loop_323_A1	loop_323	chr15	81520000	81525000	Active_Enhancer	Gained	0.323950110606268	Ep300
GREAT domain	great	loop_467_A1	loop_467	chr16	42900000	42925000	Active_Promoter	Lost	-0.389209429688525	Zbtb20
GREAT domain	great	loop_467_A1	loop_467	chr16	42900000	42925000	Active_Promoter	Lost	-0.389209429688525	Gm19522
GREAT domain	great	loop_413_A1	loop_413	chr17	48415000	48420000	Poised_Enhancer	Lost	-0.393885611332712	Oard1
GREAT domain	great	loop_413_A1	loop_413	chr17	48415000	48420000	Poised_Enhancer	Lost	-0.393885611332712	Apobec2
GREAT domain	great	loop_467_A1	loop_467	chr1	91345000	91350000	Repressed_Promoter	Gained	0.472685798771331	Espnl
GREAT domain	great	loop_467_A1	loop_467	chr1	91345000	91350000	Repressed_Promoter	Gained	0.472685798771331	Klhl30
GREAT domain	great	loop_13236_A1	loop_13236	chr18	49750000	49760000	CTCF_Site	Lost	-0.341616610525246	Dtwd2
GREAT domain	great	loop_15040_A1	loop_15040	chr3	123690000	123700000	Active_Promoter	Lost	-0.43863070613811	Ndst3
GREAT domain	great	loop_720_A1	loop_720	chr3	86545000	86550000	Bivalent_Promoter	Lost	-0.483819620901568	Mab21l2
GREAT domain	great	loop_753_A1	loop_753	chr4	33520000	33525000	Active_Enhancer	Lost	-0.407900527865251	Mir8118
GREAT domain	great	loop_15943_A1	loop_15943	chr4	45940000	45950000	CTCF_Site	Gained	0.353299532641351	Ccdc180
GREAT domain	great	loop_15943_A1	loop_15943	chr4	45940000	45950000	CTCF_Site	Gained	0.353299532641351	Tdrd7
GREAT domain	great	loop_827_A1	loop_827	chr5	67845000	67850000	Active_Promoter	Lost	-0.460344990434603	Atp8a1
GREAT domain	great	loop_867_A1	loop_867	chr6	13835000	13840000	Active_Promoter	Lost	-0.316726841379132	Gpr85
GREAT domain	great	loop_882_A1	loop_882	chr6	13830000	13835000	Active_Enhancer	Lost	-0.433706220302438	Gpr85
GREAT domain	great	loop_1107_A1	loop_1107	chr6	43660000	43670000	Other	Lost	-0.62207260584874	Tpk1
GREAT domain	great	loop_936_A1	loop_936	chr7	90055000	90060000	Active_Enhancer	Lost	-0.310295150617931	Eed
GREAT domain	great	loop_936_A1	loop_936	chr7	90055000	90060000	Active_Enhancer	Lost	-0.310295150617931	2310010J17Rik
GREAT domain	great	loop_971_A1	loop_971	chr7	92870000	92875000	Active_Promoter	Lost	-0.404672533324142	Ddias
GREAT domain	great	loop_1021_A1	loop_1021	chr10	81625000	81630000	Other	Lost	-0.408779181980828	BC025920
GREAT domain	great	loop_1021_A1	loop_1021	chr10	81625000	81630000	Other	Lost	-0.408779181980828	Gm10778
