gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	67193	2749149	68281
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	57917	2373550	27307
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	796	27632	336
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	1814	74859	1125
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	5778	245399	3439
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	11109	469774	6643
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	5455	224426	2939
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	23178	926883	14038
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	12644	506988	6584
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	2699	115559	1430
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	565	21245	358
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	9911	409958	5081
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	5148	213399	5614
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	53760	2218367	83340
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	12144	513685	9322
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	128290	5024501	60798
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	258	13488	313
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	5127	224409	3357
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	3989	176133	8397
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	4327	176213	5008
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	4052	155333	2543
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	15173	641227	11893
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	4984	216171	2991
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	1090	50142	956
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	6243	254273	4094
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	1968	88722	904
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	14276	598129	7670
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	13655	588081	6741
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	57257	2299528	34807
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	44390	1869655	56203
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	76638	3061643	49877
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	25708	1105304	24492
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	19204	821462	17408
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	2146	91696	1683
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	35857	1596158	29696
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	3784	171019	2178
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	5579	248037	4293
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	4736	188223	4163
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	21331	962414	54177
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	390	15168	738
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	6885	304472	4002
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	64127	2793964	134894
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	5296	227253	4301
Sbspon	ENSMUSG00000032719.4	chr1	15853861	15892722	-	protein_coding	38861	5596	224057	5481
4930444P10Rik	ENSMUSG00000067795.13	chr1	16065978	16093325	-	protein_coding	27347	3833	153085	2989
Rpl7	ENSMUSG00000043716.13	chr1	16101294	16104662	-	protein_coding	3368	488	21935	292
Rdh10	ENSMUSG00000025921.7	chr1	16105773	16133734	+	protein_coding	27961	4257	190650	4994
Stau2	ENSMUSG00000025920.19	chr1	16228673	16520112	-	protein_coding	291439	42637	1762867	29315
Ube2w	ENSMUSG00000025939.19	chr1	16540789	16619489	-	protein_coding	78700	11576	482809	6181
Eloc	ENSMUSG00000079658.9	chr1	16641724	16657042	-	protein_coding	15318	2240	102738	1450
Tmem70	ENSMUSG00000025940.6	chr1	16665206	16678275	+	protein_coding	13069	1834	77540	953
Ly96	ENSMUSG00000025779.10	chr1	16688050	16709611	+	protein_coding	21561	3247	133219	1996
Jph1	ENSMUSG00000042686.5	chr1	16964559	17097889	-	protein_coding	133330	19475	817238	34778
Gdap1	ENSMUSG00000025777.8	chr1	17145361	17164271	+	protein_coding	18910	2675	114598	3247
Pi15	ENSMUSG00000067780.3	chr1	17601900	17630939	+	protein_coding	29039	4200	183388	2640
Crispld1	ENSMUSG00000025776.13	chr1	17727044	17766344	+	protein_coding	39300	5679	231964	3378
Crisp4	ENSMUSG00000025774.14	chr1	18115190	18145902	-	protein_coding	30712	4268	183927	3286
Defb18	ENSMUSG00000073735.1	chr1	18236472	18237443	-	protein_coding	971	143	5527	69
Defb41	ENSMUSG00000067773.6	chr1	18250979	18265138	-	protein_coding	14159	1902	71080	1071
Tfap2d	ENSMUSG00000042596.7	chr1	19103021	19166346	+	protein_coding	63325	8072	319516	4498
Tfap2b	ENSMUSG00000025927.13	chr1	19208913	19238576	+	protein_coding	29663	4065	137975	1858
Pkhd1	ENSMUSG00000043760.16	chr1	20057778	20618064	-	protein_coding	560286	76769	3092549	50051
Il17a	ENSMUSG00000025929.4	chr1	20730904	20734496	+	protein_coding	3592	498	21921	319
Il17f	ENSMUSG00000041872.9	chr1	20777145	20790617	-	protein_coding	13472	1943	78655	1322
Mcm3	ENSMUSG00000041859.10	chr1	20802967	20820312	-	protein_coding	17345	2667	117867	1885
Paqr8	ENSMUSG00000025931.15	chr1	20890605	20939650	+	protein_coding	49045	7367	308073	13571
Efhc1	ENSMUSG00000041809.5	chr1	20951625	20990841	+	protein_coding	39216	5857	254596	4785
Tram2	ENSMUSG00000041779.5	chr1	20996298	21079229	-	protein_coding	82931	13088	565230	17842
Tmem14a	ENSMUSG00000025933.15	chr1	21218574	21230167	+	protein_coding	11593	1844	79009	2154
Gsta3	ENSMUSG00000025934.15	chr1	21240588	21265661	+	protein_coding	25073	3727	158287	2729
Khdc1a	ENSMUSG00000067750.3	chr1	21349640	21352200	+	protein_coding	2560	384	10585	213
Khdc1c	ENSMUSG00000041722.7	chr1	21368330	21370845	+	protein_coding	2515	374	11668	202
Khdc1b	ENSMUSG00000085079.3	chr1	21383555	21386373	+	protein_coding	2818	418	14928	222
Kcnq5	ENSMUSG00000028033.16	chr1	21398402	21961942	-	protein_coding	563540	80812	3425562	91762
Rims1	ENSMUSG00000041670.17	chr1	22286250	22805994	-	protein_coding	519744	70182	2958775	56517
Ppp1r14bl	ENSMUSG00000073730.2	chr1	23100472	23102253	-	protein_coding	1781	228	10806	761
Ogfrl1	ENSMUSG00000026158.11	chr1	23366423	23397772	-	protein_coding	31349	4584	198384	4393
B3gat2	ENSMUSG00000026156.8	chr1	23761752	23849158	+	protein_coding	87406	13031	547430	20168
Smap1	ENSMUSG00000026155.13	chr1	23844845	23922317	-	protein_coding	77472	10426	444277	7488
Sdhaf4	ENSMUSG00000026154.4	chr1	23995938	24005656	-	protein_coding	9718	1476	67293	1498
Fam135a	ENSMUSG00000026153.15	chr1	24011092	24100341	-	protein_coding	89249	11917	506645	13523
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	+	protein_coding	75075	11088	505001	41047
Col19a1	ENSMUSG00000026141.13	chr1	24261889	24587472	-	protein_coding	325583	46209	1986578	97181
Lmbrd1	ENSMUSG00000073725.8	chr1	24678629	24766301	+	protein_coding	87672	12272	547608	7999
Adgrb3	ENSMUSG00000033569.17	chr1	25067475	25829707	-	protein_coding	762232	104972	4394370	100095
4931408C20Rik	ENSMUSG00000073722.3	chr1	26681813	26687460	-	protein_coding	5647	895	86203	1511
Gm597	ENSMUSG00000048411.4	chr1	28776116	28780252	-	protein_coding	4136	648	26160	358
Phf3	ENSMUSG00000048874.15	chr1	30802338	30873921	-	protein_coding	71583	9442	406580	5014
Ptp4a1	ENSMUSG00000026064.16	chr1	30940301	30949309	-	protein_coding	9008	1204	46024	628
Ptp4a1	ENSMUSG00000117310.2	chr1	30940301	30949770	-	protein_coding	9469	1248	47020	654
Gm5698	ENSMUSG00000117091.1	chr1	30977242	30977968	-	protein_coding	726	133	6883	86
4931428L18Rik	ENSMUSG00000086727.8	chr1	30997841	31222684	-	protein_coding	224843	32338	1334328	37011
Lgsn	ENSMUSG00000050217.13	chr1	31176400	31204725	+	protein_coding	28325	4182	178246	6677
Pih1d3	ENSMUSG00000026063.4	chr1	31222837	31224288	+	protein_coding	1451	205	8827	101
Khdrbs2	ENSMUSG00000026058.11	chr1	32172713	32658568	+	protein_coding	485855	69115	2875338	95808
Gm5415	ENSMUSG00000091318.2	chr1	32543685	32547294	-	protein_coding	3609	524	16671	404
Prim2	ENSMUSG00000026134.11	chr1	33453809	33669795	-	protein_coding	215986	32081	1415736	29093
Rab23	ENSMUSG00000004768.14	chr1	33719886	33742564	+	protein_coding	22678	3463	155880	2701
Bag2	ENSMUSG00000042215.8	chr1	33745483	33757795	-	protein_coding	12312	1870	86889	3444
Zfp451	ENSMUSG00000042197.13	chr1	33761544	33814595	-	protein_coding	53051	7935	353930	6709
Bend6	ENSMUSG00000042182.16	chr1	33852051	33907816	-	protein_coding	55765	8387	357753	7698
Dst	ENSMUSG00000026131.20	chr1	33908224	34308661	+	protein_coding	400437	60037	2640881	52493
Ccdc115	ENSMUSG00000042111.9	chr1	34436669	34439672	-	protein_coding	3003	420	14405	192
Imp4	ENSMUSG00000026127.13	chr1	34439850	34449356	+	protein_coding	9506	1444	62010	881
Ptpn18	ENSMUSG00000026126.15	chr1	34459761	34475733	+	protein_coding	15972	2421	100269	3411
Prss39	ENSMUSG00000026125.9	chr1	34498409	34503063	+	protein_coding	4654	738	25674	464
Cfc1	ENSMUSG00000026124.4	chr1	34535647	34544313	+	protein_coding	8666	1354	55581	2869
Prss40	ENSMUSG00000037529.13	chr1	34543967	34560943	-	protein_coding	16976	2731	109921	3490
Amer3	ENSMUSG00000045174.10	chr1	34579656	34590944	+	protein_coding	11288	1782	68388	1375
Arhgef4	ENSMUSG00000037509.21	chr1	34678187	34813309	+	protein_coding	135122	21640	896710	23190
Arhgef4	ENSMUSG00000118272.1	chr1	34801793	34801964	+	protein_coding	171	28	886	41
Fam168b	ENSMUSG00000037503.12	chr1	34813218	34843065	-	protein_coding	29847	4797	201252	2763
Plekhb2	ENSMUSG00000026123.11	chr1	34849975	34879580	+	protein_coding	29605	4561	190226	3252
Hs6st1	ENSMUSG00000045216.7	chr1	36068399	36106446	+	protein_coding	38047	6190	242708	5001
Uggt1	ENSMUSG00000037470.14	chr1	36140026	36244720	-	protein_coding	104694	16343	719990	9986
Neurl3	ENSMUSG00000047180.8	chr1	36264596	36274679	-	protein_coding	10083	1650	71213	5896
Arid5a	ENSMUSG00000037447.16	chr1	36307732	36324029	+	protein_coding	16297	2623	102642	2787
Kansl3	ENSMUSG00000010453.12	chr1	36335729	36369181	-	protein_coding	33452	5089	215013	2629
Fer1l5	ENSMUSG00000037432.15	chr1	36372290	36422110	+	protein_coding	49820	7917	307452	5646
Lman2l	ENSMUSG00000001143.13	chr1	36419870	36445271	-	protein_coding	25401	3838	169529	3191
Cnnm4	ENSMUSG00000037408.10	chr1	36471619	36508764	+	protein_coding	37145	5925	248374	7582
Cnnm3	ENSMUSG00000001138.13	chr1	36511866	36528237	+	protein_coding	16371	2573	107639	1968
Ankrd23	ENSMUSG00000067653.12	chr1	36530187	36536883	-	protein_coding	6696	1105	44643	1268
Gm42417	ENSMUSG00000109510.1	chr1	36530192	36539429	-	protein_coding	9237	1494	62667	2038
Ankrd39	ENSMUSG00000079610.9	chr1	36537506	36547445	-	protein_coding	9939	1531	66831	2661
Sema4c	ENSMUSG00000026121.13	chr1	36548638	36558349	-	protein_coding	9711	1451	48566	1333
Fam178b	ENSMUSG00000046337.17	chr1	36562691	36683183	-	protein_coding	120492	19331	806966	44525
Cox5b	ENSMUSG00000061518.11	chr1	36691448	36693681	+	protein_coding	2233	334	13835	122
Actr1b	ENSMUSG00000037351.9	chr1	36698113	36714422	-	protein_coding	16309	2561	92817	1419
4933424G06Rik	ENSMUSG00000102416.4	chr1	36710148	36757953	+	protein_coding	47805	7421	302959	5915
