gene_name	gene_id	chr	start	end	gene_length	length_quintile	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	mecp2_fold	mecp2_fdr	mecp2_n_peaks	is_mecp2_up	is_neuronal	is_synapse	k119ub_decile	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	atac_fdr	k27ac_fdr	k27me3_fdr	k119ub_fdr	atac_remodeled	k27ac_remodeled	k27me3_remodeled	k119ub_remodeled	neuronal_group	synapse_group
0610009B22Rik	ENSMUSG00000007777.9	chr11	51685385	51688874	3489	1	0.000182662192448113	-0.203904489191432	0.671049123761839	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
0610010F05Rik	ENSMUSG00000042208.15	chr11	23564960	23633639	68679	5	0.00031917130477704	-0.21335011582808	0.0572741869177017	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
0610010K14Rik	ENSMUSG00000020831.18	chr11	70235205	70237914	2709	1	-0.0010286050968369	-0.472681134242593	0.407275545998949	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.165046058179854	NA	NA	NA	0.295830334608811	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
0610012G03Rik	ENSMUSG00000107002.1	chr16	31947049	31948494	1445	1	-1.98120917743461e-05	-0.203372237200963	0.790906022447735	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
0610030E20Rik	ENSMUSG00000058706.5	chr6	72347316	72353148	5832	2	0.000660417956224577	-0.12246708246866	0.762289417635887	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0547091148543267	0.035141053906068	NA	NA	0.789257117213012	0.82732936127671	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
0610040J01Rik	ENSMUSG00000060512.7	chr5	63812362	63899625	87263	5	-0.000995262111297603	-0.259503168918075	0.00230377208130918	TRUE	Hypomethylated	-0.058364766	0.811852365	1	FALSE	FALSE	FALSE	2	0.0972370532412445	NA	-0.321223721596814	-0.306658613	0.641625738594419	NA	0.0789635382505712	0.006250169	FALSE	NA	FALSE	TRUE	Neither	Neither
1110002E22Rik	ENSMUSG00000090066.2	chr3	138065051	138081506	16455	3	0.00789546497810353	0.275236472864458	0.0150699538246193	TRUE	Hypermethylated	0.080082739	0.723303077	5	FALSE	FALSE	FALSE	7	-1.14861033705641	-1.44543032591089	1.53533180479641	0.358933343	4.6044170078104e-05	9.62401892623119e-15	1.83054578082149e-13	6.92e-05	TRUE	TRUE	TRUE	TRUE	Neither	Neither
1110004F10Rik	ENSMUSG00000030663.12	chr7	116039396	116105210	65814	5	0.00052510493412777	-0.0945820989398361	0.303313825607443	FALSE	Hypomethylated	-0.024932455	0.932489266	1	FALSE	FALSE	FALSE	NA	0.0506774653099591	0.25645316023577	NA	NA	0.790222580840628	0.0735131164397873	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
1110008P14Rik	ENSMUSG00000039195.4	chr2	32377096	32381938	4842	1	-0.00404871059107448	-0.412250207877378	0.202633596661505	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1110012L19Rik	ENSMUSG00000045237.5	chrX	70385876	70389417	3541	1	0.0024313140516883	-0.134899584396022	0.849731648735865	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
