gene_name	gene_id	chr	start	end	gene_length	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	a_compartment	b_compartment	b_to_a_shift	a_to_b_shift	h3k27me3_domains	polycomb_state_intervals
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	383140	0.0170988603431517	0.704215640764072	4.81031639917514e-18	TRUE	Hypermethylated	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Cdh8	ENSMUSG00000036510.17	chr8	99024470	99416471	392001	0.00244720115007071	0.0258038858015461	0.558621868411024	FALSE	Hypermethylated	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Cntnap2	ENSMUSG00000039419.17	chr6	45059356	47304213	2244857	-0.0014923291324827	-0.216476531930265	9.04579205744142e-11	TRUE	Hypomethylated	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Dlgap1	ENSMUSG00000003279.17	chr17	69969072	70821413	852341	0.0022075784663896	0.0238565586213443	0.449696876723901	FALSE	Hypermethylated	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Epha3	ENSMUSG00000052504.7	chr16	63543533	63864175	320642	0.0111898424144496	0.361934777032521	7.0060800467962e-12	TRUE	Hypermethylated	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Lpp	ENSMUSG00000033306.15	chr16	24393506	24992578	599072	0.006702860050746	0.242947773065929	2.92646484260367e-09	TRUE	Hypermethylated	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Mcu	ENSMUSG00000009647.13	chr10	59446983	59616692	169709	0.00354066578383002	0.0890300164448271	0.0980671506452571	FALSE	Hypermethylated	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Syt1	ENSMUSG00000035864.14	chr10	108497649	109010982	513333	0.00553712778233336	0.229950086437305	2.24916039908572e-08	TRUE	Hypermethylated	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	856365	0.0115490515907076	0.503316927880416	2.4006788018813e-15	TRUE	Hypermethylated	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Zbtb20	ENSMUSG00000022708.16	chr16	42875880	43642602	766722	0.0085524297670826	0.319456862975036	3.23721304105379e-12	TRUE	Hypermethylated	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
