gene_name	chr	in_a_compartment	mch_hyper
Auts2	chr5	TRUE	FALSE
Csmd2	chr4	TRUE	FALSE
Arhgap26	chr18	TRUE	TRUE
Rasgef1b	chr5	FALSE	FALSE
Lrrc49	chr9	TRUE	TRUE
Emcn	chr3	TRUE	TRUE
Slc13a1	chr6	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Dpys	chr15	TRUE	TRUE
Fgf1	chr18	TRUE	TRUE
Runx1t1	chr4	TRUE	TRUE
Btbd11	chr10	TRUE	FALSE
Trpm3	chr19	TRUE	TRUE
Pcdh9	chr14	TRUE	TRUE
Cog5	chr12	TRUE	TRUE
Cadps	chr14	TRUE	FALSE
Zbbx	chr3	FALSE	TRUE
Col9a1	chr1	TRUE	TRUE
Gprin3	chr6	TRUE	TRUE
Maml3	chr3	TRUE	TRUE
Csrnp3	chr2	TRUE	FALSE
Nrxn1	chr17	TRUE	FALSE
Erbb4	chr1	TRUE	TRUE
Pcgf5	chr19	TRUE	FALSE
Tenm2	chr11	FALSE	FALSE
Enox1	chr14	TRUE	FALSE
Slc6a6	chr6	TRUE	FALSE
Zfp608	chr18	TRUE	TRUE
Cytip	chr2	TRUE	TRUE
Camta1	chr4	TRUE	FALSE
Lsamp	chr16	FALSE	TRUE
Ctnnd2	chr15	TRUE	FALSE
Patj	chr4	TRUE	TRUE
Btbd3	chr2	TRUE	TRUE
Tjp1	chr7	FALSE	FALSE
Tmem178b	chr6	TRUE	FALSE
Abr	chr11	TRUE	FALSE
Ephb1	chr9	TRUE	FALSE
Plekha6	chr1	TRUE	FALSE
Cerkl	chr2	TRUE	TRUE
Gabbr2	chr4	TRUE	FALSE
Tafa5	chr15	TRUE	FALSE
Gsg1l	chr7	TRUE	FALSE
Rnf157	chr11	TRUE	FALSE
Tgfbr3	chr5	TRUE	FALSE
Sema6d	chr2	FALSE	TRUE
Cacna1e	chr1	TRUE	FALSE
Msi2	chr11	TRUE	FALSE
Hgd	chr16	TRUE	TRUE
Dlgap4	chr2	TRUE	FALSE
Prkar2b	chr12	FALSE	FALSE
Afap1	chr5	TRUE	FALSE
Ephb2	chr4	TRUE	FALSE
Zbtb20	chr16	TRUE	TRUE
Lrrc4c	chr2	TRUE	TRUE
Megf11	chr9	TRUE	FALSE
Hdac9	chr12	FALSE	FALSE
Cmip	chr8	TRUE	FALSE
Gm20696	chr6	TRUE	FALSE
Ccdc192	chr18	TRUE	TRUE
Epha3	chr16	TRUE	TRUE
D430042O09Rik	chr7	TRUE	FALSE
Snca	chr6	TRUE	TRUE
Cacna2d2	chr9	TRUE	FALSE
Pappa2	chr1	TRUE	TRUE
Arhgef38	chr3	TRUE	TRUE
Nos1	chr5	TRUE	FALSE
Lamb3	chr1	TRUE	TRUE
Fam107b	chr2	TRUE	TRUE
Nln	chr13	TRUE	FALSE
Zic4	chr9	TRUE	TRUE
Pag1	chr3	TRUE	FALSE
Fstl4	chr11	FALSE	FALSE
Opcml	chr9	TRUE	TRUE
Kcnq1	chr7	TRUE	FALSE
Heg1	chr16	TRUE	TRUE
Prkce	chr17	TRUE	FALSE
D430041D05Rik	chr2	TRUE	FALSE
Wdr25	chr12	TRUE	FALSE
Tmem51	chr4	TRUE	TRUE
Ncald	chr15	TRUE	TRUE
Igsf21	chr4	TRUE	FALSE
Med13l	chr5	TRUE	FALSE
Col27a1	chr4	TRUE	FALSE
Phactr3	chr2	TRUE	FALSE
Atxn1	chr13	TRUE	FALSE
Ttr	chr18	TRUE	TRUE
Olfr437	chr6	FALSE	TRUE
Clnk	chr5	TRUE	TRUE
Sez6	chr11	TRUE	FALSE
Akap6	chr12	TRUE	FALSE
Ksr2	chr5	TRUE	FALSE
Cntnap2	chr6	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Nav3	chr10	FALSE	TRUE
Tmem150c	chr5	TRUE	FALSE
Ptprn2	chr12	TRUE	FALSE
Dip2b	chr15	TRUE	FALSE
Rab11fip4	chr11	TRUE	FALSE
Vwf	chr6	TRUE	FALSE
Anks1b	chr10	TRUE	FALSE
Slc35g2	chr9	TRUE	TRUE
Angpt1	chr15	TRUE	FALSE
Pcdh7	chr5	FALSE	TRUE
Jph1	chr1	TRUE	TRUE
Acly	chr11	TRUE	FALSE
Vti1a	chr19	TRUE	FALSE
Gria1	chr11	FALSE	TRUE
Brpf3	chr17	TRUE	FALSE
Lrba	chr3	TRUE	FALSE
Fam135b	chr15	TRUE	FALSE
Ptk2	chr15	TRUE	FALSE
Dgkb	chr12	TRUE	TRUE
Exoc6b	chr6	TRUE	FALSE
Lingo1	chr9	TRUE	FALSE
Nfib	chr4	TRUE	TRUE
Ssh2	chr11	TRUE	FALSE
Cnpy1	chr5	TRUE	TRUE
Svep1	chr4	TRUE	TRUE
Elmo1	chr13	TRUE	TRUE
