gene_name	chr	is_neuronal	k119ub_predicted
0610040J01Rik	chr5	FALSE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
1110032F04Rik	chr3	FALSE	TRUE
1110059E24Rik	chr19	FALSE	TRUE
1190005I06Rik	chr8	FALSE	FALSE
1500009L16Rik	chr10	FALSE	TRUE
1600014C10Rik	chr7	FALSE	TRUE
1600014C23Rik	chr17	FALSE	TRUE
1700001O22Rik	chr2	FALSE	TRUE
1700003F12Rik	chr2	FALSE	TRUE
1700009N14Rik	chr4	FALSE	TRUE
1700010I14Rik	chr17	FALSE	FALSE
1700011L22Rik	chr8	FALSE	TRUE
1700012A03Rik	chr6	FALSE	TRUE
1700013G24Rik	chr4	FALSE	FALSE
1700016H13Rik	chr5	FALSE	TRUE
1700017B05Rik	chr9	FALSE	FALSE
1700017N19Rik	chr10	FALSE	TRUE
1700018B08Rik	chr8	FALSE	FALSE
1700019A02Rik	chr1	FALSE	TRUE
1700019D03Rik	chr1	FALSE	TRUE
1700020L24Rik	chr11	FALSE	TRUE
1700020N01Rik	chr10	FALSE	TRUE
1700024G13Rik	chr14	FALSE	FALSE
1700025C18Rik	chr2	FALSE	FALSE
1700025G04Rik	chr1	FALSE	TRUE
1700029H14Rik	chr8	FALSE	FALSE
1700030J22Rik	chr8	FALSE	TRUE
1700031L13Rik	chr5	FALSE	TRUE
1700034E13Rik	chr18	FALSE	TRUE
1700056E22Rik	chr1	FALSE	TRUE
1700113H08Rik	chr10	FALSE	TRUE
1700129C05Rik	chr14	FALSE	TRUE
1810037I17Rik	chr3	FALSE	TRUE
1810062G17Rik	chr3	FALSE	TRUE
2010109A12Rik	chr5	FALSE	TRUE
2210016L21Rik	chr5	FALSE	FALSE
2310009B15Rik	chr1	FALSE	TRUE
2310011J03Rik	chr10	FALSE	FALSE
2310022B05Rik	chr8	FALSE	TRUE
2310057J18Rik	chr10	FALSE	TRUE
2410004P03Rik	chr12	FALSE	FALSE
2510009E07Rik	chr16	TRUE	TRUE
2610042L04Rik	chr14	TRUE	TRUE
2610318N02Rik	chr16	FALSE	TRUE
2700062C07Rik	chr18	FALSE	TRUE
2810459M11Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
3110082I17Rik	chr5	FALSE	TRUE
3110082J24Rik	chr5	FALSE	FALSE
3425401B19Rik	chr14	FALSE	TRUE
4921536K21Rik	chr11	FALSE	TRUE
4930432M17Rik	chr3	FALSE	TRUE
4930444P10Rik	chr1	FALSE	TRUE
4930447C04Rik	chr12	TRUE	FALSE
4930453N24Rik	chr16	FALSE	TRUE
4930469K13Rik	chr11	FALSE	TRUE
4930503L19Rik	chr18	FALSE	TRUE
4930505A04Rik	chr11	FALSE	TRUE
4930523C07Rik	chr1	FALSE	TRUE
4930544D05Rik	chr11	FALSE	FALSE
4930544G11Rik	chr6	FALSE	TRUE
4930558K02Rik	chr1	FALSE	TRUE
4930564D02Rik	chr3	FALSE	TRUE
4930578I06Rik	chr14	FALSE	TRUE
4930579F01Rik	chr3	FALSE	TRUE
4930583I09Rik	chr17	FALSE	TRUE
4930590J08Rik	chr6	FALSE	FALSE
4931429L15Rik	chr9	FALSE	TRUE
4932414N04Rik	chr2	FALSE	TRUE
4933402D24Rik	chr1	FALSE	TRUE
4933402J07Rik	chr8	FALSE	TRUE
4933407L21Rik	chr1	FALSE	TRUE
4933424G06Rik	chr1	FALSE	FALSE
4933427D14Rik	chr11	FALSE	TRUE
4933436I01Rik	chrX	FALSE	TRUE
5031439G07Rik	chr15	FALSE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730522E02Rik	chr11	FALSE	TRUE
6430548M08Rik	chr8	FALSE	FALSE
6430571L13Rik	chr9	FALSE	TRUE
7530416G11Rik	chr15	FALSE	FALSE
8030474K03Rik	chrX	FALSE	FALSE
9130401M01Rik	chr15	FALSE	TRUE
9230112D13Rik	chr14	FALSE	TRUE
9330182O14Rik	chr15	FALSE	TRUE
9430038I01Rik	chr7	FALSE	TRUE
9930012K11Rik	chr14	FALSE	TRUE
A130010J15Rik	chr1	FALSE	TRUE
A1bg	chr15	FALSE	FALSE
A3galt2	chr4	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
A530016L24Rik	chr12	FALSE	FALSE
A630023A22Rik	chr14	FALSE	TRUE
A630076J17Rik	chr3	FALSE	FALSE
A830018L16Rik	chr1	FALSE	TRUE
A930004D18Rik	chr2	FALSE	TRUE
A930007A09Rik	chr16	FALSE	TRUE
A930009A15Rik	chr10	FALSE	TRUE
A930018P22Rik	chr2	FALSE	TRUE
AA467197	chr2	FALSE	TRUE
AA986860	chr1	FALSE	FALSE
Aacs	chr5	FALSE	TRUE
Aadac	chr3	FALSE	TRUE
Aadat	chr8	FALSE	TRUE
Aak1	chr6	TRUE	TRUE
Aamp	chr1	FALSE	TRUE
Aanat	chr11	FALSE	FALSE
Aar2	chr2	FALSE	FALSE
Aard	chr15	FALSE	TRUE
Aars2	chr17	FALSE	TRUE
Aasdhppt	chr9	FALSE	TRUE
Aatk	chr11	TRUE	FALSE
Abat	chr16	TRUE	FALSE
Abca1	chr4	FALSE	TRUE
Abca13	chr11	TRUE	TRUE
Abca2	chr2	TRUE	FALSE
Abca3	chr17	FALSE	FALSE
Abca4	chr3	TRUE	TRUE
Abca7	chr10	TRUE	TRUE
Abcb1a	chr5	TRUE	TRUE
Abcb1b	chr5	TRUE	TRUE
Abcb4	chr5	FALSE	TRUE
Abcb6	chr1	TRUE	FALSE
Abcb8	chr5	FALSE	TRUE
Abcb9	chr5	FALSE	TRUE
Abcc1	chr16	TRUE	TRUE
Abcc12	chr8	FALSE	TRUE
Abcc3	chr11	FALSE	TRUE
Abcc4	chr14	FALSE	TRUE
Abcc8	chr7	TRUE	FALSE
Abcd1	chrX	TRUE	TRUE
Abcd2	chr15	TRUE	TRUE
Abcd3	chr3	FALSE	TRUE
Abcd4	chr12	FALSE	FALSE
Abcf2	chr5	FALSE	TRUE
Abcg1	chr17	FALSE	TRUE
Abcg2	chr6	FALSE	TRUE
Abcg8	chr17	FALSE	FALSE
Abhd10	chr16	FALSE	TRUE
Abhd11	chr5	FALSE	FALSE
Abhd12	chr2	FALSE	TRUE
Abhd12b	chr12	FALSE	TRUE
Abhd13	chr8	FALSE	TRUE
Abhd14b	chr9	FALSE	TRUE
Abhd15	chr11	FALSE	FALSE
Abhd16b	chr2	FALSE	TRUE
Abhd2	chr7	FALSE	TRUE
Abhd3	chr18	FALSE	TRUE
Abhd4	chr14	FALSE	TRUE
Abhd6	chr14	TRUE	TRUE
Abi3	chr11	TRUE	FALSE
Abi3bp	chr16	TRUE	FALSE
Abitram	chr4	TRUE	TRUE
Abl1	chr2	TRUE	TRUE
Ablim1	chr19	TRUE	TRUE
Ablim2	chr5	FALSE	FALSE
Ablim3	chr18	FALSE	TRUE
Abr	chr11	TRUE	FALSE
Abra	chr15	FALSE	TRUE
Abracl	chr10	FALSE	TRUE
Abt1	chr13	TRUE	TRUE
