gene_name	chr	mch_gain	mecp2_gain
Zbbx	chr3	TRUE	TRUE
Arhgef38	chr3	TRUE	TRUE
Ttr	chr18	TRUE	TRUE
Vti1a	chr19	FALSE	FALSE
Cux2	chr5	FALSE	TRUE
Mad1l1	chr5	FALSE	FALSE
Pex14	chr4	FALSE	FALSE
Gtf3c1	chr7	FALSE	FALSE
Npvf	chr6	TRUE	TRUE
Faf1	chr4	FALSE	FALSE
Dip2c	chr13	FALSE	FALSE
Commd1	chr11	FALSE	FALSE
Dsc2	chr18	TRUE	TRUE
Isx	chr8	TRUE	TRUE
Pdlim7	chr13	FALSE	FALSE
Supt3	chr17	FALSE	FALSE
Lct	chr1	FALSE	FALSE
Nup93	chr8	FALSE	FALSE
Tpst1	chr5	FALSE	FALSE
Cacna1g	chr11	FALSE	FALSE
Kmt2c	chr5	FALSE	FALSE
Enah	chr1	FALSE	TRUE
Osbpl10	chr9	FALSE	FALSE
Mtor	chr4	FALSE	TRUE
Med27	chr2	FALSE	FALSE
Kif13b	chr14	FALSE	TRUE
Fam120b	chr17	FALSE	FALSE
Mrtfa	chr15	FALSE	TRUE
Otc	chrX	TRUE	TRUE
Myo18b	chr5	FALSE	FALSE
Ctnnbl1	chr2	FALSE	FALSE
Lamp2	chrX	FALSE	FALSE
Dhx35	chr2	FALSE	FALSE
Rfc1	chr5	FALSE	FALSE
Ksr1	chr11	FALSE	FALSE
Abat	chr16	FALSE	FALSE
Mms22l	chr4	FALSE	TRUE
Hdgfl3	chr7	FALSE	TRUE
Fryl	chr5	FALSE	FALSE
Capsl	chr15	TRUE	TRUE
Cyth3	chr5	FALSE	FALSE
Nsf	chr11	FALSE	FALSE
Epyc	chr10	TRUE	TRUE
Tmprss11g	chr5	TRUE	TRUE
Eml4	chr17	FALSE	FALSE
Tln2	chr9	FALSE	FALSE
Gbf1	chr19	FALSE	FALSE
Nlk	chr11	FALSE	FALSE
Lrrtm4	chr6	TRUE	TRUE
Pdia5	chr16	FALSE	FALSE
Coro7	chr16	FALSE	FALSE
Ube2e1	chr14	FALSE	FALSE
Cav2	chr6	TRUE	TRUE
Tmem156	chr5	TRUE	TRUE
Sh3d19	chr3	FALSE	FALSE
Ppp4r4	chr12	FALSE	TRUE
Sfmbt1	chr14	FALSE	FALSE
Dok7	chr5	FALSE	FALSE
Ubac2	chr14	FALSE	FALSE
Rfx3	chr19	FALSE	FALSE
Lurap1l	chr4	TRUE	TRUE
Clpb	chr7	FALSE	FALSE
P4ha2	chr11	FALSE	FALSE
Rgs9	chr11	FALSE	FALSE
Calcoco1	chr15	FALSE	FALSE
Ube2o	chr11	FALSE	FALSE
Tbc1d2	chr4	FALSE	FALSE
Lrrc1	chr9	FALSE	TRUE
Ptprf	chr4	FALSE	FALSE
Pik3ca	chr3	FALSE	FALSE
Bhmt	chr13	TRUE	TRUE
Tcerg1l	chr7	FALSE	FALSE
Vasn	chr16	FALSE	FALSE
Ccnk	chr12	FALSE	FALSE
Fam222a	chr5	FALSE	TRUE
Helz	chr11	FALSE	FALSE
Cdc42se2	chr11	FALSE	FALSE
Homer2	chr7	FALSE	FALSE
Pcnx	chr12	FALSE	FALSE
Ralgapa1	chr12	FALSE	FALSE
C1qtnf1	chr11	FALSE	FALSE
Ola1	chr2	FALSE	FALSE
Rybp	chr6	FALSE	FALSE
Ptpru	chr4	FALSE	FALSE
Ilrun	chr17	FALSE	FALSE
Dcstamp	chr15	TRUE	TRUE
Gzmn	chr14	TRUE	TRUE
Icos	chr1	TRUE	TRUE
Lpin1	chr12	FALSE	FALSE
Myh13	chr11	FALSE	TRUE
Src	chr2	FALSE	TRUE
Plbd2	chr5	FALSE	FALSE
Adgrb2	chr4	FALSE	FALSE
Kyat3	chr3	FALSE	FALSE
Lrch3	chr16	FALSE	FALSE
Ppp1r13b	chr12	FALSE	FALSE
F13a1	chr13	FALSE	TRUE
Mrps9	chr1	FALSE	FALSE
Srbd1	chr17	FALSE	FALSE
Btbd7	chr12	FALSE	TRUE
Sptlc2	chr12	FALSE	FALSE
Fbxw4	chr19	FALSE	FALSE
Trub1	chr19	FALSE	FALSE
Glra2	chrX	TRUE	TRUE
Kiz	chr2	FALSE	FALSE
Pias1	chr9	FALSE	FALSE
Brd4	chr17	FALSE	FALSE
Tmem61	chr4	FALSE	FALSE
Adgrv1	chr13	TRUE	TRUE
Sh3tc2	chr18	FALSE	FALSE
Nbas	chr12	FALSE	FALSE
Exoc2	chr13	FALSE	FALSE
Papola	chr12	FALSE	FALSE
Smurf1	chr5	FALSE	FALSE
Scmh1	chr4	FALSE	TRUE
Cfap221	chr1	FALSE	FALSE
Vps8	chr16	FALSE	TRUE
Fer1l5	chr1	FALSE	FALSE
Wdr70	chr15	FALSE	FALSE
Xpr1	chr1	FALSE	FALSE
Me1	chr9	FALSE	FALSE
Atp9b	chr18	FALSE	FALSE
Rnf213	chr11	FALSE	FALSE
Pik3cb	chr9	FALSE	FALSE
Eipr1	chr12	FALSE	TRUE
Gan	chr8	FALSE	FALSE
Fcho2	chr13	FALSE	FALSE
Cpeb1	chr7	FALSE	FALSE
Txnl4b	chr8	FALSE	FALSE
Ikbkb	chr8	FALSE	FALSE
Itsn2	chr12	FALSE	TRUE
E130308A19Rik	chr4	FALSE	TRUE
Olfml2b	chr1	TRUE	FALSE
Vps13a	chr19	TRUE	FALSE
Btaf1	chr19	FALSE	FALSE
Ern1	chr11	FALSE	FALSE
Map2k6	chr11	FALSE	FALSE
Ptprc	chr1	FALSE	FALSE
Wnk1	chr6	FALSE	FALSE
Wipf2	chr11	FALSE	TRUE
Ostf1	chr19	FALSE	FALSE
Trim24	chr6	FALSE	FALSE
Wbp1l	chr19	FALSE	TRUE
Kntc1	chr5	FALSE	FALSE
Rbm19	chr5	FALSE	TRUE
Rpn2	chr2	FALSE	FALSE
Csnka2ip	chr16	FALSE	TRUE
Srsf4	chr4	FALSE	FALSE
Usp32	chr11	FALSE	TRUE
Nudt14	chr12	FALSE	FALSE
Adam28	chr14	FALSE	TRUE
D5Ertd579e	chr5	FALSE	FALSE
Tesk2	chr4	FALSE	FALSE
Ehd4	chr2	FALSE	FALSE
Tbc1d12	chr19	FALSE	FALSE
Foxj3	chr4	FALSE	FALSE
Uri1	chr7	FALSE	TRUE
Farp2	chr1	FALSE	FALSE
Xpo6	chr7	FALSE	TRUE
Kdm5c	chrX	FALSE	FALSE
Zfp523	chr17	FALSE	TRUE
Slc26a7	chr4	FALSE	TRUE
Mgat4a	chr1	FALSE	TRUE
Rfx2	chr17	FALSE	FALSE
Ankfn1	chr11	TRUE	FALSE
Rras2	chr7	FALSE	FALSE
Slc7a1	chr5	FALSE	FALSE
Snx2	chr18	FALSE	TRUE
Mvk	chr5	FALSE	FALSE
Memo1	chr17	FALSE	FALSE
Shtn1	chr19	FALSE	FALSE
Rhbdf2	chr11	FALSE	FALSE
Padi6	chr4	FALSE	FALSE
Myof	chr19	TRUE	TRUE
Gm16223	chr5	FALSE	TRUE
Arap1	chr7	FALSE	FALSE
Stx18	chr5	FALSE	FALSE
Sspo	chr6	FALSE	FALSE
Il10ra	chr9	TRUE	TRUE
Nr1h4	chr10	FALSE	FALSE
Grk6	chr13	FALSE	FALSE
Col7a1	chr9	FALSE	FALSE
Rcor1	chr12	FALSE	FALSE
Trim33	chr3	FALSE	FALSE
Stx8	chr11	FALSE	FALSE
Saxo1	chr4	FALSE	FALSE
Taf4b	chr18	FALSE	FALSE
Mink1	chr11	FALSE	TRUE
Abcb4	chr5	FALSE	FALSE
