gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	171436	3277941	56483
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	149882	2866953	31927
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	2684	35235	303
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	4999	86273	790
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	15633	287514	3407
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	30184	548712	7017
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	14725	261030	3550
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	62362	1066782	13745
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	33327	586028	7176
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	6661	138772	1522
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	1520	26078	330
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	25351	466378	4243
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	13920	240859	4739
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	138453	2428559	43203
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	31492	593346	9570
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	332226	6221098	71084
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	887	15919	168
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	13294	247160	2957
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	11116	187908	5630
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	11141	211742	3816
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	10295	179022	2485
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	40620	732587	10542
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	12866	239089	2659
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	2921	59860	825
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	16063	291881	4200
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	5211	103161	1280
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	37414	670946	6667
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	35288	672419	7402
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	150677	2787839	33543
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	115079	2298825	38693
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	198078	3764901	45483
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	69632	1325818	21342
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	50478	958137	13138
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	5864	102935	1558
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	95415	1755257	29279
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	10413	195209	2485
