gene_name	chr	is_neuronal	stratum_top_quartile
9430060I03Rik	chr1	FALSE	FALSE
Gm12359	chr11	FALSE	FALSE
Apela	chr8	FALSE	FALSE
Gm11837	chr4	FALSE	FALSE
Gm10640	chr7	FALSE	FALSE
Gm10804	chr2	FALSE	TRUE
Gm15348	chr8	FALSE	FALSE
Gm10687	chr9	FALSE	TRUE
Gm10658	chr9	FALSE	FALSE
Prcd	chr11	TRUE	TRUE
Gm11529	chr11	FALSE	FALSE
Gm10865	chr15	FALSE	TRUE
Gm10371	chr14	FALSE	TRUE
Gm10516	chr1	FALSE	FALSE
Gm10406	chr14	FALSE	FALSE
Gm2026	chr2	FALSE	FALSE
Gm14295	chr2	FALSE	FALSE
Ccdc152	chr15	FALSE	FALSE
Gm12128	chr11	FALSE	FALSE
Gm2087	chr9	FALSE	FALSE
Gm2716	chr8	FALSE	FALSE
Mirg	chr12	FALSE	FALSE
Foxd2os	chr4	FALSE	TRUE
1700017G19Rik	chr3	FALSE	TRUE
Mfsd4b3-ps	chr10	FALSE	FALSE
Gm3137	chr10	FALSE	FALSE
Gm3143	chr3	FALSE	FALSE
Gm3264	chr14	FALSE	FALSE
Tcp10c	chr17	FALSE	FALSE
Gm3363	chr2	FALSE	FALSE
Ermardl2	chr17	FALSE	FALSE
Zkscan16	chr4	FALSE	FALSE
Amd2	chr10	FALSE	FALSE
Gal3st2b	chr1	FALSE	TRUE
Ermardl1	chr17	FALSE	FALSE
Gm3558	chr14	FALSE	FALSE
Gm3693	chr12	FALSE	TRUE
Gm3696	chr14	FALSE	FALSE
Thoc2l	chr5	TRUE	FALSE
Gm3716	chr5	FALSE	FALSE
Gsta5	chr9	FALSE	FALSE
C920021L13Rik	chr3	FALSE	FALSE
Gm13546	chr2	FALSE	TRUE
H2al1d	chrX	FALSE	FALSE
1110002L01Rik	chr12	FALSE	FALSE
Tmem207	chr16	FALSE	FALSE
6030469F06Rik	chr12	FALSE	FALSE
4632428C04Rik	chr16	FALSE	TRUE
Gm4251	chr14	FALSE	FALSE
Gm4265	chr7	FALSE	FALSE
Nps	chr7	TRUE	FALSE
Tigit	chr16	FALSE	TRUE
Gm14305	chr2	FALSE	FALSE
AA387883	chr19	FALSE	FALSE
1300002E11Rik	chr16	FALSE	FALSE
Gm4632	chr14	FALSE	FALSE
Klrb1	chr6	FALSE	FALSE
