seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr1	165047463	165047863	401	*	3.161335362	3.068698573	3.248381062	-0.072615249	0.731432599	0.842104541
chr1	161143658	161144058	401	*	3.187383515	3.65342051	2.494672443	0.539515291	0.027365977	0.094863368
chr1	89571089	89571489	401	*	3.224794914	3.333304161	3.107455751	0.071336696	0.735677768	0.844464759
chr1	64798222	64798622	401	*	3.237207419	2.815097041	3.563362656	-0.299686499	0.177209026	0.348643162
chr1	19911761	19912161	401	*	3.245805061	3.675425734	2.631226386	0.517235929	0.031975413	0.106095132
chr1	178915972	178916372	401	*	3.299944755	3.35967966	3.237629288	0.08094587	0.701973318	0.822761372
chr1	168275594	168275994	401	*	3.319337038	3.123176057	3.49199072	-0.121875047	0.564775563	0.7257581
chr1	88475664	88476064	401	*	3.346232048	3.384275213	3.307158472	0.04021943	0.847641821	0.915343604
chr1	159737490	159737890	401	*	3.366977515	3.244836126	3.479580467	-0.143508956	0.49848788	0.673664189
chr1	53059929	53060329	401	*	3.403348742	3.670791948	3.074782082	0.286027846	0.191830315	0.366938237
chr1	134756435	134756835	401	*	3.447691463	3.135164543	3.704424211	-0.1918455	0.372877304	0.562080715
chr1	182500850	182501250	401	*	3.459320826	3.550530702	3.361952983	0.055665762	0.790070255	0.879883002
chr1	86526895	86527295	401	*	3.463881021	3.130131834	3.734742685	-0.327801412	0.140902164	0.299167036
chr1	39442614	39443014	401	*	3.539234766	4.150883153	2.456081087	1.045901142	0.00029531	0.002932183
chr1	194313505	194313905	401	*	3.547017498	3.433427642	3.652312996	-0.144299746	0.497976342	0.67341301
chr1	155722672	155723072	401	*	3.547094825	3.421974332	3.6622247	-0.133276823	0.52448867	0.694448439
chr1	6730468	6730868	401	*	3.557544681	4.130103075	2.594129663	0.859703046	0.001555811	0.010829464
chr1	73742925	73743325	401	*	3.585405872	3.895600136	3.18971514	0.414336088	0.069454082	0.183722622
chr1	4494938	4495338	401	*	3.585985653	3.322331916	3.808820291	-0.199244204	0.346347348	0.536977162
chr1	179162848	179163248	401	*	3.59732701	3.485318631	3.701262271	-0.141202445	0.505460759	0.678937008
chr1	62741141	62741541	401	*	3.619266336	3.621266963	3.61726293	0.012532027	0.95188288	0.97515693
chr1	164898285	164898685	401	*	3.623322137	4.02272022	3.069138865	0.466788079	0.043487838	0.132068261
chr1	130801940	130802340	401	*	3.63340416	3.181669684	3.976910587	-0.462571819	0.044175422	0.133506865
chr1	195022990	195023390	401	*	3.645412977	2.597781928	4.245909333	-1.064762876	0.000179985	0.00199552
chr1	194641136	194641536	401	*	3.650319124	3.945863826	3.278209272	0.387024579	0.082956244	0.208281428
chr1	192544565	192544965	401	*	3.656980508	3.770334274	3.533955136	0.125395698	0.54441173	0.70953782
chr1	16123489	16123889	401	*	3.669332037	3.702079498	3.635823948	0.052562079	0.79913605	0.88604233
chr1	131956903	131957303	401	*	3.671644332	3.856336065	3.459788623	0.231339344	0.278930949	0.46829146
chr1	171384744	171385144	401	*	3.692532736	3.666379642	3.718220158	-0.038713858	0.851548841	0.91767563
chr1	75549387	75549787	401	*	3.698832589	3.067793029	4.136368259	-0.601867351	0.013818787	0.057644782
chr1	61377742	61378142	401	*	3.699059389	3.997878559	3.321732755	0.361048679	0.100805035	0.238318834
chr1	132290205	132290605	401	*	3.701884136	3.736584038	3.666329015	0.042228177	0.837613417	0.909710534
chr1	90772992	90773392	401	*	3.702405163	3.447911271	3.918666114	-0.194017223	0.359393586	0.549394001
chr1	11136998	11137398	401	*	3.710136305	4.073206989	3.223807952	0.476172688	0.037937585	0.119844083
chr1	161964658	161965058	401	*	3.715293489	4.082021736	3.222351625	0.47512731	0.042820397	0.130580701
chr1	178620092	178620492	401	*	3.715336674	3.410080705	3.967148321	-0.271135008	0.206907032	0.385673122
chr1	132533749	132534149	401	*	3.718717676	3.058134334	4.170129321	-0.615254247	0.012398257	0.053132636
chr1	134238539	134238939	401	*	3.728141907	4.271323598	2.846680733	0.814847151	0.001949566	0.012925737
chr1	185500576	185500976	401	*	3.728172693	3.976758091	3.427650346	0.255168484	0.233975307	0.418900469
chr1	159396061	159396461	401	*	3.729954862	3.894821607	3.543787305	0.186882731	0.378189816	0.567130445
chr1	73952849	73953249	401	*	3.730668006	3.121955918	4.157435278	-0.53048273	0.026083033	0.09144125
chr1	43097071	43097471	401	*	3.730931922	4.320179266	2.718000503	0.975037989	0.000478639	0.004310096
chr1	87098264	87098664	401	*	3.7336221	3.747251846	3.719862358	0.004604351	0.981970639	0.991417753
chr1	25227604	25228004	401	*	3.738950407	3.916869421	3.535961795	0.238095426	0.259441208	0.446956515
