gene_name	gene_id	chr	gene_length	promoter_state	body_state	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_group	atac_fold	atac_fdr	atac_concordant	k27ac_fold	k27ac_fdr	k27ac_concordant	k27me3_fold	k27me3_fdr	k27me3_concordant	k119ub_fold	k119ub_fdr	k119ub_concordant	n_marks_tested	n_concordant	mark_combination
Auts2	ENSMUSG00000029673.17	chr5	1106012	Active_Promoter	Polycomb	-0.0180378647192666	-0.589453234068138	6.49315772936704e-20	TRUE	mCH Hypo	1.43816627269746	1.7698223360719e-14	FALSE	0.617057913305628	0.000146385988307989	FALSE	NA	NA	FALSE	-0.678394052	1.17e-09	FALSE	3	0	none
Csmd2	ENSMUSG00000028804.20	chr4	579800	Active_Promoter	Polycomb	-0.0173292319624701	-0.702488424646554	2.05229451875872e-19	TRUE	mCH Hypo	0.4589091033516	0.0267215807247423	FALSE	1.07567067070099	4.62805112183436e-09	FALSE	NA	NA	FALSE	-0.245443301	0.044123674	FALSE	3	0	none
Arhgap26	ENSMUSG00000036452.18	chr18	383140	Active_Promoter	Active	0.0170988603431517	0.704215640764072	4.81031639917514e-18	TRUE	mCH Hyper	-0.00668715181876542	0.975030685932134	FALSE	-1.09793722595922	1.71502834266295e-17	TRUE	NA	NA	FALSE	0.776810428	1.76e-12	TRUE	3	2	K27ac + K119ub
Rasgef1b	ENSMUSG00000089809.9	chr5	511640	Active_Promoter	Mixed	-0.0174903650141034	-0.626358182933927	1.91183600778509e-17	TRUE	mCH Hypo	0.0794719166103066	0.657266547878375	FALSE	-1.39804037149359	1.65196695187198e-11	TRUE	0.0707782346425778	0.756594063073756	FALSE	-0.002266543	0.985713528	FALSE	4	1	K27ac
Lrrc49	ENSMUSG00000047766.15	chr9	119300	Unmarked_Promoter	Active	0.0224807016155371	0.925662885715961	4.32716162207456e-17	TRUE	mCH Hyper	-0.682633313219496	0.00182380017522674	TRUE	-0.300838341529075	0.0643783508653896	FALSE	NA	NA	FALSE	1.026393182	7.27e-10	TRUE	3	2	ATAC + K119ub
Emcn	ENSMUSG00000054690.17	chr3	91119	Unmarked_Promoter	Active	0.0370884810685128	0.994570493076339	4.85131254429339e-17	TRUE	mCH Hyper	0.171534600082505	0.357551008211176	FALSE	-1.50370298380209	3.70736963958623e-12	TRUE	NA	NA	FALSE	1.279282694	1.19e-29	TRUE	3	2	K27ac + K119ub
Slc13a1	ENSMUSG00000029700.11	chr6	79810	Unmarked_Promoter	Active	0.0321121984523268	1.03501814773005	1.47348298932098e-16	TRUE	mCH Hyper	-0.130191112405363	0.453256784560313	FALSE	-1.86259332491345	4.79646916161855e-18	TRUE	NA	NA	FALSE	1.72056163	2.66e-45	TRUE	3	2	K27ac + K119ub
Arhgap26	ENSMUSG00000118193.1	chr18	433817	Unmarked_Promoter	Active	0.0153655175170967	0.560363885358525	2.20012254087888e-16	TRUE	mCH Hyper	-0.00668715181876542	0.975030685932134	FALSE	-1.09793722595922	1.71502834266295e-17	TRUE	NA	NA	FALSE	0.776810428	1.76e-12	TRUE	3	2	K27ac + K119ub
Dpys	ENSMUSG00000022304.13	chr15	88984	Repressed_Promoter	Mixed	0.0248369309505408	0.803923333716464	7.46437336237682e-16	TRUE	mCH Hyper	-0.509589605350776	0.0203566656501074	TRUE	NA	NA	FALSE	0.308566707113274	0.131490851742544	FALSE	0.225159274	0.011604617	TRUE	3	2	ATAC + K119ub
Fgf1	ENSMUSG00000036585.16	chr18	90800	Unmarked_Promoter	Active	0.0230770589335785	0.811254567920538	1.39178947360121e-15	TRUE	mCH Hyper	-0.66987302973428	0.000260441384546373	TRUE	-1.76257471218512	2.70107777381259e-19	TRUE	2.91998889048125	2.29875762195067e-18	TRUE	0.299504066	0.00852835	TRUE	4	4	ATAC + K27ac + K27me3 + K119ub
Runx1t1	ENSMUSG00000006586.15	chr4	150214	Bivalent_Promoter	Mixed	0.0233969855407124	0.629816196957794	1.39178947360121e-15	TRUE	mCH Hyper	-0.371798364996628	0.0492747019858724	TRUE	-1.02858781580144	4.54502312674435e-11	TRUE	2.45499069371676	8.17159438824435e-22	TRUE	0.691100413	8.88e-19	TRUE	4	4	ATAC + K27ac + K27me3 + K119ub
Btbd11	ENSMUSG00000020042.15	chr10	273479	Active_Promoter	Polycomb	-0.012496596747919	-0.559519405894851	1.62867882316599e-15	TRUE	mCH Hypo	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	0	none
Trpm3	ENSMUSG00000052387.16	chr19	856365	Repressed_Promoter	Mixed	0.0115490515907076	0.503316927880416	2.4006788018813e-15	TRUE	mCH Hyper	-0.268616176019895	0.105019729997976	FALSE	-0.891199679365186	2.30529466304511e-06	TRUE	1.03561529785767	1.07730552333004e-07	TRUE	0.074537222	0.512075945	FALSE	4	2	K27ac + K27me3
Pcdh9	ENSMUSG00000055421.8	chr14	877270	Active_Promoter	Active	0.0118153309496852	0.406051180141993	4.05136941446509e-15	TRUE	mCH Hyper	0.123457086095269	0.474841540565799	FALSE	-0.673384834646298	7.32795301685068e-05	TRUE	-0.24714439466849	0.42719514391784	FALSE	1.051246395	2.17e-45	TRUE	4	2	K27ac + K119ub
Cog5	ENSMUSG00000035933.5	chr12	282762	Active_Promoter	Active	0.0160767396813565	0.698366375461975	9.16612856247155e-15	TRUE	mCH Hyper	0.0488917068399826	0.790990949174486	FALSE	-1.45148222658439	9.65836519224849e-18	TRUE	NA	NA	FALSE	2.048076641	1.95e-55	TRUE	3	2	K27ac + K119ub
Cadps	ENSMUSG00000054423.14	chr14	450517	Active_Promoter	Active	-0.00808377723037319	-0.452971446494937	1.20018286437172e-14	TRUE	mCH Hypo	0.349318925599704	0.0500158497185021	FALSE	0.254531584784041	0.115859334623129	FALSE	0.545828125452173	0.0245537291024101	TRUE	0.095605868	0.554657707	FALSE	4	1	K27me3
Zbbx	ENSMUSG00000034151.13	chr3	127128	Unmarked_Promoter	Enhancer_Marked	0.0172588714163172	0.826865004786908	3.37856554912633e-14	TRUE	mCH Hyper	0.704077111771614	0.00678395675767235	FALSE	NA	NA	FALSE	NA	NA	FALSE	1.050643508	3.79e-16	TRUE	2	1	K119ub
Col9a1	ENSMUSG00000026147.16	chr1	75075	Unmarked_Promoter	Active	0.0213886031867794	0.802035765454069	3.51325380474338e-14	TRUE	mCH Hyper	-1.2777148129561	9.44740102142567e-08	TRUE	-1.44695963862312	1.30374501153564e-13	TRUE	NA	NA	FALSE	0.628130073	3.43e-12	TRUE	3	3	ATAC + K27ac + K119ub
Gprin3	ENSMUSG00000045441.5	chr6	79069	Active_Promoter	Active	0.0228242785252025	0.77696008897358	4.47508011907222e-14	TRUE	mCH Hyper	-0.557449685725666	0.00127490303082069	TRUE	-1.20019354670989	1.28066196803622e-11	TRUE	2.67703053297392	2.48312056175373e-20	TRUE	0.65310573	1.39e-16	TRUE	4	4	ATAC + K27ac + K27me3 + K119ub
Maml3	ENSMUSG00000061143.15	chr3	419170	Active_Promoter	Active	0.011788141104719	0.417638557659465	6.54103164278198e-14	TRUE	mCH Hyper	-0.293872297045582	0.0806027846934071	FALSE	-0.86298447922389	3.76119017722093e-08	TRUE	NA	NA	FALSE	0.953199638	6.58e-12	TRUE	3	2	K27ac + K119ub
Csrnp3	ENSMUSG00000044647.16	chr2	185780	Active_Promoter	Mixed	-0.0109621475343393	-0.572624403015241	7.16378341255492e-14	TRUE	mCH Hypo	-0.909536920756425	3.33481367496825e-05	TRUE	-1.04526695469828	8.94107118747733e-07	TRUE	1.7504794284787	1.76572093309523e-14	TRUE	0.858220441	8.99e-11	TRUE	4	4	ATAC + K27ac + K27me3 + K119ub
Nrxn1	ENSMUSG00000024109.18	chr17	1059441	Active_Promoter	Active	-0.00334089088062437	-0.467025238119109	1.00854756393527e-13	TRUE	mCH Hypo	-0.355446488630745	0.0283586778220275	TRUE	1.07804144343517	2.5354348000674e-07	FALSE	NA	NA	FALSE	-0.554448309	1.62e-05	FALSE	3	1	ATAC
Erbb4	ENSMUSG00000062209.15	chr1	1075874	Active_Promoter	Active	0.00987266534002426	0.296110733716055	1.24592275072292e-13	TRUE	mCH Hyper	0.0728162420138637	0.718505117436103	FALSE	-0.121339199646887	0.425929011800678	FALSE	1.99177782033221	1.85883224302971e-16	TRUE	0.471028794	2.48e-08	TRUE	4	2	K27me3 + K119ub
Pcgf5	ENSMUSG00000024805.16	chr19	112662	Bivalent_Promoter	Mixed	-0.0137787039371239	-0.652186170088793	1.24592275072292e-13	TRUE	mCH Hypo	0.544417242460433	0.00248037601721475	FALSE	0.722396459728647	0.000339143082676212	FALSE	-0.973932736741244	8.9555307298452e-07	FALSE	0.008904181	0.955935271	FALSE	4	0	none
Tenm2	ENSMUSG00000049336.16	chr11	1229309	Unmarked_Promoter	Mixed	-0.00425870999874403	-0.307624192345654	1.24592275072292e-13	TRUE	mCH Hypo	-0.331230272826131	0.100334507787307	FALSE	-1.00338174850785	8.87189882732993e-08	TRUE	1.55906055638755	0.000944146560146309	TRUE	0.399278798	6.76e-05	TRUE	4	3	K27ac + K27me3 + K119ub
Enox1	ENSMUSG00000022012.9	chr14	564998	Active_Promoter	Mixed	-0.0081405426767378	-0.332509637836953	1.32844441289977e-13	TRUE	mCH Hypo	0.226962765932653	0.178667274919532	FALSE	0.241423307988245	0.107943206701855	FALSE	-0.868446086475644	1.14134287377988e-05	FALSE	0.291814483	0.002208306	TRUE	4	1	K119ub
Slc6a6	ENSMUSG00000030096.8	chr6	75014	Active_Promoter	Active	-0.0183087459161157	-0.696453520658879	2.3616528671003e-13	TRUE	mCH Hypo	0.262680620972115	0.134997013746031	FALSE	0.423817541417052	0.0191066072181905	FALSE	-1.26175499150179	8.04993015175197e-07	FALSE	-0.169235336	0.127866862	FALSE	4	0	none
Zfp608	ENSMUSG00000052713.9	chr18	104508	Active_Promoter	Active	0.0188462051765122	0.628223733228908	2.37617967397499e-13	TRUE	mCH Hyper	-0.224645622523575	0.200038226465583	FALSE	-1.17560810675052	8.16559069713976e-12	TRUE	3.30791976589371	1.40642907018426e-10	TRUE	0.626720992	2.88e-07	TRUE	4	3	K27ac + K27me3 + K119ub
Cytip	ENSMUSG00000026832.12	chr2	66396	Unmarked_Promoter	Active	0.0214261816070846	0.776533081512002	2.37617967397499e-13	TRUE	mCH Hyper	0.0065903193559214	0.978002265633618	FALSE	-1.45116664076038	2.55359895247085e-07	TRUE	NA	NA	FALSE	0.435787202	0.006897468	TRUE	3	2	K27ac + K119ub
Camta1	ENSMUSG00000014592.21	chr4	944555	Active_Promoter	Active	-0.00399677777495133	-0.328384039150905	2.41203962542141e-13	TRUE	mCH Hypo	0.162979305753208	0.337948392833824	FALSE	0.179593235302812	0.193009837716374	FALSE	0.57690872518615	0.00267719448111743	TRUE	-0.128274792	0.438683472	FALSE	4	1	K27me3
Lsamp	ENSMUSG00000061080.11	chr16	2197319	Active_Promoter	Active	0.0072329582651499	0.247749552370523	2.66634984380732e-13	TRUE	mCH Hyper	0.237301932961693	0.154127026520858	FALSE	0.404742308872228	0.0251654781524125	FALSE	1.17499830711383	6.60668851237468e-06	TRUE	0.420414804	6.49e-06	TRUE	4	2	K27me3 + K119ub
Ctnnd2	ENSMUSG00000022240.10	chr15	856749	Active_Promoter	Active	-0.00351066542437752	-0.359880263606731	3.1447507855906e-13	TRUE	mCH Hypo	0.222715174931904	0.195621772602759	FALSE	0.18796471307101	0.212080948778005	FALSE	NA	NA	FALSE	0.205588174	0.041257528	TRUE	3	1	K119ub
Patj	ENSMUSG00000061859.17	chr4	323819	Active_Promoter	Active	0.0102269725749294	0.509305800239703	3.87244711079677e-13	TRUE	mCH Hyper	-1.75148609341324	1.15468593818537e-15	TRUE	-0.25546238214595	0.120739696147384	FALSE	NA	NA	FALSE	1.192232445	5.15e-23	TRUE	3	2	ATAC + K119ub
Btbd3	ENSMUSG00000062098.11	chr2	332728	Active_Promoter	Active	0.0130462596134221	0.396499724428239	3.87244711079677e-13	TRUE	mCH Hyper	-0.0527405207892604	0.772294259208029	FALSE	-0.813402872594024	7.75156466086836e-08	TRUE	0.72579074606713	0.00171368994793053	TRUE	0.847119246	1.11e-11	TRUE	4	3	K27ac + K27me3 + K119ub
Tjp1	ENSMUSG00000030516.14	chr7	231617	Unmarked_Promoter	Polycomb	-0.0099781881088634	-0.477874810605031	5.85310326703745e-13	TRUE	mCH Hypo	0.40924029065292	0.0768439787932288	FALSE	0.120288218043427	0.436947250750294	FALSE	-0.0678931261771226	0.747682081661755	FALSE	-0.569269837	0.000548526	FALSE	4	0	none
Tmem178b	ENSMUSG00000057716.7	chr6	383690	Active_Promoter	Mixed	-0.0102293244996497	-0.386877511812155	6.38954394334393e-13	TRUE	mCH Hypo	0.269577616037941	0.0986609543583167	FALSE	0.276703574318177	0.0608601270288335	FALSE	NA	NA	FALSE	0.178786886	0.068793799	FALSE	3	0	none
Abr	ENSMUSG00000017631.19	chr11	206825	Repressed_Promoter	Polycomb	-0.0119607125388311	-0.486619323729966	8.71164816813942e-13	TRUE	mCH Hypo	0.716265949598775	0.000362799202942368	FALSE	NA	NA	FALSE	-0.387672439356789	0.0278882863881329	FALSE	-0.138450075	0.321521282	FALSE	3	0	none
Ephb1	ENSMUSG00000032537.15	chr9	432566	Active_Promoter	Active	-0.00672270317591703	-0.391931952341116	8.91709833987259e-13	TRUE	mCH Hypo	0.127935436470564	0.449681331973774	FALSE	0.495903191526009	0.00152662425526043	FALSE	-0.162840560840714	0.42335784368236	FALSE	-0.262934343	0.010622195	FALSE	4	0	none
Plekha6	ENSMUSG00000041757.17	chr1	139226	Repressed_Promoter	Mixed	-0.0115722888608689	-0.561922449639867	1.15763853780842e-12	TRUE	mCH Hypo	0.774089440446245	6.99725764559051e-05	FALSE	0.868998992250401	4.7859659550771e-07	FALSE	-0.357951806281467	0.0445203869360861	FALSE	-0.388743718	0.000345959	FALSE	4	0	none
Cerkl	ENSMUSG00000075256.9	chr2	126243	Active_Promoter	Active	0.0146271199679977	0.642154422290159	1.24590439941509e-12	TRUE	mCH Hyper	-0.8770640879829	0.00120825700430898	TRUE	-0.791116097361081	1.77831320764945e-06	TRUE	NA	NA	FALSE	0.712776355	2.35e-08	TRUE	3	3	ATAC + K27ac + K119ub
Gabbr2	ENSMUSG00000039809.10	chr4	329569	Active_Promoter	Active	-0.00501600159733915	-0.461209704896327	1.24590439941509e-12	TRUE	mCH Hypo	0.339439299207726	0.0603059279291325	FALSE	0.703297274514186	0.000145673989010061	FALSE	NA	NA	FALSE	-0.284054553	0.036458852	FALSE	3	0	none
Tafa5	ENSMUSG00000054863.9	chr15	215066	Active_Promoter	Active	-0.00691206386625575	-0.542735349698253	1.31715830047697e-12	TRUE	mCH Hypo	0.367501202995151	0.0390626092871825	FALSE	0.797612527317197	9.40456556697073e-05	FALSE	0.306192847762958	0.228666349216987	FALSE	-0.372409208	0.0002148	FALSE	4	0	none
Gsg1l	ENSMUSG00000046182.8	chr7	203992	Unmarked_Promoter	Mixed	-0.0111646484292481	-0.414259167560879	1.43532704106835e-12	TRUE	mCH Hypo	0.996036547560566	1.44502002382437e-05	FALSE	1.07938587510131	6.7390376606049e-10	FALSE	-1.24017270146056	1.81128342461701e-06	FALSE	-0.378662427	0.000820624	FALSE	4	0	none
Rnf157	ENSMUSG00000052949.14	chr11	76680	Unmarked_Promoter	Polycomb	-0.0198388045360163	-0.571779759204454	1.57211642940493e-12	TRUE	mCH Hypo	0.372248322090456	0.0598414263654588	FALSE	NA	NA	FALSE	-0.758987993380074	0.000450586193455835	FALSE	-0.613153814	1.66e-05	FALSE	3	0	none
Tgfbr3	ENSMUSG00000029287.14	chr5	183060	Active_Promoter	Active	-0.00948128893346031	-0.512916820352558	1.79309778308555e-12	TRUE	mCH Hypo	0.139698710982693	0.414122898902559	FALSE	0.356907119110832	0.0267163683971312	FALSE	0.232813133796537	0.304730947367917	FALSE	-0.069899301	0.574373025	FALSE	4	0	none
Sema6d	ENSMUSG00000027200.17	chr2	577802	Repressed_Promoter	Mixed	0.00892183184028204	0.36605400753413	1.8571864142068e-12	TRUE	mCH Hyper	0.156829620419288	0.336519459531236	FALSE	-1.17204032653817	1.6593574814796e-09	TRUE	0.130557702449309	0.489989070297709	FALSE	0.451374088	1.34e-06	TRUE	4	2	K27ac + K119ub
Cacna1e	ENSMUSG00000004110.17	chr1	493771	Active_Promoter	Active	-0.00433707269517495	-0.481785657953047	1.8571864142068e-12	TRUE	mCH Hypo	0.42599942806042	0.0462090490254297	FALSE	2.24973744262164	1.97946049928908e-23	FALSE	NA	NA	FALSE	-0.517641239	2.4e-08	FALSE	3	0	none
Msi2	ENSMUSG00000069769.13	chr11	379132	Active_Promoter	Active	-0.00535737272775339	-0.430203848826453	1.91451799992478e-12	TRUE	mCH Hypo	-0.0648735327026965	0.768983102824384	FALSE	0.282236754296666	0.032123128984924	FALSE	NA	NA	FALSE	-0.498494383	9.52e-05	FALSE	3	0	none
Hgd	ENSMUSG00000022821.13	chr16	51868	Unmarked_Promoter	Active	0.0215357819684505	0.695099479654119	2.01438202285783e-12	TRUE	mCH Hyper	-0.61290664138579	0.00116752740551029	TRUE	-2.07400549760277	3.98670901863551e-47	TRUE	NA	NA	FALSE	1.260382808	6.32e-31	TRUE	3	3	ATAC + K27ac + K119ub
Dlgap4	ENSMUSG00000061689.15	chr2	150659	Active_Promoter	Active	-0.00902386089670924	-0.549088417206923	2.01438202285783e-12	TRUE	mCH Hypo	-0.0176809148817697	0.930268634690827	FALSE	-0.0967147746665288	0.532111013546206	FALSE	NA	NA	FALSE	-0.428915209	0.001619312	FALSE	3	0	none
Phex	ENSMUSG00000057457.11	chrX	253238	Unmarked_Promoter	Active	0.0139512567700768	0.605138207555447	2.01438202285783e-12	TRUE	mCH Hyper	0.270064822375759	0.143781289044268	FALSE	-1.71455886561869	5.66215074066208e-16	TRUE	NA	NA	FALSE	0.85244903	1.65e-11	TRUE	3	2	K27ac + K119ub
Prkar2b	ENSMUSG00000002997.15	chr12	102821	Bivalent_Promoter	Polycomb	-0.0151023588372857	-0.490222258941973	2.1471991540591e-12	TRUE	mCH Hypo	0.228423366258556	0.160635260531785	FALSE	NA	NA	FALSE	0.0356390041380627	0.888058388521075	FALSE	0.094918697	0.419090116	FALSE	3	0	none
Afap1	ENSMUSG00000029094.12	chr5	110605	Bivalent_Promoter	Polycomb	-0.0138249774155652	-0.499158204152525	2.26736698560746e-12	TRUE	mCH Hypo	0.329156530639852	0.0500124426196472	FALSE	0.621342364741333	0.000278811777944784	FALSE	-0.833211111982531	0.000258355306692432	FALSE	-0.072864781	0.570738457	FALSE	4	0	none
Ephb2	ENSMUSG00000028664.14	chr4	188450	Active_Promoter	Active	-0.00811706031369505	-0.501841789897803	2.26819338703091e-12	TRUE	mCH Hypo	0.099604409289797	0.596434861213471	FALSE	0.127793968249141	0.360699692523525	FALSE	NA	NA	FALSE	-0.321506114	0.000719337	FALSE	3	0	none
Zbtb20	ENSMUSG00000022708.16	chr16	766722	Active_Promoter	Active	0.0085524297670826	0.319456862975036	3.23721304105379e-12	TRUE	mCH Hyper	-1.24535509921501	8.55204323125012e-06	TRUE	-1.47073304617531	7.60372626121283e-16	TRUE	5.76623171763214	8.88531882050823e-18	TRUE	0.884948957	0.00072491	TRUE	4	4	ATAC + K27ac + K27me3 + K119ub
Lrrc4c	ENSMUSG00000050587.14	chr2	1313498	Active_Promoter	Active	0.00681317999383875	0.264245512037436	4.42062916043828e-12	TRUE	mCH Hyper	0.159428750825655	0.322533553347651	FALSE	-0.612208008178754	0.000940830851748394	TRUE	-0.343477484434973	0.161771747018061	FALSE	0.605762103	6.83e-09	TRUE	4	2	K27ac + K119ub
Megf11	ENSMUSG00000036466.17	chr9	323580	Active_Promoter	Active	-0.00530457195141587	-0.434428454322499	4.56367812450137e-12	TRUE	mCH Hypo	0.35399537047076	0.110506369807554	FALSE	0.978189990007056	4.06139238774126e-05	FALSE	NA	NA	FALSE	-0.451421312	8.61e-05	FALSE	3	0	none
Hdac9	ENSMUSG00000004698.11	chr12	869516	Unmarked_Promoter	Mixed	-0.00210760188999986	-0.326505326896997	4.97307977098156e-12	TRUE	mCH Hypo	0.0276731870569972	0.889956292299377	FALSE	-0.526467213398885	0.0574003486391216	FALSE	-0.221071459194473	0.331994297267354	FALSE	-0.336494898	0.002624328	FALSE	4	0	none
Cmip	ENSMUSG00000034390.16	chr8	202367	Active_Promoter	Polycomb	-0.00964328047616819	-0.478447147339527	5.03410376314445e-12	TRUE	mCH Hypo	0.142153084868365	0.400371027175839	FALSE	0.494185234413241	0.0106578626470079	FALSE	-1.02040519935982	1.67691638737475e-06	FALSE	-0.378176052	0.001066548	FALSE	4	0	none
