gene_name	chr	mch_sig	in_state
Auts2	chr5	TRUE	FALSE
Csmd2	chr4	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Rasgef1b	chr5	TRUE	FALSE
Lrrc49	chr9	TRUE	FALSE
Emcn	chr3	TRUE	FALSE
Slc13a1	chr6	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Dpys	chr15	TRUE	FALSE
Fgf1	chr18	TRUE	FALSE
Runx1t1	chr4	TRUE	FALSE
Btbd11	chr10	TRUE	FALSE
Trpm3	chr19	TRUE	FALSE
Pcdh9	chr14	TRUE	FALSE
Cog5	chr12	TRUE	FALSE
Cadps	chr14	TRUE	FALSE
Zbbx	chr3	TRUE	FALSE
Col9a1	chr1	TRUE	FALSE
Gprin3	chr6	TRUE	FALSE
Maml3	chr3	TRUE	FALSE
Csrnp3	chr2	TRUE	FALSE
Nrxn1	chr17	TRUE	FALSE
Erbb4	chr1	TRUE	FALSE
Pcgf5	chr19	TRUE	FALSE
Tenm2	chr11	TRUE	FALSE
Enox1	chr14	TRUE	FALSE
Slc6a6	chr6	TRUE	FALSE
Zfp608	chr18	TRUE	FALSE
Cytip	chr2	TRUE	FALSE
Camta1	chr4	TRUE	FALSE
Lsamp	chr16	TRUE	FALSE
Ctnnd2	chr15	TRUE	FALSE
Patj	chr4	TRUE	FALSE
Btbd3	chr2	TRUE	FALSE
Tjp1	chr7	TRUE	FALSE
Tmem178b	chr6	TRUE	FALSE
Abr	chr11	TRUE	FALSE
Ephb1	chr9	TRUE	FALSE
Plekha6	chr1	TRUE	FALSE
Cerkl	chr2	TRUE	FALSE
Gabbr2	chr4	TRUE	FALSE
Tafa5	chr15	TRUE	FALSE
Gsg1l	chr7	TRUE	FALSE
Rnf157	chr11	TRUE	FALSE
Tgfbr3	chr5	TRUE	FALSE
Sema6d	chr2	TRUE	FALSE
Cacna1e	chr1	TRUE	FALSE
Msi2	chr11	TRUE	FALSE
Hgd	chr16	TRUE	FALSE
Dlgap4	chr2	TRUE	FALSE
Phex	chrX	TRUE	FALSE
Prkar2b	chr12	TRUE	FALSE
Afap1	chr5	TRUE	FALSE
Ephb2	chr4	TRUE	FALSE
Zbtb20	chr16	TRUE	FALSE
Lrrc4c	chr2	TRUE	FALSE
Megf11	chr9	TRUE	FALSE
Hdac9	chr12	TRUE	FALSE
Cmip	chr8	TRUE	FALSE
Gm20696	chr6	TRUE	FALSE
Ccdc192	chr18	TRUE	FALSE
Epha3	chr16	TRUE	FALSE
D430042O09Rik	chr7	TRUE	FALSE
Snca	chr6	TRUE	FALSE
Cacna2d2	chr9	TRUE	FALSE
Pappa2	chr1	TRUE	FALSE
Arhgef38	chr3	TRUE	FALSE
Nos1	chr5	TRUE	FALSE
Lamb3	chr1	TRUE	FALSE
Fam107b	chr2	TRUE	FALSE
Nln	chr13	TRUE	FALSE
Zic4	chr9	TRUE	FALSE
Pag1	chr3	TRUE	FALSE
Fstl4	chr11	TRUE	FALSE
Opcml	chr9	TRUE	FALSE
Kcnq1	chr7	TRUE	FALSE
Heg1	chr16	TRUE	FALSE
Prkce	chr17	TRUE	FALSE
D430041D05Rik	chr2	TRUE	FALSE
Wdr25	chr12	TRUE	FALSE
Tmem51	chr4	TRUE	FALSE
Ncald	chr15	TRUE	FALSE
Igsf21	chr4	TRUE	FALSE
Med13l	chr5	TRUE	FALSE
Col27a1	chr4	TRUE	FALSE
Phactr3	chr2	TRUE	FALSE
Atxn1	chr13	TRUE	FALSE
Ttr	chr18	TRUE	FALSE
Olfr437	chr6	TRUE	FALSE
Clnk	chr5	TRUE	FALSE
Sez6	chr11	TRUE	FALSE
Akap6	chr12	TRUE	FALSE
Ksr2	chr5	TRUE	FALSE
Cntnap2	chr6	TRUE	FALSE
Bcas3	chr11	TRUE	FALSE
Nav3	chr10	TRUE	FALSE
Lancl3	chrX	TRUE	FALSE
Tmem150c	chr5	TRUE	FALSE
Ptprn2	chr12	TRUE	FALSE
Dip2b	chr15	TRUE	FALSE
Rab11fip4	chr11	TRUE	FALSE
Vwf	chr6	TRUE	FALSE
Anks1b	chr10	TRUE	FALSE
Slc35g2	chr9	TRUE	FALSE
Angpt1	chr15	TRUE	FALSE
Cacna1c	chr6	TRUE	FALSE
Pcdh7	chr5	TRUE	FALSE
Jph1	chr1	TRUE	FALSE
Acly	chr11	TRUE	FALSE
Vti1a	chr19	TRUE	FALSE
Gria1	chr11	TRUE	FALSE
Brpf3	chr17	TRUE	FALSE
Lrba	chr3	TRUE	FALSE
Fam135b	chr15	TRUE	FALSE
Ptk2	chr15	TRUE	FALSE
Dgkb	chr12	TRUE	FALSE
Exoc6b	chr6	TRUE	FALSE
Lingo1	chr9	TRUE	FALSE
Nfib	chr4	TRUE	FALSE
Ssh2	chr11	TRUE	FALSE
