"seqnames","start","end","width","strand","peak_id","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","h2a_Fold","h2a_FDR"
"chr1",131747079,131747213,135,"*","h2a_peak_1",-0.315090156,0.264642417,"Intron (ENSMUST00000049027.9/320718, intron 1 of 20)",1,131744038,131764007,19970,1,"320718","ENSMUST00000186122.6",3041,"ENSMUSG00000042268","Slc26a9","solute carrier family 26, member 9",-0.315090156,0.264642417
"chr1",41271611,41272027,417,"*","h2a_peak_2",-0.195447888,0.470842005,"Distal Intergenic",1,41167587,41181252,13666,2,"74897","ENSMUST00000194002.1",-90359,"ENSMUSG00000104072","4930448I06Rik","RIKEN cDNA 4930448I06 gene",-0.195447888,0.470842005
"chr1",166797799,166798081,283,"*","h2a_peak_3",1.172502903,6.27e-05,"Distal Intergenic",1,166662055,166681845,19791,2,"240894","ENSMUST00000027843.10",-115954,"ENSMUSG00000026560","Fmo9","flavin containing monooxygenase 9",1.172502903,6.27e-05
"chr1",134726150,134726570,421,"*","h2a_peak_4",-0.235463646,0.379320541,"Intron (ENSMUST00000187725.6/20980, intron 1 of 2)",1,134709300,134753149,43850,1,"20980","ENSMUST00000121990.1",16850,"ENSMUSG00000026452","Syt2","synaptotagmin II",-0.235463646,0.379320541
"chr1",102775061,102775650,590,"*","h2a_peak_5",-0.590151919,0.024026294,"Distal Intergenic",1,101155809,101175202,19394,1,"100504525","ENSMUST00000187932.1",1619252,"ENSMUSG00000100684","Gm20268","predicted gene, 20268",-0.590151919,0.024026294
"chr1",165850316,165850593,278,"*","h2a_peak_6",-0.068489048,0.807452464,"Intron (ENSMUST00000161971.7/12503, intron 1 of 7)",1,165858216,165861555,3340,1,"12503","ENSMUST00000159070.2",-7623,"ENSMUSG00000005763","Cd247","CD247 antigen",-0.068489048,0.807452464
"chr1",175030851,175031260,410,"*","h2a_peak_7",0.661250748,0.014516301,"Distal Intergenic",1,175059737,175079425,19689,2,"24012","ENSMUST00000192203.1",48165,"ENSMUSG00000026527","Rgs7","regulator of G protein signaling 7",0.661250748,0.014516301
"chr1",102775971,102776674,704,"*","h2a_peak_8",-0.148780129,0.606454269,"Distal Intergenic",1,101155809,101175202,19394,1,"100504525","ENSMUST00000187932.1",1620162,"ENSMUSG00000100684","Gm20268","predicted gene, 20268",-0.148780129,0.606454269
"chr1",186830768,186831683,916,"*","h2a_peak_9",-0.074274657,0.777989068,"Distal Intergenic",1,186720978,186749358,28381,2,"67223","ENSMUST00000001339.5",-81410,"ENSMUSG00000001305","Rrp15","ribosomal RNA processing 15 homolog",-0.074274657,0.777989068
"chr1",135832314,135833092,779,"*","h2a_peak_10",-0.278219713,0.271727689,"Promoter (1-2kb)",1,135830534,135832462,1929,1,"16763","ENSMUST00000185756.1",1780,"ENSMUSG00000041782","Lad1","ladinin",-0.278219713,0.271727689
"chr1",194697261,194698214,954,"*","h2a_peak_11",-0.219530639,0.355551073,"Intron (ENSMUST00000027952.11/18845, intron 3 of 31)",1,194644856,194660012,15157,1,"18845","ENSMUST00000125381.1",52405,"ENSMUSG00000026640","Plxna2","plexin A2",-0.219530639,0.355551073
"chr1",157472278,157473084,807,"*","h2a_peak_12",-0.776907186,0.001191146,"Promoter (<=1kb)",1,157472268,157492638,20371,1,"226527","ENSMUST00000194220.1",10,"ENSMUSG00000033488","Cryzl2","crystallin zeta like 2",-0.776907186,0.001191146
"chr1",15307640,15308970,1331,"*","h2a_peak_13",0.397487121,0.071817842,"Intron (ENSMUST00000175681.2/98741, intron 1 of 2)",1,15312452,15723750,411299,1,"98741","ENSMUST00000170146.2",-3482,"ENSMUSG00000092083","Kcnb2","potassium voltage gated channel, Shab-related subfamily, member 2",0.397487121,0.071817842
"chr1",129685618,129686972,1355,"*","h2a_peak_14",0.623428498,0.003814761,"Intron (ENSMUST00000073527.12/210417, intron 7 of 27)",1,129537511,129629046,91536,1,"210417","ENSMUST00000152305.2",148107,"ENSMUSG00000042581","Thsd7b","thrombospondin, type I, domain containing 7B",0.623428498,0.003814761
"chr1",19106745,19108208,1464,"*","h2a_peak_15",-0.412485662,0.077630047,"Promoter (<=1kb)",1,19107181,19148367,41187,1,"226896","ENSMUST00000149505.1",0,"ENSMUSG00000042596","Tfap2d","transcription factor AP-2, delta",-0.412485662,0.077630047
"chr1",16122447,16123866,1420,"*","h2a_peak_16",-0.414712492,0.044769206,"Intron (ENSMUST00000027053.7/98711, intron 2 of 5)",1,16130502,16132547,2046,1,"98711","ENSMUST00000152626.1",-6636,"ENSMUSG00000025921","Rdh10","retinol dehydrogenase 10 (all-trans)",-0.414712492,0.044769206
"chr1",93934868,93936472,1605,"*","h2a_peak_17",0.469220328,0.033131784,"Intron (ENSMUST00000178757.7/100041596, intron 1 of 3)",1,93928037,93941239,13203,1,"100041596","ENSMUST00000177958.1",6831,"ENSMUSG00000093805","Gal3st2b","galactose-3-O-sulfotransferase 2B",0.469220328,0.033131784
"chr1",92251091,92251924,834,"*","h2a_peak_18",-0.245171685,0.22706177,"Distal Intergenic",1,92030144,92195699,165556,2,"208727","ENSMUST00000212408.1",-55392,"ENSMUSG00000026313","Hdac4","histone deacetylase 4",-0.245171685,0.22706177
"chr1",193517289,193518908,1620,"*","h2a_peak_19",-0.285540609,0.1650021,"Distal Intergenic",1,193507463,193507530,68,2,"387201","ENSMUST00000083599.1",-9759,"ENSMUSG00000065533","Mir205","microRNA 205",-0.285540609,0.1650021
"chr1",51902384,51904596,2213,"*","h2a_peak_20",-0.427660234,0.042313381,"Intron (ENSMUST00000046390.13/17912, intron 1 of 29)",1,51749989,51907316,157328,2,"17912","ENSMUST00000114541.7",2720,"ENSMUSG00000018417","Myo1b","myosin IB",-0.427660234,0.042313381
"chr1",75366304,75367273,970,"*","h2a_peak_21",0.626749756,0.001491135,"3' UTR",1,75368272,75370451,2180,2,"100503248","ENSMUST00000130095.1",3178,"ENSMUSG00000085653","Gm15179","predicted gene 15179",0.626749756,0.001491135
"chr1",190176889,190177657,769,"*","h2a_peak_22",0.529391608,0.012888944,"Intron (ENSMUST00000110279.3/102632463, intron 1 of 1)",1,190118035,190170714,52680,2,"19130","ENSMUST00000175916.7",-6175,"ENSMUSG00000010175","Prox1","prospero homeobox 1",0.529391608,0.012888944
"chr1",155491162,155491849,688,"*","h2a_peak_23",-0.1023715,0.635665295,"Distal Intergenic",1,155520173,155527111,6939,2,"433367","ENSMUST00000097531.2",35262,"ENSMUSG00000073535","Gm5532","predicted gene 5532",-0.1023715,0.635665295
"chr1",189839860,189841756,1897,"*","h2a_peak_24",-0.363102533,0.08137846,"Exon (ENSMUST00000097442.8/19250, exon 10 of 19)",1,189845043,189852463,7421,1,"19250","ENSMUST00000195038.1",-3287,"ENSMUSG00000026604","Ptpn14","protein tyrosine phosphatase, non-receptor type 14",-0.363102533,0.08137846
"chr1",131225899,131227924,2026,"*","h2a_peak_25",-0.565739447,0.007209396,"Intron (ENSMUST00000027688.14/54354, intron 1 of 5)",1,131178525,131233575,55051,2,"54354","ENSMUST00000212202.1",5651,"ENSMUSG00000026430","Rassf5","Ras association (RalGDS/AF-6) domain family member 5",-0.565739447,0.007209396
"chr1",36322778,36323918,1141,"*","h2a_peak_26",-0.337731424,0.07379768,"3' UTR",1,36317027,36318132,1106,1,"214855","ENSMUST00000141121.1",5751,"ENSMUSG00000037447","Arid5a","AT-rich interaction domain 5A",-0.337731424,0.07379768
"chr1",152513259,152514798,1540,"*","h2a_peak_27",-0.610276254,0.004539769,"Distal Intergenic",1,152557543,152592759,35217,2,"19731","ENSMUST00000128251.7",77961,"ENSMUSG00000026482","Rgl1","ral guanine nucleotide dissociation stimulator,-like 1",-0.610276254,0.004539769
"chr1",146524336,146525378,1043,"*","h2a_peak_28",0.483336419,0.017670251,"Intron (ENSMUST00000074622.10/215378, intron 2 of 7)",1,146497738,146517554,19817,1,"215378","ENSMUST00000125331.1",26598,"ENSMUSG00000035131","Brinp3","bone morphogenetic protein/retinoic acid inducible neural specific 3",0.483336419,0.017670251
"chr1",51672442,51673286,845,"*","h2a_peak_29",1.217421396,4.62e-09,"Distal Intergenic",1,51509505,51596718,87214,2,"100045066","ENSMUST00000189410.1",-75724,"ENSMUSG00000099413","Gm17767","predicted gene, 17767",1.217421396,4.62e-09
"chr1",64065677,64067293,1617,"*","h2a_peak_30",-0.091157104,0.691658096,"Intron (ENSMUST00000114086.7/93691, intron 2 of 3)",1,64042438,64042501,64,2,"102466760","ENSMUST00000184798.1",-23176,"ENSMUSG00000098487","Mir6899","microRNA 6899",-0.091157104,0.691658096
"chr1",159921997,159924084,2088,"*","h2a_peak_31",-0.435600633,0.015478968,"Exon (ENSMUST00000192069.5/21960, exon 22 of 23)",1,159850397,159863649,13253,1,"21960","ENSMUST00000192457.1",71600,"ENSMUSG00000015829","Tnr","tenascin R",-0.435600633,0.015478968
"chr1",51189040,51190756,1717,"*","h2a_peak_32",0.364086234,0.075589163,"Distal Intergenic",1,51289126,51302960,13835,1,"20324","ENSMUST00000051572.7",-98370,"ENSMUSG00000045954","Cavin2","caveolae associated 2",0.364086234,0.075589163
"chr1",124137242,124138576,1335,"*","h2a_peak_33",1.665327114,3.33e-16,"Intron (ENSMUST00000239072.1/269109, intron 1 of 25)",1,123321471,124045559,724089,2,"269109","ENSMUST00000112606.7",-91683,"ENSMUSG00000036815","Dpp10","dipeptidylpeptidase 10",1.665327114,3.33e-16
"chr1",179752641,179754127,1487,"*","h2a_peak_34",-0.767823411,4.55e-05,"Promoter (<=1kb)",1,179746091,179753580,7490,2,"226747","ENSMUST00000151734.1",0,"ENSMUSG00000026491","Ahctf1","AT hook containing transcription factor 1",-0.767823411,4.55e-05
"chr1",9697816,9698485,670,"*","h2a_peak_35",1.349268208,7.09e-13,"Promoter (1-2kb)",1,9681863,9699654,17792,2,"17864","ENSMUST00000188212.1",1169,"ENSMUSG00000025912","Mybl1","myeloblastosis oncogene-like 1",1.349268208,7.09e-13
"chr1",157474645,157476145,1501,"*","h2a_peak_36",-0.482966347,0.012884861,"Intron (ENSMUST00000193791.5/226527, intron 7 of 7)",1,157472268,157492638,20371,1,"226527","ENSMUST00000194220.1",2377,"ENSMUSG00000033488","Cryzl2","crystallin zeta like 2",-0.482966347,0.012884861
"chr1",43549922,43551690,1769,"*","h2a_peak_37",0.468776476,0.01724065,"Intron (ENSMUST00000086421.8/17974, intron 3 of 4)",1,43533569,43569342,35774,1,"17974","ENSMUST00000114744.2",16353,"ENSMUSG00000066877","Nck2","non-catalytic region of tyrosine kinase adaptor protein 2",0.468776476,0.01724065
"chr1",73743224,73744244,1021,"*","h2a_peak_38",0.4368419,0.0476768,"Promoter (<=1kb)",1,73618088,73743947,125860,2,"109198","ENSMUST00000191114.6",0,"ENSMUSG00000100301","6030407O03Rik","RIKEN cDNA 6030407O03 gene",0.4368419,0.0476768
"chr1",115688362,115689976,1615,"*","h2a_peak_39",1.763086925,1.73e-17,"Intron (ENSMUST00000043725.8/636808, intron 1 of 23)",1,115684756,116587323,902568,1,"636808","ENSMUST00000043725.8",3606,"ENSMUSG00000070695","Cntnap5a","contactin associated protein-like 5A",1.763086925,1.73e-17
"chr1",146656113,146656981,869,"*","h2a_peak_40",0.256292115,0.204894502,"Intron (ENSMUST00000074622.10/215378, intron 2 of 7)",1,146497738,146517554,19817,1,"215378","ENSMUST00000125331.1",158375,"ENSMUSG00000035131","Brinp3","bone morphogenetic protein/retinoic acid inducible neural specific 3",0.256292115,0.204894502
"chr1",90234365,90235587,1223,"*","h2a_peak_41",-0.314722974,0.141351218,"Distal Intergenic",1,90204006,90213833,9828,1,"12778","ENSMUST00000159654.1",30359,"ENSMUSG00000044337","Ackr3","atypical chemokine receptor 3",-0.314722974,0.141351218
"chr1",19103410,19104933,1524,"*","h2a_peak_42",-0.821147003,8.54e-05,"Promoter (<=1kb)",1,19063300,19104840,41541,2,"102635013","ENSMUST00000159108.2",0,"ENSMUSG00000089787","Gm15825","predicted gene 15825",-0.821147003,8.54e-05
"chr1",32553771,32555467,1697,"*","h2a_peak_43",0.675925618,0.000406146,"Intron (ENSMUST00000027226.11/170771, intron 6 of 8)",1,32543686,32547294,3609,2,"408191","ENSMUST00000171322.2",-6477,"ENSMUSG00000091318","Semp2l1","SUMO/sentrin specific peptidase 2-like 1",0.675925618,0.000406146
"chr1",38333020,38333720,701,"*","h2a_peak_44",0.634667527,0.001532374,"Intron (ENSMUST00000095027.8/16764, intron 6 of 21)",1,38181262,38197443,16182,2,"16764","ENSMUST00000136641.2",-135577,"ENSMUSG00000037138","Aff3","AF4/FMR2 family, member 3",0.634667527,0.001532374
"chr1",137656025,137657066,1042,"*","h2a_peak_45",1.859806645,7.72e-20,"Distal Intergenic",1,137966455,137966541,87,1,"735252","ENSMUST00000083631.1",-309389,"ENSMUSG00000065565","Mir181a-1","microRNA 181a-1",1.859806645,7.72e-20
"chr1",68799232,68800749,1518,"*","h2a_peak_46",0.976386888,4.35e-06,"Intron (ENSMUST00000119142.7/13869, intron 1 of 27)",1,68032186,69107756,1075571,2,"13869","ENSMUST00000119142.7",307007,"ENSMUSG00000062209","Erbb4","erb-b2 receptor tyrosine kinase 4",0.976386888,4.35e-06
"chr1",13187789,13189125,1337,"*","h2a_peak_47",0.095928918,0.666571732,"Intron (ENSMUST00000081713.10/17978, intron 5 of 21)",1,13148429,13151018,2590,2,"17978","ENSMUST00000133232.1",-36771,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2",0.095928918,0.666571732
"chr1",36610265,36612270,2006,"*","h2a_peak_48",-0.142438157,0.493020986,"Intron (ENSMUST00000170295.7/381337, intron 6 of 14)",1,36564328,36600954,36627,2,"381337","ENSMUST00000194839.5",-9311,"ENSMUSG00000046337","Fam178b","family with sequence similarity 178, member B",-0.142438157,0.493020986
"chr1",63306165,63308852,2688,"*","h2a_peak_49",-0.899944053,3.32e-06,"Exon (ENSMUST00000114132.7/73884, exon 7 of 7)",1,63290738,63314575,23838,1,"73884","ENSMUST00000029025.8",15427,"ENSMUSG00000027520","Zdbf2","zinc finger, DBF-type containing 2",-0.899944053,3.32e-06
"chr1",181067917,181069630,1714,"*","h2a_peak_50",-0.4533956,0.009442867,"Intron (ENSMUST00000193613.1/ENSMUST00000193613.1, intron 1 of 2)",1,181051237,181060667,9431,1,"619326","ENSMUST00000036819.6",16680,"ENSMUSG00000038768","Degs1l","delta 4-desaturase, sphingolipid 1 like",-0.4533956,0.009442867
"chr1",51940840,51942680,1841,"*","h2a_peak_51",0.073830165,0.736127921,"Exon (ENSMUST00000097103.4/ENSMUST00000097103.4, exon 1 of 1)",1,51749765,51916071,166307,2,"17912","ENSMUST00000046390.13",-24769,"ENSMUSG00000018417","Myo1b","myosin IB",0.073830165,0.736127921
"chr1",78166809,78168620,1812,"*","h2a_peak_52",-0.586753241,0.001494127,"Intron (ENSMUST00000004994.15/18505, intron 4 of 8)",1,78101267,78196838,95572,2,"18505","ENSMUST00000004994.15",28218,"ENSMUSG00000004872","Pax3","paired box 3",-0.586753241,0.001494127
