Summit_Chr	Summit_Start	Summit_End	seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr1	131747005	131747405	chr1	131747079	131747213	135	*	4.070053088	3.754342553	4.328927518	-0.315090156	0.193578244	0.264642417
chr1	41271643	41272043	chr1	41271611	41272027	417	*	4.534312293	4.391122485	4.664564684	-0.195447888	0.384834062	0.470842005
chr1	166797730	166798130	chr1	166797799	166798081	283	*	4.574710687	5.158206029	3.579103231	1.172502903	1.76E-05	6.27E-05
chr1	134726129	134726529	chr1	134726150	134726570	421	*	4.63730641	4.447506441	4.805014662	-0.235463646	0.29640092	0.379320541
chr1	102775137	102775537	chr1	102775061	102775650	590	*	4.722801477	4.24837398	5.079224386	-0.590151919	0.012322323	0.024026294
chr1	165850278	165850678	chr1	165850316	165850593	278	*	4.814636983	4.782607202	4.845971077	-0.068489048	0.753402457	0.807452464
chr1	175030807	175031207	chr1	175030851	175031260	410	*	5.005770019	5.411514083	4.439216699	0.661250748	0.00700435	0.014516301
chr1	102776233	102776633	chr1	102775971	102776674	704	*	5.076772639	4.960787613	5.184122966	-0.148780129	0.524545352	0.606454269
chr1	186831062	186831462	chr1	186830768	186831683	916	*	5.252249671	5.217464802	5.286215549	-0.074274657	0.717560855	0.777989068
chr1	135832462	135832862	chr1	135832314	135833092	779	*	5.34894284	5.160764646	5.515384011	-0.278219713	0.199803318	0.271727689
chr1	194697386	194697786	chr1	194697261	194698214	954	*	5.532887955	5.379239334	5.671736425	-0.219530639	0.274323103	0.355551073
chr1	157472503	157472903	chr1	157472278	157473084	807	*	5.583577002	5.012917401	5.991409524	-0.776907186	0.000438624	0.001191146
chr1	15308219	15308619	chr1	15307640	15308970	1331	*	5.835322883	6.075193159	5.547458205	0.397487121	0.042803302	0.071817842
chr1	129686315	129686715	chr1	129685618	129686972	1355	*	5.91513147	6.25571215	5.468460201	0.623428498	0.001584406	0.003814761
chr1	19107116	19107516	chr1	19106745	19108208	1464	*	5.93176459	5.651694007	6.166203709	-0.412485662	0.046764501	0.077630047
chr1	16122963	16123363	chr1	16122447	16123866	1420	*	6.09428964	5.817299662	6.326568317	-0.414712492	0.024917821	0.044769206
chr1	93935382	93935782	chr1	93934868	93936472	1605	*	6.105814364	6.381441692	5.764788354	0.469220328	0.017737646	0.033131784
chr1	92251205	92251605	chr1	92251091	92251924	834	*	6.116836923	5.951415486	6.265227015	-0.245171685	0.161661001	0.22706177
chr1	193517575	193517975	chr1	193517289	193518908	1620	*	6.160725505	5.970467884	6.32879086	-0.285540609	0.111443506	0.1650021
chr1	51903322	51903722	chr1	51902384	51904596	2213	*	6.220765082	5.947412475	6.450482725	-0.427660234	0.023367915	0.042313381
chr1	75366481	75366881	chr1	75366304	75367273	970	*	6.236494543	6.555266292	5.826702322	0.626749756	0.000561486	0.001491135
chr1	190177119	190177519	chr1	190176889	190177657	769	*	6.258213127	6.550493666	5.891273222	0.529391608	0.006143436	0.012888944
chr1	155491277	155491677	chr1	155491162	155491849	688	*	6.275715305	6.20044055	6.347256487	-0.1023715	0.555909508	0.635665295
chr1	189840790	189841190	chr1	189839860	189841756	1897	*	6.278266963	6.043048703	6.48045714	-0.363102533	0.049372601	0.08137846
chr1	131227250	131227650	chr1	131225899	131227924	2026	*	6.28209947	5.873688443	6.600037024	-0.565739447	0.003223766	0.007209396
chr1	36323073	36323473	chr1	36322778	36323918	1141	*	6.282421319	6.05860068	6.476136632	-0.337731424	0.044154485	0.07379768
chr1	152513777	152514177	chr1	152513259	152514798	1540	*	6.286445019	5.876338596	6.605406358	-0.610276254	0.00192184	0.004539769
chr1	146524562	146524962	chr1	146524336	146525378	1043	*	6.308490778	6.570061062	5.988756083	0.483336419	0.008729867	0.017670251
chr1	51672683	51673083	chr1	51672442	51673286	845	*	6.311312786	6.833751637	5.484103978	1.217421396	6.34E-10	4.62E-09
chr1	64066360	64066760	chr1	64065677	64067293	1617	*	6.317472945	6.266573695	6.366637465	-0.091157104	0.618298646	0.691658096
chr1	159923125	159923525	chr1	159921997	159924084	2088	*	6.338039496	6.057529396	6.572786209	-0.435600633	0.007532816	0.015478968
chr1	51189782	51190182	chr1	51189040	51190756	1717	*	6.338149327	6.553462773	6.084967492	0.364086234	0.045372495	0.075589163
chr1	124137666	124138066	chr1	124137242	124138576	1335	*	6.349958285	6.997002129	5.145870886	1.665327114	1.82E-17	3.33E-16
chr1	179753343	179753743	chr1	179752641	179754127	1487	*	6.350705172	5.850770484	6.721272577	-0.767823411	1.24E-05	4.55E-05
chr1	9698021	9698421	chr1	9697816	9698485	670	*	6.37746011	6.931036424	5.467718625	1.349268208	5.76E-14	7.09E-13
chr1	157475248	157475648	chr1	157474645	157476145	1501	*	6.379608455	6.040313069	6.654105982	-0.482966347	0.006140854	0.012884861
chr1	43550550	43550950	chr1	43549922	43551690	1769	*	6.397674975	6.658868782	6.078503383	0.468776476	0.008489294	0.01724065
chr1	73743658	73744058	chr1	73743224	73744244	1021	*	6.400616649	6.646363073	6.104238194	0.4368419	0.026767722	0.0476768
chr1	115688894	115689294	chr1	115688362	115689976	1615	*	6.40763916	7.078328056	5.114870975	1.763086925	8.28E-19	1.73E-17
chr1	146656383	146656783	chr1	146656113	146656981	869	*	6.411626076	6.560465571	6.245645842	0.256292115	0.143293949	0.204894502
chr1	90234720	90235120	chr1	90234365	90235587	1223	*	6.421547627	6.230547336	6.590192052	-0.314722974	0.093088697	0.141351218
chr1	19103962	19104362	chr1	19103410	19104933	1524	*	6.424218494	5.869285321	6.824003634	-0.821147003	2.45E-05	8.54E-05
chr1	32554202	32554602	chr1	32553771	32555467	1697	*	6.447675634	6.777477864	6.019418315	0.675925618	0.000134865	0.000406146
chr1	38333174	38333574	chr1	38333020	38333720	701	*	6.449038882	6.778457281	6.021430469	0.634667527	0.000578977	0.001532374
chr1	137656411	137656811	chr1	137656025	137657066	1042	*	6.460046402	7.139619577	5.132097558	1.859806645	2.94E-21	7.72E-20
chr1	68799730	68800130	chr1	68799232	68800749	1518	*	6.462513373	6.917213161	5.794797187	0.976386888	9.76E-07	4.35E-06
chr1	13188447	13188847	chr1	13187789	13189125	1337	*	6.467009561	6.515867264	6.41643909	0.095928918	0.589925254	0.666571732
chr1	36611644	36612044	chr1	36610265	36612270	2006	*	6.479235781	6.394193118	6.559543258	-0.142438157	0.407024381	0.493020986
chr1	63307806	63308206	chr1	63306165	63308852	2688	*	6.485506518	5.893378132	6.904113657	-0.899944053	7.30E-07	3.32E-06
chr1	181068088	181068488	chr1	181067917	181069630	1714	*	6.494268319	6.201906421	6.737249847	-0.4533956	0.004354156	0.009442867
chr1	51941660	51942060	chr1	51940840	51942680	1841	*	6.508896095	6.562213438	6.453532449	0.073830165	0.668903171	0.736127921
chr1	78167633	78168033	chr1	78166809	78168620	1812	*	6.51863035	6.158147788	6.806806972	-0.586753241	0.000562794	0.001494127
chr1	90773206	90773606	chr1	90772351	90774422	2072	*	6.527384607	6.248417823	6.761050528	-0.407862542	0.023341842	0.042269869
chr1	19233954	19234354	chr1	19233731	19235238	1508	*	6.528257214	6.000898876	6.913606513	-0.496131334	0.055566523	0.09015127
chr1	132928925	132929325	chr1	132928349	132929634	1286	*	6.536364866	6.054210497	6.8971137	-0.717403232	2.15E-05	7.55E-05
chr1	88623326	88623726	chr1	88622793	88624209	1417	*	6.541289445	6.629763416	6.447033237	0.127236609	0.46009778	0.544517863
chr1	175880449	175880849	chr1	175880172	175881337	1166	*	6.541520904	7.038090929	5.778214838	1.13879656	2.11E-09	1.43E-08
chr1	133157992	133158392	chr1	133157283	133158782	1500	*	6.548475913	6.153260519	6.858378687	-0.65012178	7.45E-05	0.000236031
chr1	132583404	132583804	chr1	132582727	132584496	1770	*	6.600343104	6.372343344	6.79717943	-0.369455823	0.031956006	0.055629611
chr1	155442229	155442629	chr1	155441666	155443095	1430	*	6.60159218	6.706163826	6.488844312	0.163947683	0.349122749	0.434419307
chr1	52008546	52008946	chr1	52008197	52009496	1300	*	6.608862952	6.290423996	6.869566569	-0.459826686	0.013320539	0.025720556
chr1	75399988	75400388	chr1	75399493	75401505	2013	*	6.61106225	6.446276489	6.758940729	-0.250691437	0.127922397	0.18569451
chr1	109105338	109105738	chr1	109104615	109106110	1496	*	6.611742344	6.987356419	6.102534942	0.781569561	4.77E-05	0.000157068
chr1	190581981	190582381	chr1	190581441	190582917	1477	*	6.612883998	6.302594823	6.868106629	-0.462528995	0.008372667	0.017028866
chr1	152612645	152613045	chr1	152611846	152613643	1798	*	6.613637721	6.215099775	6.925574742	-0.605819007	0.000638191	0.001673467
chr1	91337078	91337478	chr1	91336198	91338112	1915	*	6.614043893	6.459953994	6.753252561	-0.221968258	0.214581137	0.288804464
chr1	68291033	68291433	chr1	68290002	68292018	2017	*	6.614094769	7.210522669	5.579141511	1.446226051	7.80E-13	8.33E-12
chr1	65050626	65051026	chr1	65050244	65051672	1429	*	6.614194865	6.619693074	6.608675621	0.011474007	0.940119215	0.956107873
chr1	140661217	140661617	chr1	140660842	140662377	1536	*	6.616559426	6.550704732	6.679538821	-0.115562698	0.494562971	0.577691175
chr1	193967927	193968327	chr1	193966842	193968824	1983	*	6.61766838	6.423575836	6.788718184	-0.289087153	0.075836402	0.118239182
chr1	26054392	26054792	chr1	26054040	26055178	1139	*	6.617959014	7.385513268	4.869495838	2.326188315	3.57E-31	2.37E-29
chr1	51098851	51099251	chr1	51098192	51099854	1663	*	6.620445235	7.239601408	5.512714915	1.598963308	9.30E-19	1.94E-17
chr1	188200972	188201372	chr1	188200536	188202495	1960	*	6.621430835	6.581888642	6.659918084	-0.076583235	0.657214999	0.725998923
chr1	70810704	70811104	chr1	70810290	70811393	1104	*	6.621956741	7.278481282	5.38313722	1.773233053	2.39E-20	5.82E-19
chr1	50920971	50921371	chr1	50920481	50921997	1517	*	6.624182959	7.136067354	5.823528138	1.188584939	2.48E-11	2.17E-10
chr1	33334729	33335129	chr1	33334450	33336071	1622	*	6.624355857	7.071931855	5.972028368	0.949180348	6.72E-07	3.08E-06
chr1	165814302	165814702	chr1	165813717	165815261	1545	*	6.628936441	6.265453619	6.919023595	-0.58946086	0.000169475	0.000499754
chr1	194698850	194699250	chr1	194698242	194700217	1976	*	6.631637459	6.64989634	6.613144526	0.008806444	0.954160636	0.966419899
chr1	28223427	28223827	chr1	28222666	28224393	1728	*	6.63512833	7.177610005	5.755544657	1.22881389	1.60E-09	1.10E-08
chr1	190383944	190384344	chr1	190383223	190385718	2496	*	6.63650949	6.298607827	6.910095524	-0.542377853	0.001153895	0.002867138
chr1	159550363	159550763	chr1	159549834	159551479	1646	*	6.636778488	6.355511308	6.87205467	-0.427237983	0.014202808	0.027224681
chr1	69131287	69131687	chr1	69130191	69132121	1931	*	6.641521219	6.621578375	6.661192142	-0.043141302	0.797420876	0.843164178
chr1	68950346	68950746	chr1	68949733	68951416	1684	*	6.644481248	6.943827182	6.266312515	0.560923977	0.000924638	0.002346094
chr1	64831780	64832180	chr1	64830687	64833084	2398	*	6.644967907	6.435908019	6.827532099	-0.342095835	0.037329025	0.063731017
chr1	39256710	39257110	chr1	39255997	39257604	1608	*	6.645479554	6.537338902	6.746076442	-0.172727719	0.268501122	0.349243884
chr1	92973928	92974328	chr1	92973442	92975242	1801	*	6.649874943	6.271550668	6.94931812	-0.566783509	0.000907304	0.002304938
chr1	129535122	129535522	chr1	129534429	129535894	1466	*	6.651173558	7.097318381	6.001908881	0.999604108	4.88E-10	3.60E-09
chr1	138496833	138497233	chr1	138495705	138498229	2525	*	6.651730102	6.189843815	7.0010542	-0.709758031	8.78E-05	0.000274529
chr1	192138162	192138562	chr1	192138136	192139233	1098	*	6.653374899	6.642577625	6.664091964	0.010209328	0.948246185	0.962055934
chr1	134728016	134728416	chr1	134727433	134729196	1764	*	6.65338025	6.331533735	6.916360266	-0.504427791	0.002691875	0.006144436
chr1	38666499	38666899	chr1	38666065	38667310	1246	*	6.65872495	6.580459991	6.732961693	-0.135779784	0.401722513	0.487855592
chr1	114320234	114320634	chr1	114319850	114321012	1163	*	6.65874674	7.156317828	5.893040551	1.117784556	1.74E-09	1.19E-08
chr1	151501102	151501502	chr1	151500799	151501775	977	*	6.660558757	7.004927132	6.207327262	0.704595828	4.55E-05	0.000150357
chr1	56898608	56899008	chr1	56897570	56899868	2299	*	6.66118842	6.682455809	6.639602822	0.018392856	0.907569078	0.931081813
chr1	120338545	120338945	chr1	120337577	120339386	1810	*	6.67052037	6.203988104	7.02248555	-0.66289365	0.000481544	0.001298076
chr1	118804389	118804789	chr1	118803864	118805247	1384	*	6.672922123	6.423908335	6.885215733	-0.360948682	0.036878543	0.063060785
chr1	153267019	153267419	chr1	153266225	153267852	1628	*	6.67494473	6.650841437	6.698651935	-0.027157318	0.876059132	0.906599718
chr1	166157953	166158353	chr1	166157448	166158602	1155	*	6.676655374	6.810510419	6.529099038	0.228813025	0.153862264	0.217696665
chr1	55890640	55891040	chr1	55890047	55891847	1801	*	6.68104021	6.583210062	6.772655624	-0.163377749	0.348107509	0.433442764
chr1	160077139	160077539	chr1	160076563	160078071	1509	*	6.684370916	6.985333712	6.303612432	0.591736557	0.000436475	0.001186089
chr1	74053038	74053438	chr1	74052667	74054390	1724	*	6.684512308	6.507086594	6.84248802	-0.301149004	0.047628702	0.078900053
chr1	190392030	190392430	chr1	190391422	190393650	2229	*	6.686100132	6.303686683	6.988093707	-0.610279306	0.00012812	0.000387354
chr1	193948684	193949084	chr1	193948203	193949361	1159	*	6.691358228	6.382805003	6.945406668	-0.472282314	0.003706627	0.008178733
chr1	114728810	114729210	chr1	114727736	114729488	1753	*	6.694367186	7.229486544	5.834328974	1.267230788	3.46E-13	3.87E-12
chr1	143207315	143207715	chr1	143207074	143208325	1252	*	6.697597591	6.767639168	6.623981269	0.127096319	0.450820934	0.535598205
chr1	89107595	89107995	chr1	89106824	89108946	2123	*	6.698124635	6.512386914	6.86265429	-0.296364751	0.07752595	0.120496594
chr1	24523008	24523408	chr1	24522431	24524562	2132	*	6.698178046	7.123565097	6.092291008	0.918142371	1.60E-07	8.13E-07
chr1	162611144	162611544	chr1	162610668	162612448	1781	*	6.699203079	6.575531629	6.813105057	-0.165356687	0.335058362	0.420153033
chr1	168708164	168708564	chr1	168707921	168709280	1360	*	6.699284279	7.021404736	6.283926119	0.609688063	0.000623194	0.001637047
chr1	51945806	51946206	chr1	51945461	51946709	1249	*	6.699536926	6.714370733	6.684549011	0.002764462	0.98725078	0.990656573
chr1	48920961	48921361	chr1	48920421	48921698	1278	*	6.703997675	7.404867604	5.287094447	1.965919789	1.27E-26	5.70E-25
chr1	193409137	193409537	chr1	193408939	193410042	1104	*	6.704867944	6.451173944	6.920551427	-0.417316615	0.004912321	0.01053848
chr1	93168036	93168436	chr1	93167359	93169459	2101	*	6.707686705	6.518854227	6.87463937	-0.292842621	0.059164429	0.095197265
chr1	166798669	166799069	chr1	166798421	166799223	803	*	6.707991436	7.257253096	5.810080841	1.347669132	9.30E-14	1.12E-12
