chr	start	end	mecp2_fold	mecp2_fdr	mecp2_direction	peak_class	distance_to_anchor
chr1	180459686	180460082	-0.056986402	0.823419217	Unchanged	Other genome	1419918
chr1	76483756	76484777	0.513047904	0.058236208	Unchanged	Other genome	1690223
chr1	190591140	190592520	-0.00083742	0.99816675	Unchanged	Other genome	16139
chr1	131763874	131764722	-0.00522171	0.989560166	Unchanged	Other genome	1410278
chr1	170644223	170645058	-0.035536849	0.898955012	Unchanged	Other genome	4222
chr1	92638066	92639417	-0.082781652	0.718468772	Unchanged	Other genome	878065
chr1	136943256	136944347	-0.051751654	0.838948591	Unchanged	Other genome	630653
chr1	57406202	57407133	0.004705897	0.990856698	Unchanged	Other genome	196201
chr1	20804738	20805886	-0.039212399	0.885136599	Unchanged	Other genome	284737
chr1	190177979	190178614	-0.109131856	0.614423704	Unchanged	Other genome	127978
chr1	194025320	194026437	0.161984784	0.430576927	Unchanged	Other genome	3225319
chr1	133345196	133346904	-0.155380909	0.464806542	Unchanged	Other genome	33096
chr1	154822411	154823969	-0.00320028	0.993911026	Unchanged	Other genome	176031
chr1	74782161	74783357	-0.03713622	0.896458	Unchanged	Other genome	327160
chr1	170394661	170396077	-0.017259358	0.957242144	Unchanged	Other genome	203923
chr1	129511229	129512575	1.131534928	0.001637493	Gained	Other genome	11228
chr1	172570914	172572319	-0.082394246	0.713353242	Unchanged	Other genome	877681
chr1	6380388	6381882	-1.039942868	0.001051405	Lost	Other genome	1610387
chr1	193588856	193590129	0.011996586	0.97164313	Unchanged	Other genome	2788855
chr1	135750793	135752039	-0.227966324	0.29758694	Unchanged	Gained anchor	0
chr1	68843682	68844287	0.111467718	0.633049201	Unchanged	Other genome	830713
chr1	87046738	87047708	-0.053707502	0.828902075	Unchanged	Other genome	42292
chr1	152616713	152618113	-0.050273565	0.841417029	Unchanged	Other genome	481887
chr1	120032901	120033710	0.169166952	0.411690745	Unchanged	Other genome	66290
chr1	64406715	64407571	0.102775608	0.66136742	Unchanged	Other genome	632429
chr1	133422895	133424366	-0.080431905	0.743437515	Unchanged	Other genome	32894
chr1	84426102	84426886	0.00408342	0.991875275	Unchanged	Other genome	136101
chr1	134082596	134083617	0.076210593	0.736439397	Unchanged	Other genome	277595
chr1	35936469	35937016	0.163212389	0.464253267	Unchanged	Other genome	2186468
chr1	6733018	6733723	2.044105014	3.32e-07	Gained	Other genome	1963017
chr1	10231704	10233415	-0.105976244	0.639825102	Unchanged	Other genome	2616585
chr1	73116294	73117330	-0.159271586	0.450651598	Unchanged	Other genome	782670
chr1	89487463	89488892	-0.036243199	0.894318911	Unchanged	Other genome	287462
chr1	67000855	67002713	-0.125372378	0.551021845	Unchanged	Other genome	610854
chr1	36580271	36581104	-0.02902739	0.921899118	Unchanged	Other genome	2278896
chr1	93144019	93145323	-0.028822474	0.921860715	Unchanged	Other genome	764677
chr1	180228927	180230216	-0.145787471	0.482324048	Unchanged	Other genome	1649784
chr1	22991015	22991475	2.654411262	8.64e-12	Gained	Other genome	1021014
chr1	109490054	109491061	2.118464214	2.95e-08	Gained	Other genome	333939
chr1	92473283	92474364	-0.034616685	0.903133439	Unchanged	Other genome	713282
chr1	191312252	191313413	-0.005671287	0.988731231	Unchanged	Other genome	512251
chr1	106035067	106036426	0.254345157	0.24422022	Unchanged	Other genome	560066
chr1	76717217	76718924	0.263710897	0.22398669	Unchanged	Other genome	1456076
chr1	126463169	126463662	0.448451314	0.102817902	Unchanged	Gained anchor	0
chr1	132628760	132630504	-0.014267837	0.966201322	Unchanged	Other genome	544496
chr1	154181124	154182766	-0.089430181	0.6828539	Unchanged	Other genome	92234
chr1	93376169	93377798	-0.116984148	0.597595417	Unchanged	Other genome	532202
chr1	13317812	13318874	-0.122518035	0.571711839	Unchanged	Other genome	177811
