gene_name	chr	is_neuronal_external	ctrl_top_quartile
Zglp1	chr9	FALSE	FALSE
Krtap12-22	chr10	FALSE	FALSE
F630206G17Rik	chr11	FALSE	FALSE
Ldlrap1	chr4	FALSE	FALSE
Mdn1	chr4	FALSE	FALSE
Wfdc17	chr11	FALSE	FALSE
Tmsb15b2	chrX	FALSE	FALSE
Cstdc5	chr16	FALSE	FALSE
Gm15772	chr11	FALSE	FALSE
Prr35	chr17	FALSE	TRUE
Vmn1r223	chr13	FALSE	FALSE
Gata5os	chr2	FALSE	TRUE
Umad1	chr6	FALSE	FALSE
Gm16982	chr7	FALSE	TRUE
Gm11149	chr9	FALSE	FALSE
Gm11696	chr11	FALSE	FALSE
Dnajc3	chr14	FALSE	FALSE
9430060I03Rik	chr1	FALSE	FALSE
Gm12359	chr11	FALSE	FALSE
Niban3	chr8	FALSE	TRUE
Rsph3b	chr17	FALSE	FALSE
Rnaset2a	chr17	FALSE	TRUE
D030047H15Rik	chr7	FALSE	FALSE
Fam174b	chr7	FALSE	FALSE
Gm10532	chr18	FALSE	TRUE
Gm15612	chr6	FALSE	TRUE
Gm10857	chr2	FALSE	FALSE
Mir223hg	chrX	FALSE	FALSE
Zfp389	chr13	FALSE	FALSE
Gm10714	chr2	FALSE	FALSE
Gm10433	chr12	FALSE	FALSE
Gm10785	chr16	FALSE	FALSE
Gm10512	chr17	FALSE	FALSE
Spink13	chr18	FALSE	FALSE
Gm10556	chr18	FALSE	TRUE
Gm12522	chr3	FALSE	TRUE
Platr8	chr2	FALSE	FALSE
Gm15441	chr3	FALSE	TRUE
Gm10684	chr9	FALSE	FALSE
Gm10787	chr10	FALSE	FALSE
Apela	chr8	FALSE	FALSE
Gm13582	chr2	FALSE	FALSE
Gm10782	chr13	FALSE	FALSE
Gm11837	chr4	FALSE	FALSE
Gm10640	chr7	FALSE	FALSE
Dnmt3aos	chr12	FALSE	TRUE
Gm10804	chr2	FALSE	TRUE
Gm16008	chr4	FALSE	FALSE
Ramacl	chr13	FALSE	FALSE
Gm15348	chr8	FALSE	FALSE
Gm10578	chr7	FALSE	TRUE
Gm10445	chr6	FALSE	TRUE
Gm10687	chr9	FALSE	TRUE
Gm10658	chr9	FALSE	FALSE
Prcd	chr11	FALSE	TRUE
Gm12863	chr4	FALSE	FALSE
Gm10415	chr6	FALSE	TRUE
Gm10635	chr9	FALSE	FALSE
Gm10790	chr13	FALSE	FALSE
Gm14812	chrX	FALSE	TRUE
F420014N23Rik	chr10	FALSE	FALSE
Gm16287	chr4	FALSE	FALSE
Gm10710	chr3	FALSE	TRUE
Gm11529	chr11	FALSE	FALSE
Gm10865	chr15	FALSE	FALSE
Gm10636	chr3	FALSE	FALSE
Gm10389	chr15	FALSE	FALSE
Gm10791	chr16	FALSE	FALSE
Gm10466	chr11	FALSE	TRUE
Gm10823	chr16	FALSE	FALSE
F630042J09Rik	chr13	FALSE	FALSE
Gm10768	chr19	FALSE	FALSE
Gm10538	chr1	FALSE	FALSE
Gm10371	chr14	FALSE	TRUE
Myocos	chr1	FALSE	TRUE
Mirt2	chr15	FALSE	FALSE
Gm12298	chr11	FALSE	FALSE
Gm10421	chr12	FALSE	TRUE
Gm10732	chr13	FALSE	FALSE
Tmem51os1	chr4	FALSE	TRUE
Gm10754	chr10	FALSE	FALSE
Gm10637	chr8	FALSE	TRUE
Gm10516	chr1	FALSE	FALSE
Gm10432	chr12	FALSE	TRUE
Gm15401	chr6	FALSE	TRUE
Cep85l	chr10	TRUE	FALSE
Gm10373	chr15	FALSE	FALSE
Gm11681	chr11	FALSE	FALSE
Gm10845	chr14	FALSE	FALSE
Gm13629	chr2	FALSE	FALSE
Gm10825	chr10	FALSE	FALSE
Gm10406	chr14	FALSE	FALSE
Or10h1b	chr17	TRUE	FALSE
Or10h1	chr17	TRUE	FALSE
Btnl1	chr17	FALSE	FALSE
Isg15	chr4	FALSE	FALSE
Ceacam-ps1	chr7	FALSE	FALSE
Mup9	chr4	FALSE	FALSE
Gm1979	chr5	FALSE	TRUE
Gm1995	chr12	FALSE	FALSE
Mup10	chr4	FALSE	FALSE
Gm2011	chr3	FALSE	FALSE
Mup11	chr4	FALSE	FALSE
Eif1ad3	chr12	FALSE	FALSE
Speer4a2	chr5	FALSE	TRUE
Mup12	chr4	FALSE	FALSE
Gm2026	chr2	FALSE	FALSE
Gm2027	chr12	FALSE	FALSE
Mup13	chr4	FALSE	FALSE
Mup14	chr4	FALSE	FALSE
Gm14295	chr2	FALSE	FALSE
Gm2061	chr1	FALSE	TRUE
Ccdc152	chr15	FALSE	FALSE
Gm12128	chr11	FALSE	FALSE
Mup15	chr4	FALSE	FALSE
Gm13580	chr2	FALSE	FALSE
Mup16	chr4	FALSE	FALSE
Gm2087	chr9	FALSE	FALSE
Mup17	chr4	FALSE	FALSE
Gm2109	chr9	FALSE	TRUE
Ctxnd1	chr7	FALSE	FALSE
Gm2176	chr18	FALSE	FALSE
Mageb16-ps1	chrX	FALSE	FALSE
Gm15706	chr6	FALSE	TRUE
Tcf24	chr1	FALSE	TRUE
E330012B07Rik	chr6	FALSE	FALSE
Msmp	chr4	FALSE	FALSE
5031434O11Rik	chr3	FALSE	TRUE
Lncenc1	chr13	FALSE	TRUE
Mthfsl	chr9	FALSE	FALSE
1700049E15Rik	chr6	FALSE	FALSE
Hrct1	chr4	FALSE	TRUE
Ildr2	chr1	FALSE	TRUE
Tgtp2	chr11	FALSE	FALSE
Cldn24	chr8	FALSE	TRUE
D5Ertd605e	chr5	FALSE	FALSE
Snhg12	chr4	FALSE	FALSE
Gm2491	chr15	FALSE	FALSE
Gfy	chr7	TRUE	TRUE
Gm2516	chr8	FALSE	FALSE
Tmem35b	chr4	FALSE	FALSE
Smim38	chr7	FALSE	TRUE
Krtap6-3	chr16	FALSE	FALSE
Gm2663	chr6	FALSE	FALSE
Krtap6-7	chr16	FALSE	FALSE
Prss3l	chr6	FALSE	FALSE
Krtap4-25	chr11	FALSE	FALSE
Or13c7c	chr4	TRUE	FALSE
Krtap4-22	chr11	FALSE	FALSE
Cbln1os	chr8	FALSE	FALSE
Gm15501	chr7	FALSE	FALSE
Krtap10-20	chr10	FALSE	TRUE
3830408C21Rik	chr13	FALSE	FALSE
Gm2716	chr8	FALSE	FALSE
Gm2721	chr12	FALSE	FALSE
Gm2762	chr13	FALSE	FALSE
Mndal	chr1	FALSE	FALSE
Tmem181c-ps	chr17	FALSE	FALSE
Gm12408	chr4	FALSE	TRUE
Dynlt1c	chr17	TRUE	FALSE
Gm12409	chr4	FALSE	TRUE
Kcnj13	chr1	FALSE	FALSE
Potefam3a	chr8	FALSE	FALSE
Fancf	chr7	FALSE	TRUE
Wincr1	chr4	FALSE	FALSE
Gm2897	chr14	FALSE	FALSE
Mirg	chr12	FALSE	FALSE
Foxd2os	chr4	FALSE	TRUE
Mroh2a	chr1	FALSE	TRUE
Gm15506	chr7	FALSE	FALSE
Gm11627	chr11	FALSE	FALSE
Gm9767	chr10	FALSE	TRUE
Gm3002	chr14	FALSE	FALSE
Gm3020	chr14	FALSE	FALSE
1700017G19Rik	chr3	FALSE	FALSE
Rpl14-ps1	chr7	FALSE	FALSE
Tceal7	chrX	FALSE	FALSE
Gm3086	chr12	FALSE	FALSE
Gm13286	chr4	FALSE	TRUE
Mfsd4b3-ps	chr10	FALSE	FALSE
Iqcf6	chr9	FALSE	FALSE
Gm3137	chr10	FALSE	FALSE
Gm3143	chr3	FALSE	FALSE
Gm3636	chr14	FALSE	FALSE
Or52e19	chr7	FALSE	FALSE
Krtap10-21	chr10	FALSE	TRUE
Krtap10-22	chr10	FALSE	TRUE
Krtap10-23	chr10	FALSE	TRUE
Snhg15	chr11	FALSE	FALSE
Gm3264	chr14	FALSE	FALSE
Gm11978	chr11	FALSE	TRUE
Gm3279	chr6	FALSE	FALSE
Ccdc201	chr11	FALSE	FALSE
Krtap10-24	chr10	FALSE	TRUE
Tcp10c	chr17	FALSE	FALSE
Zfp980	chr4	FALSE	FALSE
Krtap2-22	chr11	FALSE	FALSE
Gm3363	chr2	FALSE	FALSE
Myef2l	chr3	FALSE	TRUE
Gm3383	chr14	FALSE	FALSE
Gm10409	chr14	FALSE	FALSE
Ly6c2	chr15	TRUE	FALSE
Gm3402	chr5	FALSE	FALSE
Gm3404	chr5	FALSE	TRUE
Gm3409	chr5	FALSE	FALSE
Ermardl2	chr17	FALSE	FALSE
Gm20878	chr4	FALSE	FALSE
Zkscan16	chr4	FALSE	FALSE
Amd2	chr10	FALSE	FALSE
Dynlt2a3	chr17	FALSE	FALSE
Gal3st2b	chr1	FALSE	TRUE
Ermardl1	chr17	FALSE	FALSE
Dynlt2a2	chr17	FALSE	FALSE
Gm10863	chr15	FALSE	FALSE
Mup7	chr4	FALSE	FALSE
Gm3500	chr14	FALSE	FALSE
Mup8	chr4	FALSE	FALSE
Defa35	chr8	FALSE	FALSE
Ppp1r36dn	chr12	FALSE	FALSE
1700049E17Rik2	chr14	FALSE	FALSE
Gm15217	chr14	FALSE	TRUE
Defa41	chr8	FALSE	FALSE
Gm10413	chr14	FALSE	FALSE
Defa40	chr8	FALSE	FALSE
Gm3519	chr5	FALSE	FALSE
Defa27	chr8	FALSE	FALSE
Gm10408	chr14	FALSE	FALSE
Gm3558	chr14	FALSE	FALSE
Defa32	chr8	FALSE	FALSE
Defa34	chr8	FALSE	FALSE
Sap18b	chr14	FALSE	FALSE
Oaz1-ps	chr10	FALSE	TRUE
9130019P16Rik	chr6	FALSE	FALSE
Gm3646	chr1	FALSE	TRUE
Gm12371	chr4	FALSE	FALSE
Gm3693	chr12	FALSE	TRUE
Gm3696	chr14	FALSE	FALSE
Nrg2	chr18	TRUE	TRUE
Thoc2l	chr5	TRUE	FALSE
Gm3704	chr5	FALSE	FALSE
Gm13446	chr2	FALSE	TRUE
Gm3716	chr5	FALSE	FALSE
Gm3772	chr13	FALSE	FALSE
Gsta13	chr9	FALSE	FALSE
Gsta5	chr9	FALSE	FALSE
Reno1	chr11	TRUE	TRUE
Gm10375	chr14	FALSE	FALSE
Mnd1-ps	chr14	FALSE	FALSE
Vmn1r79	chr7	FALSE	FALSE
Smim17	chr7	FALSE	FALSE
Nhsl2	chrX	FALSE	FALSE
Mir22hg	chr11	FALSE	FALSE
Sprr2a3	chr3	FALSE	FALSE
Gm16523	chr2	FALSE	FALSE
Rbakdn	chr5	FALSE	FALSE
Gm3942	chr10	FALSE	FALSE
Gm3985	chr8	FALSE	FALSE
Gm4013	chr18	FALSE	TRUE
Prdm11	chr2	FALSE	TRUE
Eif3j2	chr2	FALSE	FALSE
Apol7d	chr1	FALSE	FALSE
Gm10267	chr18	FALSE	FALSE
C920021L13Rik	chr3	FALSE	FALSE
Vmn2r46	chr7	FALSE	FALSE
H2al1a	chrX	FALSE	FALSE
Gm13546	chr2	FALSE	TRUE
H2al1d	chrX	FALSE	FALSE
H2al1g	chrX	FALSE	FALSE
Gm15760	chr16	FALSE	FALSE
Gm4146	chr18	FALSE	FALSE
Rex2	chr4	FALSE	FALSE
1110002L01Rik	chr12	FALSE	FALSE
Tmem207	chr16	FALSE	FALSE
6030469F06Rik	chr12	FALSE	FALSE
4632428C04Rik	chr16	FALSE	TRUE
Cd300ld4	chr11	FALSE	FALSE
Cd300ld5	chr11	FALSE	FALSE
Gm4251	chr14	FALSE	FALSE
Zfp696	chr7	FALSE	FALSE
Gm4265	chr7	FALSE	FALSE
Gm4278	chr14	FALSE	FALSE
Spopfm2	chr3	FALSE	FALSE
Gm4285	chr14	FALSE	TRUE
Or10u4	chr10	TRUE	FALSE
5330434G04Rik	chrX	FALSE	FALSE
Gm10046	chr7	FALSE	FALSE
3110099E03Rik	chr2	FALSE	FALSE
Alyreffm9	chr10	FALSE	FALSE
Nps	chr7	TRUE	FALSE
Inafm2	chr2	FALSE	TRUE
Gm4349	chr3	FALSE	FALSE
4732414G09Rik	chr11	FALSE	FALSE
Tigit	chr16	FALSE	FALSE
LOC100043315	chr15	FALSE	FALSE
Ankrd66	chr17	FALSE	FALSE
Gm14305	chr2	FALSE	FALSE
Morrbid	chr2	FALSE	TRUE
AA387883	chr19	FALSE	FALSE
Hsd3b8	chr3	FALSE	FALSE
Or10h5	chr17	TRUE	FALSE
1300002E11Rik	chr16	FALSE	FALSE
Nat8f7	chr6	FALSE	TRUE
Gm4489	chr10	FALSE	FALSE
Gm4532	chr7	FALSE	TRUE
AU016765	chr17	FALSE	FALSE
Srcap	chr7	FALSE	FALSE
Gm14207	chr2	FALSE	TRUE
Krtap5-20	chr7	FALSE	TRUE
Gm4566	chr17	FALSE	FALSE
Gm10584	chr7	FALSE	TRUE
Amy2a4	chr3	FALSE	FALSE
Amy2a3	chr3	FALSE	FALSE
Amy2a2	chr3	FALSE	FALSE
Gm4598	chr7	FALSE	FALSE
Zfp831	chr2	FALSE	FALSE
Gm4632	chr14	FALSE	FALSE
Gm4651	chr6	FALSE	TRUE
Rps27rt	chr3	FALSE	FALSE
Gm4668	chr9	FALSE	FALSE
Klrb1	chr6	FALSE	FALSE
Gm4710	chr17	FALSE	FALSE
R3hdml	chr2	FALSE	FALSE
Six3os1	chr17	TRUE	TRUE
Gm4719	chr17	FALSE	FALSE
Ppp4r1l-ps	chr2	FALSE	FALSE
Gm14635	chrX	FALSE	FALSE
Tgfbr3l	chr8	FALSE	TRUE
Gm17767	chr1	FALSE	FALSE
Gm14204	chr2	FALSE	TRUE
Ect2l	chr10	FALSE	FALSE
Gm15743	chr16	FALSE	TRUE
Gm16894	chr1	FALSE	FALSE
Cfap43	chr19	TRUE	FALSE
Ddx43	chr9	FALSE	FALSE
AI847159	chr2	FALSE	FALSE
Mup18	chr4	FALSE	FALSE
9330020H09Rik	chr15	FALSE	FALSE
Gm13032	chr4	FALSE	TRUE
Lrrc19	chr4	FALSE	FALSE
Camta1	chr4	TRUE	FALSE
Yy2	chrX	FALSE	FALSE
Kti12	chr4	FALSE	FALSE
Rcc1	chr4	FALSE	FALSE
Zbtb48	chr4	FALSE	FALSE
Gm10400	chr6	FALSE	FALSE
Gm12296	chr11	FALSE	FALSE
A830035O19Rik	chr9	FALSE	TRUE
Srp54c	chr12	FALSE	FALSE
Fam177a2	chr12	FALSE	FALSE
Pcsk9	chr4	TRUE	TRUE
Adat3	chr10	FALSE	FALSE
Tdrd7	chr4	FALSE	FALSE
Mir467a-5	chr2	TRUE	FALSE
Mir683-2	chr13	FALSE	FALSE
A230020J21Rik	chr1	FALSE	TRUE
Vmn2r2	chr3	FALSE	FALSE
LOC100125594	chr2	FALSE	FALSE
0610009E02Rik	chr2	FALSE	FALSE
Phtf1os	chr3	FALSE	FALSE
6820426E19Rik	chr6	FALSE	FALSE
Gm11747	chr11	FALSE	TRUE
Krt83	chr15	FALSE	TRUE
Gm13031	chr4	FALSE	FALSE
Frs3os	chr17	FALSE	FALSE
A030001D20Rik	chr7	FALSE	FALSE
Gm13262	chr2	FALSE	FALSE
BC048602	chr15	FALSE	TRUE
B020018J22Rik	chr12	FALSE	TRUE
Esp4	chr17	FALSE	FALSE
Gm10575	chr7	FALSE	TRUE
Sco2	chr15	FALSE	TRUE
Gm11532	chr11	FALSE	TRUE
Gpr153	chr4	FALSE	TRUE
Gm44502	chr15	FALSE	FALSE
Selenok-ps1	chr11	FALSE	FALSE
4933428G20Rik	chr11	FALSE	FALSE
Gm10364	chr14	FALSE	FALSE
Shoc1	chr4	TRUE	FALSE
Pafah2	chr4	FALSE	FALSE
AI507597	chr4	FALSE	TRUE
Phactr4	chr4	TRUE	FALSE
Gm44504	chrX	FALSE	FALSE
Gm11110	chr17	FALSE	FALSE
Gm10941	chr10	FALSE	TRUE
4930505N22Rik	chr19	FALSE	FALSE
